Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-23-2024_Slot1-270_5735.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-23-2024_Slot1-271_5736.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-23-2024_Slot1-272_5737.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-235_5745.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-236_5746.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-237_5747.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-238_5748.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-239_5749.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-273_5738.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-274_5739.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-275_5740.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-276_5741.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-277_5742.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-278_5743.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-279_5744.d
P06753	P06753	TPM3_HUMAN	TPM3	Tropomyosin alpha-3 chain	7764.96	5785.83	6304.46	782.91	808.098	4462.37	943.115		5668.17		576.684	6958.55	4733.83	3795.04	
P06756	P06756	ITAV_HUMAN	ITGAV	Integrin alpha-V	502.186	442.672										581.485			
P06865	P06865	HEXA_HUMAN	HEXA	Beta-hexosaminidase subunit alpha	1295.89		964.934	2286.33	674.742				1417.74		1035.97	1581.6	1050.59		
P07099	P07099	HYEP_HUMAN	EPHX1	Epoxide hydrolase 1	936.526	1354.26				1280.77			1116.47	2934.92	2060.77	1019.22			
P07108	P07108	ACBP_HUMAN	DBI	Acyl-CoA-binding protein	1147.08	2103.85	1750.39	893.828	314.559	2417.04	1659.64		1296.51		862.366	2058.85	1953.09	1633.92	1606.1
P07148	P07148	FABPL_HUMAN	FABP1	Fatty acid-binding protein, liver	5769.09	12104.9	26258.3	3263.07	1624.94	10629.4	3153.54		10832.1	3890.02	2273.16	3516.07	10753.1	5636.26	3263.88
P07203	P07203	GPX1_HUMAN	GPX1	Glutathione peroxidase 1						492.922						393.752			
P07237	P07237	PDIA1_HUMAN	P4HB	Protein disulfide-isomerase	17539.9	11713.5	17459.1	12239.8	7117.6	14943.6	5306.61		7892.55	8053.81	5140.95	14970	12675	15429.6	2458.1
P07305	P07305	H10_HUMAN	H1-0	Histone H1.0	6428.45	9552.53	3194.12	7654.89	5011.07	8099.64			8692.94		9572.43	12091.1	18300.6		
P07339	P07339	CATD_HUMAN	CTSD	Cathepsin D	10133.2	4215.21	5876.5	14457.2	6274.99	5478.27	6531.56		5885.63	12055.8	13435.3	11101.4	14011.5	8398.31	7832.53
P07355	A6NMY6;P07355	ANXA2_HUMAN	ANXA2	Annexin A2	27134.3	19217.4	24802.6	8445.32	6308.31	26819.4	9191.02		23120.9	10083	5785.31	16957	9211.41	14433.7	10294.7
P07384	P07384	CAN1_HUMAN	CAPN1	Calpain-1 catalytic subunit	2646.24	3946.64	3807.09	3870.34	1210.2	4341.05	1989.88		3598.19	1949.63	1218.28	3768.74	3660.56	4231.65	2796.28
P07437	P68371;P07437;P04350	TBB5_HUMAN	TUBB	Tubulin beta chain	68573.7	43350.4	62542.1	17581	3248.84	51163.1	10029.9		62626.6	10687.3	5557.81	63951.9	62384.2	15162.5	7893.55
P07686	P07686	HEXB_HUMAN	HEXB	Beta-hexosaminidase subunit beta	1186.74		921.486	1787.56	1094.66	1326.89			699.225		1277.3	1917.53	1281.7	1573.91	
P07737	P07737;CONT|P02584|PROF1_BOVIN	PROF1_HUMAN	PFN1	Profilin-1	57589.7	44213.7	34807	12869	4395.17	45793.6	13150.3		46009.8	11977	6091.62	53963.8	54280	14355.7	12004.7
P07741	P07741	APT_HUMAN	APRT	Adenine phosphoribosyltransferase	4786.8	3650.43	5319.63	1614.99		1428.42	1360.47		6744.78			4223.57	7786.13		
P07814	P07814	SYEP_HUMAN	EPRS1	Bifunctional glutamate/proline--tRNA ligase	5504.43	4287.66	4899.74	2635.11	850.468	4695.94			4864.44			4431.89	6172.74	3772.02	
P07858	P07858	CATB_HUMAN	CTSB	Cathepsin B	2018.64	1223.27	815.447	4530.22					1428		2648.67	1461	1951.27	2282.52	3585.53
P07900	P07900	HS90A_HUMAN	HSP90AA1	Heat shock protein HSP 90-alpha	19495.2	22304.1	24486.2	6950.51	1664.19	14626.1	3713.29		14405.1	3698.28	2225.81	16366.5	19042.8	5272.75	3023.73
P07910	P07910	HNRPC_HUMAN	HNRNPC	Heterogeneous nuclear ribonucleoproteins C1/C2	19737.7	24851.5	20351.1	10642.9	31385.5	23035	1850.39		30559.3	1832.64	29296.4	23495.1	25008.4	4381.68	1699
P07947	P07947	YES_HUMAN	YES1	Tyrosine-protein kinase Yes	2030.77	2975.75	1446.98		480.401				2000.03			1683.41	1845.14		
P07954	P07954	FUMH_HUMAN	FH	Fumarate hydratase, mitochondrial	448.034		692.455		660.119	1678.78			1266.31			463.201			
P08183	P08183	MDR1_HUMAN	ABCB1	ATP-dependent translocase ABCB1		391.565	2051.89	1384.45		1262.76	2679.13				617.418	947.206	1078.17	776.137	
P08195	P08195	4F2_HUMAN	SLC3A2	4F2 cell-surface antigen heavy chain	873.844	1662.9	1287.05	1904.14	985.063	1139.15	709.278		1976.78		1723.46	881.951	699.442		
P08237	P08237;P17858	PFKAM_HUMAN	PFKM	ATP-dependent 6-phosphofructokinase, muscle type	3007.95	2557.27	1498.35			1899.56			2289.05			2360	1925.78		
P08238	Q58FF8;P07900;P08238;Q14568	HS90B_HUMAN	HSP90AB1	Heat shock protein HSP 90-beta	69353.6	59135.2	63070.5	19458.1	3808	49189.2	7889.77		61720	8890.81	5453.27	67317.8	58239.2	14737.5	9023.38
P08240	P08240	SRPRA_HUMAN	SRPRA	Signal recognition particle receptor subunit alpha	894.917	1350.02	884.313	883.698	585.72	1179.58			687.255		1333.63	1043.27	963.842		
P08243	P08243	ASNS_HUMAN	ASNS	Asparagine synthetase [glutamine-hydrolyzing]	10585.3	5564.15	7013.69	1977.65		4659.37	3216.34		4922.4	3213.92		2823	2901.26		
P08263	P09210;Q7RTV2;Q16772;P08263	GSTA1_HUMAN	GSTA1	Glutathione S-transferase A1	8281.69	5115.91	26590.1	2829.86	1007.65	3183.25	5185.12		5632.72	3771.63	2741.91	5129.58	4607.01	3773.63	3645.93
P08559	P29803;P08559	ODPA_HUMAN	PDHA1	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial	1724.6	1607.83	2307.5	2831.45	3479.57	1958.9			2056.04		2435.39	2287.27	1302.83		
P08574	P08574	CY1_HUMAN	CYC1	Cytochrome c1, heme protein, mitochondrial	1263.82		1393.43	1156.2	2530.43	1664.43			1726.02		2063.96	1206.45	844.473		
P08579	P08579	RU2B_HUMAN	SNRPB2	U2 small nuclear ribonucleoprotein B''	918.114	1034.58	811.158		1043.44	1526.59			1302.52		940.726	1064.85	1514.17		
P08621	P08621	RU17_HUMAN	SNRNP70	U1 small nuclear ribonucleoprotein 70 kDa	5943.2	6628.95	6826.52	1018.91	3077.74	7020.47			5357.19			5857.75	6306.6	2646.72	
P08670	P08670	VIME_HUMAN	VIM	Vimentin	51952.5	15882.9	8478.98	1298.68	8046.05	5451.58	176554		5959.82		34074.4	15388			
P08708	P08708	RS17_HUMAN	RPS17	40S ribosomal protein S17	843.528	2122.17	1159.65			1019.4			1889.42			1449.5	1782.29		
P08727	P08727;CONT|P08727|K1C19_HUMAN	K1C19_HUMAN	KRT19	Keratin, type I cytoskeletal 19	2626.1	3755.53	12928.3	11077.5	9425.3	10827.9	7147.39		6027.37	11974.7	21054.7	6697.48	1816.12	8795.94	7919.5
P08754	P63096;P08754;P09471;P04899	GNAI3_HUMAN	GNAI3	Guanine nucleotide-binding protein G(i) subunit alpha-3	1818.91	1400.33	1886.42	1632.56	1681.13	2601.95			1125.49		1530.25	1279.02	1359.71	2691.97	
P08758	P08758	ANXA5_HUMAN	ANXA5	Annexin A5	22873.6	18025.5	16515.3	4069.72	1753.36	20013.4	5718.27		18784.1	5656.93	2219.11	18182.5	18968.1	4651.25	5066.96
P08779	P08779;CONT|P08779|K1C16_HUMAN	K1C16_HUMAN	KRT16	Keratin, type I cytoskeletal 16	7300.89	7622.65	6235.79	11063.6	7262.35	6319.47	14846.7		7104.27	14672	9291.41	4938.26	4740.04	16492	14329.3
P08865	P08865	RSSA_HUMAN	RPSA	40S ribosomal protein SA	17392.7	21204.1	17120.5	1808.87	922.226	18618.2	2445.54		14179	3300.8	1177.53	18233.2	21170.7	5072.27	2093.39
P09001	P09001	RM03_HUMAN	MRPL3	39S ribosomal protein L3, mitochondrial	567.257	444.249	633.886	802.479	481.611	370.664						483.673			
P09104	P09104	ENOG_HUMAN	ENO2	Gamma-enolase			465.689									711.371	611.44		
P09110	P09110	THIK_HUMAN	ACAA1	3-ketoacyl-CoA thiolase, peroxisomal	1002.19	2300.72	1728.75	2789.15	2686.4	925.852			1034.51		1884.25	1889.53	1913.1		
P09211	P09211	GSTP1_HUMAN	GSTP1	Glutathione S-transferase P	49160.4	42086.3	61149.2	9138.7	4924.9	57116.4	20766.7		56882.1	20208.1	8442.46	39417.1	42305.9	17938.8	14205.4
P09234	P09234	RU1C_HUMAN	SNRPC	U1 small nuclear ribonucleoprotein C	2032.67	1411.29	2323.26		708.722	3565.06			3177.12			3082.68	2299.89		
P09327	P09327	VILI_HUMAN	VIL1	Villin-1	4091.11	2555.96	4708.1	3929.44	726.961	1846.99			2517.5		1059.34	2298.07	2755.13	3371.95	2575
P09417	P09417	DHPR_HUMAN	QDPR	Dihydropteridine reductase	2417.6	3111.68	2349.26	983.151	737.978	3251.47			2473.35		1471.04	2730.86	3607.97		
P09429	P09429	HMGB1_HUMAN	HMGB1	High mobility group protein B1	5287.58	5685.4	6487.13			5857.48			6909.36			4360.68	3726.22		
P09493	P09493	TPM1_HUMAN	TPM1	Tropomyosin alpha-1 chain	3306.78	1943.32				1838.68			2189.97	1449.16	294.979	2994.58	490.519		
P09496	P09496	CLCA_HUMAN	CLTA	Clathrin light chain A	9034.72	4425.06	7480.87	2193.66	3448.67	7725.41			4642.25		1968.67	9349.32	7857.43	2406.85	
P09497	P09497	CLCB_HUMAN	CLTB	Clathrin light chain B	2416.86	2100.74			1615.5	1769			1368.86		1211.11	2120.53	1427.89	773.464	
P09525	P09525	ANXA4_HUMAN	ANXA4	Annexin A4	4598.43	3243.26	7044.87	2955.1	913.977	5431.56	1294.13		7882.69	2405.06	1201.63	4629.04	3212.42	1567.51	1936.38
P09543	P09543	CN37_HUMAN	CNP	2',3'-cyclic-nucleotide 3'-phosphodiesterase	824.752	563.221	843.024			841.581			1447.85			835.674	530.837		
P09601	P09601	HMOX1_HUMAN	HMOX1	Heme oxygenase 1			1557.12	975.951					809.7		1518.32			1275.44	
P09622	P09622	DLDH_HUMAN	DLD	Dihydrolipoyl dehydrogenase, mitochondrial	639.598		290.981		494.589						749.555		556.261	1191.76	
P09651	P09651	ROA1_HUMAN	HNRNPA1	Heterogeneous nuclear ribonucleoprotein A1	12818.9	16637.1	13449.4	3041.44	13513.7	18621.4	1130.41		20586		8800.05	17986.7	12614.2	6211.54	
P09661	P09661	RU2A_HUMAN	SNRPA1	U2 small nuclear ribonucleoprotein A'	2884.99	2342.44	2648.8	891.407	3075.79	3030.95			3140.88		1738.94	2955.22	2553.18	921.779	
P09669	P09669	COX6C_HUMAN	COX6C	Cytochrome c oxidase subunit 6C	2023.16	1339.73	4879.38	4572.29	3089.4	2140.76			2418.45		6257.66	2975.42	1591.64		
P09874	P09874	PARP1_HUMAN	PARP1	Poly [ADP-ribose] polymerase 1	2808.81	3059.95	1705.67	936.117	828.32	4316.8			3928.31			2118.06	3218.43	1272.48	
P09936	P09936	UCHL1_HUMAN	UCHL1	Ubiquitin carboxyl-terminal hydrolase isozyme L1	55069.6	42662.2	54458.4	6536.52	3874.84	49094.8	6003.94		35535.1	16167.6	6604.54	48771.7	59165.6	15000	11942.4
P09960	P09960	LKHA4_HUMAN	LTA4H	Leukotriene A-4 hydrolase	632.184	818.498	931.319			1145.65			1178.9			1237.58	1868.88		
P09972	P09972	ALDOC_HUMAN	ALDOC	Fructose-bisphosphate aldolase C	1346.74	812.728				841.673			1248.55			1198.63	598.203		
P0C0S5;Q71UI9	P0C0S5;Q71UI9	H2AV_HUMAN;H2AZ_HUMAN	H2AZ1;H2AZ2	Histone H2A.Z	9451.26	6086.94	8189.92	12948.5	7667.6	5336.56			6300.1		7991.04	5899.72	7048.78	1988.6	
P0C7P4;P47985	P0C7P4;P47985	UCRIL_HUMAN;UCRI_HUMAN	UQCRFS1;UQCRFS1P1	Putative cytochrome b-c1 complex subunit Rieske-like protein 1	2052.04	2296.04	3392.98	3670.72	3655.2	1668.64			2433.14		3348.26	1882.06	1018.65		
P0CG47;P0CG48;P62979;P62987	P62987;P62979;P0CG48;P0CG47	RL40_HUMAN;RS27A_HUMAN;UBB_HUMAN;UBC_HUMAN	RPS27A;UBA52;UBB;UBC	Polyubiquitin-B	6278.19	6223.17	3859.54	5301.29	3076.16	8410.48	7283.66		5458.27	7603.71	4499.05	4244.74	4042.97	8601.86	5504.86
P0DMM9;P0DMN0	P50225;P0DMM9;P0DMN0	ST1A3_HUMAN;ST1A4_HUMAN	SULT1A3;SULT1A4	Sulfotransferase 1A3			1626.8										859.545		
P0DMV8;P0DMV9	P0DMV8;P0DMV9;P17066;P48741	HS71A_HUMAN;HS71B_HUMAN	HSPA1A;HSPA1B	Heat shock 70 kDa protein 1A	7686.94	6431.14	10590.2	1942.3	1266.38	7169.98	2265.53		5409.25	1688.64	1495.05	5943.14	4625.36	4039.57	2380.66
P0DOY2;P0DOY3	P0CG04;A0M8Q6;P0DOY2;P0DOY3;B9A064;P0CF74	IGLC2_HUMAN;IGLC3_HUMAN	IGLC2;IGLC3	Immunoglobulin lambda constant 2	842.439	1372.07	961.873	997.276	363.305		1945.89		1532.44	2123.52	1477.49		557.06	1550.12	1803.54
P0DP23;P0DP24;P0DP25	P0DP23;P0DP25;P0DP24	CALM1_HUMAN;CALM2_HUMAN;CALM3_HUMAN	CALM1;CALM2;CALM3	Calmodulin-1	19788.5	21570.2	31625.2	7890.91	8424.64	24638.3	10215.5		20807.2	9791.14	8969.09	21239.7	21114.1	13981.4	7736.55
P10155	P10155	RO60_HUMAN	RO60	RNA-binding protein RO60	505.371	925.85	774.46			1012.31						695.823	529.478		
P10253	P10253	LYAG_HUMAN	GAA	Lysosomal alpha-glucosidase	1029.73	774.014	565.35	966.954	477.304	498.754			660.005		1524.14	1187.77	1256.01		
P10515	P10515	ODP2_HUMAN	DLAT	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	735.507	2227.69	1395.3	2634.88	2167.87	1186.69			1611.35		2047.63	1512.68	632.183		
P10599	P10599	THIO_HUMAN	TXN	Thioredoxin	33173.4	23077.5	50267.7	10596.3	7454.88	40423.4	8961.81		35856.3	14854.5	6713.44	28203.9	21073.4	15267	11905.3
P10606	P10606	COX5B_HUMAN	COX5B	Cytochrome c oxidase subunit 5B, mitochondrial	2890.3	3009.78	6404.72	4952.38	5922.19	3905.86			3845.71		6599.34	3232.4	1954.42		
P10619	P10619	PPGB_HUMAN	CTSA	Lysosomal protective protein	1703.48	551.579	1142.85	2502.46	998.504	709.038			364.575	1155.83	1355.97	1410.53	1749.69		
P10620	P10620	MGST1_HUMAN	MGST1	Microsomal glutathione S-transferase 1	8012.1	7629.66	9988.36	8853.81	7170.2	6203.34			5221.01		12852.9	10195.1	5205.88	4501.77	
P10644	P10644	KAP0_HUMAN	PRKAR1A	cAMP-dependent protein kinase type I-alpha regulatory subunit	832.063		1040.42			725.638						673.671	1115.19		
P10768	P10768	ESTD_HUMAN	ESD	S-formylglutathione hydrolase	3295.55	2856.92	2132.38			4061.08			2997.47			2999.53	2147.94		
P10809	P10809	CH60_HUMAN	HSPD1	60 kDa heat shock protein, mitochondrial	31096.4	37592.2	37485.7	45706.8	48266.8	31354.4	2971.13		33632.7	12303.6	49669.2	28344.3	23588.3	6031.52	2655.87
P11021	P11021	BIP_HUMAN	HSPA5	Endoplasmic reticulum chaperone BiP	28737	20707.2	23915.9	18966.5	12185	17415.1	6284.53		18720.6	12296.8	7801.8	21793.4	44004.4	18165.1	3797.8
P11142	P54652;P11142	HSP7C_HUMAN	HSPA8	Heat shock cognate 71 kDa protein	47417	45388.9	43478.8	10529.9	11214.6	47864.6	9348.43		46069.3	10300.5	9443.24	38589.7	45214.4	18606.5	8294.83
P11166	P11166	GTR1_HUMAN	SLC2A1	Solute carrier family 2, facilitated glucose transporter member 1	7528.35	2998.45	3888.98	2067.94	3674.65	1475.36	616.057		2971.31		2633.55	2368.49	1349.9		
P11172	P11172	UMPS_HUMAN	UMPS	Uridine 5'-monophosphate synthase	3470.67	2587.85	2397.38	1052.46		2677.74			2381.43			3140.85	2815.86		
P11177	P11177	ODPB_HUMAN	PDHB	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	1932.08	1870.54	1738.99	3330.51	2947.74	1488.71			2270.53		2751.2	2012.12	1680.61		
P11216	P11217;P11216	PYGB_HUMAN	PYGB	Glycogen phosphorylase, brain form	1576.45		764.096			1285.21			614.872			956.44	2158.68		
P11233	P11233;P11234	RALA_HUMAN	RALA	Ras-related protein Ral-A	1175.84	772.254	2054.06	1883.49	1596.64	2054.38			1242.5		1895.26	1426.43	1501.48	2770.26	
P11279	P11279	LAMP1_HUMAN	LAMP1	Lysosome-associated membrane glycoprotein 1	278.305										139.98		146.283	1421.21	
P11310	P11310	ACADM_HUMAN	ACADM	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	1139.75	3725.3	928.339	661.534	1754.7						1046.46		1399.96		
P11387	P11387	TOP1_HUMAN	TOP1	DNA topoisomerase 1	3505.74	4114.69	3464.39	1425.94	4316.72	3354.11			4718.56		4351.26	2362.4	3620.3		
P11388	P11388	TOP2A_HUMAN	TOP2A	DNA topoisomerase 2-alpha	2052.43		2711.37	4057.04	3045.6	2730.47			1928.27		2420.01		1850.85		
P11413	P11413	G6PD_HUMAN	G6PD	Glucose-6-phosphate 1-dehydrogenase	8855.96	2932.31	11474.3	3861.89	1093.58	7789.33			11040.3	1796.81	748.448	9384.75	7349.89	2155.3	1443.59
P11498	P11498	PYC_HUMAN	PC	Pyruvate carboxylase, mitochondrial	3138.22	3425.48	2455.83	3991.22	5362.82	1725.73			2558.88	1928.02	2720.4	3832.53	1367.65		
P11586	P11586	C1TC_HUMAN	MTHFD1	C-1-tetrahydrofolate synthase, cytoplasmic	2854.06	3831.18	2552.97	1127.43	1636.79	3153.75			2466.79		2140.93	2861.77	3849.87	2099.38	
P11766	P11766	ADHX_HUMAN	ADH5	Alcohol dehydrogenase class-3	1781.25	1966.95	2110.24			1836.6			3265.06		1168.37	1789.78	2006.61		
P11940	P11940;Q4VXU2	PABP1_HUMAN	PABPC1	Polyadenylate-binding protein 1	6599.06	10048.9	6298.14	2756.45	1575.35	8290.33	2113.73		5093.25		2239.51	8957.34	4759.72	5909.64	1333.76
P12004	P12004	PCNA_HUMAN	PCNA	Proliferating cell nuclear antigen	4530.46	4543.94	6198.03		546.463	2067.98			3204.38		460.29	808.509	3779.04		
P12081	P12081;P49590	HARS1_HUMAN	HARS1	Histidine--tRNA ligase, cytoplasmic	1675.59	1402.04	1990.03	1170.95	769.719	2034.62			2096.83		745.967	1435.18	2021.48		
P12235	P12235	ADT1_HUMAN	SLC25A4	ADP/ATP translocase 1	5921.32	4169.78	3805.23	10251.1	8595.13	6282.23			4183.74	1885.15	4978.32	6359.63	3206.94		
P12236	P12236	ADT3_HUMAN	SLC25A6	ADP/ATP translocase 3	3862.41	5406.7	2507.47	10814.2	5574.16	4612.62			2783.52	2704.23	4412.91	3725.1	2038.36		
P12268	P12268	IMDH2_HUMAN	IMPDH2	Inosine-5'-monophosphate dehydrogenase 2	7512.98	15783.1	5862.66	1599.3	1119.23	16060.4	4913.21		10608.6		3712.02	12697.7	10260.1	3811.47	2530.15
P12270	P12270	TPR_HUMAN	TPR	Nucleoprotein TPR	2016.83	2747.04	1741.25	1484.18	2686.41	1793.32			1567.03		2761.35	2289.44	1839.63		
P12273	P12273	PIP_HUMAN	PIP	Prolactin-inducible protein	1708.2	1594.82	528.051	1835.69	1016.93	1438.7	5852.22		1745.42	3271.32	3006.1	883.856	972.008	4196.98	1965.22
P12277	P12277	KCRB_HUMAN	CKB	Creatine kinase B-type	2702.07	3701.1	6380.95	1556.95	833.882	6844.14	3479.66		6622.86	3297.72	805.768	6602.33	2686.86	4387.9	2014.99
P12314;Q92637	P12314;Q92637	FCGR1_HUMAN;FCGRB_HUMAN	FCGR1A;FCGR1B	High affinity immunoglobulin gamma Fc receptor I	8213.8		8630.21	14909	9599.71										
P12429	P12429	ANXA3_HUMAN	ANXA3	Annexin A3	2208.03	1730.43	2424.07	722.282		1940.17	3093.5		2078.54		1149.88	1827.44	1026.12	2619.24	
P12532	P12532	KCRU_HUMAN	CKMT1A	Creatine kinase U-type, mitochondrial			1191.61		1263.16	452.735			1023.56	2075.32	1616.36	420.011			
P12694	P12694	ODBA_HUMAN	BCKDHA	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial			650.629	457.63	729.637						839.812	216.637			
P12814	P12814	ACTN1_HUMAN	ACTN1	Alpha-actinin-1	1082.44	749.252	732.853			896.372					263.621	717.968	1042.47		
P12931	P06241;P12931;P07947	SRC_HUMAN	SRC	Proto-oncogene tyrosine-protein kinase Src	1841.1	1458.38	1445.48	915.011	783.406	970.764			985.366			1350.43	1977.52		
P12955	P12955	PEPD_HUMAN	PEPD	Xaa-Pro dipeptidase	3109.59	1754.57	2237.47			1816.23			2585.87	1507.94		2510.54			
P12956	P12956	XRCC6_HUMAN	XRCC6	X-ray repair cross-complementing protein 6	5802.59	7158.3	6719.17	2628.57	3113.27	7878.14	10217.4		6716.49		1207.98	2735.76	7596.71	4141.43	
P13010	P13010	XRCC5_HUMAN	XRCC5	X-ray repair cross-complementing protein 5	7835.28	7956.52	8993.59	2858.83	3991.16	11211.3			9260.08		1494.98	2676.43	11548.6	4255.86	
P13073	P13073	COX41_HUMAN	COX4I1	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	4996.79	3910.83	7061.45	6680.76	4824.28	3779.22			6401.14	3041.9	9328.76	4580.24	3565.63	1502.26	
P13489	P13489	RINI_HUMAN	RNH1	Ribonuclease inhibitor	1707.91	1970.5	2613.9	4679.69		2093.04			3339.87		950.568	2114	2201.05		
P13639	P13639	EF2_HUMAN	EEF2	Elongation factor 2	53592.8	63131.5	37761.3	12817.3	4550.22	56213.4	8831.45		39496.4	9263.83	5768.82	61789.3	45477.3	12310	9124.11
P13645	P13645;CONT|P13645|K1C10_HUMAN	K1C10_HUMAN	KRT10	Keratin, type I cytoskeletal 10	245296	258491	225370	345738	315492	767866	525590		249845	524387	321968	514902	160965	656630	499620
P13647	P13647;CONT|Q5XQN5|K2C5_BOVIN;CONT|P13647|K2C5_HUMAN	K2C5_HUMAN	KRT5	Keratin, type II cytoskeletal 5	51175.1	50131.3	43910.6	71924.5	78523.6	87725.3	100937		51531	110479	70716.3	56617	36334.6	134241	106075
P13667	P13667	PDIA4_HUMAN	PDIA4	Protein disulfide-isomerase A4	3972.63	4240.76	4149.71	3798.55	1709.09	3506.25	1411.05		2911.84	1813.75	1638.61	4492.45	4551.36	4805.84	
P13693	P13693	TCTP_HUMAN	TPT1	Translationally-controlled tumor protein	1062.5	1079.54	1240.73			2771.74			1216.72		944.327	2070.44	1151.4	2295.38	
P13797	P13797	PLST_HUMAN	PLS3	Plastin-3	3734.89	5118.14	4608.51	1276.53		4100.12			3626.08	1325.58	809.44	3375.09	3772.14		
P13798	P13798	ACPH_HUMAN	APEH	Acylamino-acid-releasing enzyme	1139.6	765.831	1778.68	1101.39	939.032	1010.36	2237.95		1937.32	1093.12	1006.3	1147.68	675.617	2320.77	1038.94
P13804	P13804	ETFA_HUMAN	ETFA	Electron transfer flavoprotein subunit alpha, mitochondrial	5511.88	6629.02	6710.25	7614.89	8504.34	5242.7			6901.12	2582.32	7012.36	5526.63	4260.46	553.96	
P13861	P13861	KAP2_HUMAN	PRKAR2A	cAMP-dependent protein kinase type II-alpha regulatory subunit	5774.11	5550.47	7216.8	4806.91	3070.1	7181.24			6278.85		2536.07	7393.45	8994.8	4909.68	
P13984	P13984	T2FB_HUMAN	GTF2F2	General transcription factor IIF subunit 2	1923.43	1668.05	1613.91			1561.65			1848.67			1316.98	1022.31		
P13995	P13995	MTDC_HUMAN	MTHFD2	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	3185.19	1442.64	3902.25	2766.37	2185.34	787.908			1722.96		1559.27	1382.14	1441.69		
P14209	P14209	CD99_HUMAN	CD99	CD99 antigen			1148.82	728.25	1043.55	661.214							1850.31		
P14314	P14314	GLU2B_HUMAN	PRKCSH	Glucosidase 2 subunit beta	6511.12	5055.98	7013.91	4449.94	3368.57	5102.26	2078.16		6619.7	2986.49	1909.6	7344.61	8633.79	7468.7	
P14324	P14324	FPPS_HUMAN	FDPS	Farnesyl pyrophosphate synthase	3307.91	2483.61	3279.65			2182.71			3081.32			1878.33	2492.15		
P14406	P14406	CX7A2_HUMAN	COX7A2	Cytochrome c oxidase subunit 7A2, mitochondrial	1690	1675.22	7811.06	6697.17	4688.53	3965.84			2331.72	2026.38	7868.76	3086.67	2635.36	1498.82	
P14550	P14550	AK1A1_HUMAN	AKR1A1	Aldo-keto reductase family 1 member A1	1260.58	1238.03	1228.02			1070.67			1170.79			979.424	1460.38		
P14618	P14618	KPYM_HUMAN	PKM	Pyruvate kinase PKM	79956.6	61331.2	40037.1	8838.27	5023.91	57850.5	13028.8		59226.2	12358.3	6064.34	58055.6	34780.8	15582.1	9793.08
P14625	P14625;Q58FF3	ENPL_HUMAN	HSP90B1	Endoplasmin	18546.5	16421.9	17513.2	17020.5	6991.79	13456.4	3786.55		14001.6	7515.31	4757.75	18970.9	17988.7	18094.4	3956.61
P14678;P63162	P63162;P14678	RSMB_HUMAN;RSMN_HUMAN	SNRPB;SNRPN	Small nuclear ribonucleoprotein-associated proteins B and B'	3630.33	4047.65	3670.23	788.747	1261.35	2304.3	852.665		4386.9		794.956	2940.75	3369.91	1899.76	
P14735	P14735	IDE_HUMAN	IDE	Insulin-degrading enzyme	2981.23	3316.49	3381.89	1859.36	1063.58	2661.33	3303.43		2702.64	2687.15	1678.56	3411.01	1818.94	4015.81	2410.45
P14866	P14866	HNRPL_HUMAN	HNRNPL	Heterogeneous nuclear ribonucleoprotein L	5265.91	5883.6	5783.57	2324.04	8401.97	6761.14			7786.55		6074.12	8789.92	6255.6		
P14868	P14868	SYDC_HUMAN	DARS1	Aspartate--tRNA ligase, cytoplasmic	3180.61	3291.73	3566.07	2066.75	786.561	4575.9			4204.37			4556.34	5499.54	4531.56	
