Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-25-2024_Slot2-94_3888.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-28-2024_Slot2-94_3955.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-28-2024_Slot2-94_3959.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-28-2024_Slot2-94_3968.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-29-2024_Slot2-94_3994.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_3-2-2024_Slot2-94_4032.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_3-3-2024_Slot2-94_4061.d
O94966	O94966	UBP19_HUMAN	USP19	Ubiquitin carboxyl-terminal hydrolase 19	343.777						
O94973	O94973	AP2A2_HUMAN	AP2A2	AP-2 complex subunit alpha-2		374.078		322.069	321.18	583.413	379.919
O94979	O94979	SC31A_HUMAN	SEC31A	Protein transport protein Sec31A	1757.96	1947.34	1826.88	1649.55	1709.36	1866.36	1966.58
O94992	O94992	HEXI1_HUMAN	HEXIM1	Protein HEXIM1	425.953	420.708		507.818	205.455		715.91
O95070	O95070	YIF1A_HUMAN	YIF1A	Protein YIF1A		251.863				269.583	372.836
O95071	O95071	UBR5_HUMAN	UBR5	E3 ubiquitin-protein ligase UBR5	236.556	334.555		603.065			495.977
O95104	Q9UPN6;O95104	SCAF4_HUMAN	SCAF4	SR-related and CTD-associated factor 4	485.467	525.891		292.086			316.776
O95140	O95140	MFN2_HUMAN	MFN2	Mitofusin-2					356.273		
O95155	O95155	UBE4B_HUMAN	UBE4B	Ubiquitin conjugation factor E4 B	110.661	405.068		464.038	739.618		623.302
O95159	O95159	ZFPL1_HUMAN	ZFPL1	Zinc finger protein-like 1	590.751	447.369		246.645			711.182
O95163	O95163	ELP1_HUMAN	ELP1	Elongator complex protein 1	479.259	455.513		578.035	584.879	621.928	549.276
O95168	O95168	NDUB4_HUMAN	NDUFB4	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4	711.478	558.009		715	892.302	791.301	512.317
O95169	O95169	NDUB8_HUMAN	NDUFB8	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial	273.046	823.062			647.444	349.216	
O95197	O95197	RTN3_HUMAN	RTN3	Reticulon-3	2508.07	2598.72	5753.88	3103.21	2547.07	1539.77	2358.19
O95202	O95202	LETM1_HUMAN	LETM1	Mitochondrial proton/calcium exchanger protein	1073.79	964.888	1864.62	852.226	1051.64	767.165	896.556
O95210	O95210	STBD1_HUMAN	STBD1	Starch-binding domain-containing protein 1		475.011					
O95218	O95218	ZRAB2_HUMAN	ZRANB2	Zinc finger Ran-binding domain-containing protein 2	552.063	849.301	1472.56	1129.96	1179.86	1094.52	1086.67
O95219	O95219	SNX4_HUMAN	SNX4	Sorting nexin-4	321.98	277.356					252.062
O95232	O95232	LC7L3_HUMAN	LUC7L3	Luc7-like protein 3	728.531	625.42	2326.25	847.718	803.726	725.076	1007.03
O95235	O95235	KI20A_HUMAN	KIF20A	Kinesin-like protein KIF20A	259.88						
O95251	O95251	KAT7_HUMAN	KAT7	Histone acetyltransferase KAT7				207.084			
O95292	O95292	VAPB_HUMAN	VAPB	Vesicle-associated membrane protein-associated protein B/C	1439.05	1964.87	1960.5	1219.94	1963.08	1697.51	1629.43
O95295	O95295	SNAPN_HUMAN	SNAPIN	SNARE-associated protein Snapin	215.401	430.629					165.178
O95297	O95297	MPZL1_HUMAN	MPZL1	Myelin protein zero-like protein 1	311.064	334.894			171.711	369.263	
O95299	O95299	NDUAA_HUMAN	NDUFA10	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	216.271	483.012		446.123	420.213	325.284	266.067
O95302	O95302;Q75LS8	FKBP9_HUMAN	FKBP9	Peptidyl-prolyl cis-trans isomerase FKBP9	1628.74	1422.7	1525.31	1246.44	1611.76	1423.39	1271.71
O95336	O95336	6PGL_HUMAN	PGLS	6-phosphogluconolactonase	1533.93	1719.85		1709.11	1288.64	1396.22	1513.75
O95340	O95340	PAPS2_HUMAN	PAPSS2	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2	730.199	769.827	1879.52	745.106	793.498	636.286	815.626
O95347	O95347	SMC2_HUMAN	SMC2	Structural maintenance of chromosomes protein 2	792.381	718.913	1841.05	763.186	1041.39	730.162	929.264
O95352	O95352	ATG7_HUMAN	ATG7	Ubiquitin-like modifier-activating enzyme ATG7		360.097			613.326	241.487	
O95361	O95361	TRI16_HUMAN	TRIM16	Tripartite motif-containing protein 16	321.625	278.246		527.89	266.193		
O95372	O95372	LYPA2_HUMAN	LYPLA2	Acyl-protein thioesterase 2	1100.61	935.368	944.524	823.154	700.572	1329.78	867.888
O95373	O95373	IPO7_HUMAN	IPO7	Importin-7	3552.34	3722.64	3426.49	3306.33	3396.15	3575.71	3341.71
O95376	O95376	ARI2_HUMAN	ARIH2	E3 ubiquitin-protein ligase ARIH2	221.706	358.403			459.1		
O95379	O95379	TFIP8_HUMAN	TNFAIP8	Tumor necrosis factor alpha-induced protein 8		622.848			354.68		213.394
O95394	O95394	AGM1_HUMAN	PGM3	Phosphoacetylglucosamine mutase	662.475	715.782		600.677	488.146	820.403	672.486
O95400	O95400	CD2B2_HUMAN	CD2BP2	CD2 antigen cytoplasmic tail-binding protein 2	567.427	556.835		545.197	589.237	455.031	784.567
O95425	O95425	SVIL_HUMAN	SVIL	Supervillin	396.415	245.991		515.22		280.58	890.67
O95433	O95433	AHSA1_HUMAN	AHSA1	Activator of 90 kDa heat shock protein ATPase homolog 1	1767.51	1591.08	1589.94	1891.75	1442.94	1857.48	1818.35
O95456	O95456	PSMG1_HUMAN	PSMG1	Proteasome assembly chaperone 1	320.074	492.858		565.359	649.787	965.897	1095.73
O95466	O95466	FMNL1_HUMAN	FMNL1	Formin-like protein 1					262.373		91.4931
O95470	O95470	SGPL1_HUMAN	SGPL1	Sphingosine-1-phosphate lyase 1	580.85			480.28	709.926		
O95478	O95478	NSA2_HUMAN	NSA2	Ribosome biogenesis protein NSA2 homolog	481.136	370.179		499.788	337.681	413.754	628.023
O95486	O95486	SC24A_HUMAN	SEC24A	Protein transport protein Sec24A	603.588	1096.39		741.487	1187.61		641.728
O95487	O95487	SC24B_HUMAN	SEC24B	Protein transport protein Sec24B	301.218	244.055		413.167	398.975		
O95562	O95562	SFT2B_HUMAN	SFT2D2	Vesicle transport protein SFT2B		168.916					
O95563	O95563	MPC2_HUMAN	MPC2	Mitochondrial pyruvate carrier 2						386.28	685.246
O95571	O95571	ETHE1_HUMAN	ETHE1	Persulfide dioxygenase ETHE1, mitochondrial	514.255	675.908		667.215	899.191	761.72	747.299
O95573	O95573	ACSL3_HUMAN	ACSL3	Fatty acid CoA ligase Acsl3	1599.05	1267.24	2769.05	1372.58	1448.65	1601.02	1472.05
O95602	O95602	RPA1_HUMAN	POLR1A	DNA-directed RNA polymerase I subunit RPA1	133.888	296.571		640.175			541.737
O95630	O95630	STABP_HUMAN	STAMBP	STAM-binding protein	326.931			218.067		462.146	304.011
O95707	O95707	RPP29_HUMAN	POP4	Ribonuclease P protein subunit p29		135.759		467.044		264.231	
O95721	O95721	SNP29_HUMAN	SNAP29	Synaptosomal-associated protein 29	369.218	470.593		450.918		577.259	530.741
O95747	O95747	OXSR1_HUMAN	OXSR1	Serine/threonine-protein kinase OSR1	1779.91	1501.59	2596.9	1524.6	1806.09	1889.05	2047.56
O95757	O95757	HS74L_HUMAN	HSPA4L	Heat shock 70 kDa protein 4L	1014.52	966.127	1327.24	913.273	1368.7	1204.4	1441.4
O95758	O95758	PTBP3_HUMAN	PTBP3	Polypyrimidine tract-binding protein 3	448.53				573.645	524.708	
O95777	O95777	LSM8_HUMAN	LSM8	U6 snRNA-associated Sm-like protein LSm8	645.947	668.401		521.773	462.596	475.189	584.313
O95782	O94973;O95782	AP2A1_HUMAN	AP2A1	AP-2 complex subunit alpha-1	1187.53	1028.18		1145.21	1051.2	1195.58	1185.33
O95801	O95801	TTC4_HUMAN	TTC4	Tetratricopeptide repeat protein 4		218.316				438.609	
O95816	O95816	BAG2_HUMAN	BAG2	BAG family molecular chaperone regulator 2	1631.56	1437.73	2195.15	1497.88	1789.01	1576.74	1382.05
O95817	O95817	BAG3_HUMAN	BAG3	BAG family molecular chaperone regulator 3	572.889	538.255	1269.95	725.079	817.581	705.527	781.862
O95831	O95831	AIFM1_HUMAN	AIFM1	Apoptosis-inducing factor 1, mitochondrial	1014.82	1331.86	1615.22	1124.03	1365.62	1249.15	1250.51
O95833	O95833	CLIC3_HUMAN	CLIC3	Chloride intracellular channel protein 3	560.349	582.809	1389.21	591.627		429.843	628
O95834	O95834	EMAL2_HUMAN	EML2	Echinoderm microtubule-associated protein-like 2	568.945	535.183		402.213			
O95861	O95861	BPNT1_HUMAN	BPNT1	3'(2'),5'-bisphosphate nucleotidase 1	831.391	724.469		766.176	738.815	841.529	854.657
O95864	O95864	FADS2_HUMAN	FADS2	Acyl-CoA 6-desaturase	1552.21	1372		1470.64	1194.94	1510.75	891.942
O95865	O95865	DDAH2_HUMAN	DDAH2	N(G),N(G)-dimethylarginine dimethylaminohydrolase 2		488.729		265.433	535.444	231.272	290.098
O95881	O95881	TXD12_HUMAN	TXNDC12	Thioredoxin domain-containing protein 12	1348.68	1953.77	2888.66	1399.46	1581.12	1619.55	1638.88
O96000	O96000	NDUBA_HUMAN	NDUFB10	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10	960.716	900.558		1076.52	1037.26	1025.62	997.308
O96005	O96005	CLPT1_HUMAN	CLPTM1	Cleft lip and palate transmembrane protein 1	600.783	258.35	2001.68	400.613	301.37	392.081	334.258
O96008	O96008	TOM40_HUMAN	TOMM40	Mitochondrial import receptor subunit TOM40 homolog	1260.91	1449.52	999.624	1124.06	1160.25	1253.58	1303.14
O96019	O96019	ACL6A_HUMAN	ACTL6A	Actin-like protein 6A	939.087	898.191		980.815	952.929	838.264	913.945
O96028	O96028	NSD2_HUMAN	NSD2	Histone-lysine N-methyltransferase NSD2	212.739	135.732			242.958		
P00167	P00167	CYB5_HUMAN	CYB5A	Cytochrome b5	361.623	372.136		504.729		449.276	544.532
P00338	P00338	LDHA_HUMAN	LDHA	L-lactate dehydrogenase A chain	38210	37773.8	33189.3	37054	36847.7	37321	37342.8
P00367	P00367;P49448	DHE3_HUMAN	GLUD1	Glutamate dehydrogenase 1, mitochondrial	2614.76	2279.75	3891.5	1947.81	2261.74	2188.38	2304.1
P00374	P00374	DYR_HUMAN	DHFR	Dihydrofolate reductase	1643.09	1719.99	2180.29	2032.52	1840.81	1817.13	1526.76
P00387	P00387	NB5R3_HUMAN	CYB5R3	NADH-cytochrome b5 reductase 3	4505.51	3816.48	4105.85	4082.08	4339.93	4363.08	3973.81
P00390	P00390	GSHR_HUMAN	GSR	Glutathione reductase, mitochondrial	4280.09	4431.23	4613.23	4298.63	4650.96	4501.32	4243.26
P00403	P00403	COX2_HUMAN	MT-CO2	Cytochrome c oxidase subunit 2	5249.16	5514.09	4596.18	4721.38	5527.87	4602.91	4421.55
P00441	P00441	SODC_HUMAN	SOD1	Superoxide dismutase [Cu-Zn]	6760.99	7761.44	5771.25	7121.6	7363.13	6717.48	7748.53
P00491	P00491	PNPH_HUMAN	PNP	Purine nucleoside phosphorylase	1908.13	1678.28	1646.48	2026.32	1726.6	1500.33	1566.04
P00492	P00492	HPRT_HUMAN	HPRT1	Hypoxanthine-guanine phosphoribosyltransferase	2038.61	1935.86	2415.14	1721.29	2019.52	1755.25	1863.07
P00505	P00505	AATM_HUMAN	GOT2	Aspartate aminotransferase, mitochondrial	2736.34	3100.28	3016.31	2571.31	2937.74	3045	3036.33
P00533	P00533	EGFR_HUMAN	EGFR	Epidermal growth factor receptor	594.387	705.578		583.436	371.715	549.71	800.714
P00558	P00558	PGK1_HUMAN	PGK1	Phosphoglycerate kinase 1	18409.8	17444.7	14486	16676.6	17814.6	16920	16476.9
P00568	P00568	KAD1_HUMAN	AK1	Adenylate kinase isoenzyme 1	3178.63	3176.83	4368.7	3554.72	3823.94	3430.43	3196.26
P00846	P00846	ATP6_HUMAN	MT-ATP6	ATP synthase subunit a	360.12	502.984		476.004	546.037	417.16	361.532
P00918	P00918	CAH2_HUMAN	CA2	Carbonic anhydrase 2	406.539	119.543				448.744	
P01034	P01034	CYTC_HUMAN	CST3	Cystatin-C		667.934					
P01111	P01111	RASN_HUMAN	NRAS	GTPase NRas	1664.97	2427.11	1759.69	2529.24	1762.75	1925.63	2474.37
P01116	P01112;P01116	RASK_HUMAN	KRAS	GTPase KRas	281.187	435.197		417.415	389.616	228.17	425.446
P01130	P01130	LDLR_HUMAN	LDLR	Low-density lipoprotein receptor	474.991					429.368	
P01215	P01215	GLHA_HUMAN	CGA	Glycoprotein hormones alpha chain	1531.18	1569.4		1604.29	2037.41	1741.44	1645.52
P01889	P01893;P13747;P04439;P17693;P01889	HLAB_HUMAN	HLA-B	HLA class I histocompatibility antigen, B alpha chain	1248.22	1688.52	2220.23	1729.48	1319.91	1351.56	1201.8
P01893	P01893	HLAH_HUMAN	HLA-H	Putative HLA class I histocompatibility antigen, alpha chain H	694.937						
P02461	P02461	CO3A1_HUMAN	COL3A1	Collagen alpha-1(III) chain	592.816	604.339	704.669	492.799	848.251	460.085	505.644
P02511	P02511	CRYAB_HUMAN	CRYAB	Alpha-crystallin B chain	841.415	989.923		1101.8	1317.17	1348.43	1249.16
P02545	P02545	LMNA_HUMAN	LMNA	Prelamin-A/C	15561.8	15818.4	15476.2	14773	14981.5	16144.5	16114
P02786	P02786	TFR1_HUMAN	TFRC	Transferrin receptor protein 1	3709.26	3755.72	4017.69	3814.2	3656.42	3790.74	3730.06
P02792	P02792	FRIL_HUMAN	FTL	Ferritin light chain	845.981	791.436		562.31	376.712	268.206	568.755
P02794	P02794	FRIH_HUMAN	FTH1	Ferritin heavy chain	2795.07	2461.32	2601.2	3087.35	2940.72	2764.25	3008.08
P02795;P13640;P80297	Q8N339;P02795;P80297;P04732;P13640;CONT|P67983|MT1A_BOVIN	MT1G_HUMAN;MT1X_HUMAN;MT2_HUMAN	MT1G;MT1X;MT2A	Metallothionein-2	1966.93	2197.06	1363.1	1987.42	1995	2188.84	1804.66
P03928	P03928	ATP8_HUMAN	MT-ATP8	ATP synthase protein 8		195.177		539.438			568.504
P04040	P04040	CATA_HUMAN	CAT	Catalase	1235.36	1019.6	3965.8	1262.14	1003.61	1064.3	1119.3
P04049;P10398;P15056	P04049;P15056;P10398	ARAF_HUMAN;BRAF_HUMAN;RAF1_HUMAN	ARAF;BRAF;RAF1	RAF proto-oncogene serine/threonine-protein kinase		271.974					698.249
P04062	P04062	GLCM_HUMAN	GBA	Lysosomal acid glucosylceramidase	845.136	931.915		993.198	880.258	681.462	755.237
P04075	P04075	ALDOA_HUMAN	ALDOA	Fructose-bisphosphate aldolase A	17481.2	17844.1	16168.2	18172.5	17625.1	17243.7	17634.3
P04080	P04080	CYTB_HUMAN	CSTB	Cystatin-B	3802.9	4179.22	3104.76	4184.31	3312.5	3420.3	3790.37
P04083	P04083	ANXA1_HUMAN	ANXA1	Annexin A1	8114.33	8857.92	8402.53	8048.03	8529.07	7858.38	8084.96
P04150	P04150	GCR_HUMAN	NR3C1	Glucocorticoid receptor	332.016	222.424		295.101	627.474	589.276	429.805
P04179	P04179	SODM_HUMAN	SOD2	Superoxide dismutase [Mn], mitochondrial	1059.15	791.532	1401.95	700.019	791.188	754.919	814.271
P04181	P04181	OAT_HUMAN	OAT	Ornithine aminotransferase, mitochondrial	1400.11	1177.03	2128.18	1387.33	1836.34	1543.32	1310.23
P04183	P04183	KITH_HUMAN	TK1	Thymidine kinase, cytosolic	417.63	466.922		579.024	658.139	415.446	484.72
P04264	P04264;P04259;CONT|P04259|K2C6B_HUMAN;CONT|P04264|K2C1_HUMAN	K2C1_HUMAN	KRT1	Keratin, type II cytoskeletal 1	507.043	996.609	3381.52	1274.66	1048.84	984.233	1104.68
P04406	P04406	G3P_HUMAN	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	126603	124920	98316.1	113810	111056	115951	110449
P04439	P30511;P01893;P04439;P10321	HLAA_HUMAN	HLA-A	HLA class I histocompatibility antigen, A alpha chain	1578.78	1245.19		1345.67	913.703	1523.68	1668.68
P04632	Q96L46;P04632	CPNS1_HUMAN	CAPNS1	Calpain small subunit 1	2251.03	1559.53	903.41	1748.68	2060.26	1521.69	1769.77
P04792	P04792	HSPB1_HUMAN	HSPB1	Heat shock protein beta-1	22191.3	21378.3	22234.2	20838.9	22237.2	24780.9	22369.5
P04818	P04818	TYSY_HUMAN	TYMS	Thymidylate synthase	1311.25	1566.9	903.278	1417.54	1576.86	1856.56	1593.32
P04843	P04843	RPN1_HUMAN	RPN1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	3204.04	3745.28	4196.54	3458.59	3307.49	3631.57	3332.49
P04844	P04844	RPN2_HUMAN	RPN2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	1234.01	1355.34		1566.62	1109.76	1360.38	1247.14
P04899	P04899	GNAI2_HUMAN	GNAI2	Guanine nucleotide-binding protein G(i) subunit alpha-2	3866.5	3771.33	5628.79	4546.69	4439.51	4334.6	4317.34
P04908;Q7L7L0;Q93077	Q93077;Q7L7L0;P04908	H2A1B_HUMAN;H2A1C_HUMAN;H2A3_HUMAN	H2AC4;H2AC6;H2AW	Histone H2A type 1-B/E	588.197	444.176				329.439	311.678
P05023	P05023	AT1A1_HUMAN	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1	3600.74	3767.94	3609.29	3953.74	3601.31	3432.08	3846.76
P05026	P05026	AT1B1_HUMAN	ATP1B1	Sodium/potassium-transporting ATPase subunit beta-1	1868.23	1903.64		2219.29	1726.12	1836.94	1772.49
P05067	P05067	A4_HUMAN	APP	Amyloid-beta precursor protein	264.124	372.953		434.717		497.31	
P05091	P05091	ALDH2_HUMAN	ALDH2	Aldehyde dehydrogenase, mitochondrial	909.359	961.993	934.782	797.682	805.591	827.099	792.465
P05114	P05114	HMGN1_HUMAN	HMGN1	Non-histone chromosomal protein HMG-14	558.249	714.354		694.252	641.835	567.732	577.82
P05141	P05141;P12236;Q9H0C2;P12235	ADT2_HUMAN	SLC25A5	ADP/ATP translocase 2	18507.8	17293.3	14918.9	16771.4	17477.6	16884.6	17312.9
P05161	P05161	ISG15_HUMAN	ISG15	Ubiquitin-like protein ISG15	622.781	1015.47	1178.53	1007.56	686.308	1280.49	663.809
P05166	P05166	PCCB_HUMAN	PCCB	Propionyl-CoA carboxylase beta chain, mitochondrial		346.399			210.024		
P05186	P05186	PPBT_HUMAN	ALPL	Alkaline phosphatase, tissue-nonspecific isozyme	1981.25	2070.91	2586.7	2214.78	1830.07	2299.57	1784.87
P05198	P05198	IF2A_HUMAN	EIF2S1	Eukaryotic translation initiation factor 2 subunit 1	2875.16	2809.71	3559.05	2876.82	2540.79	2563.82	3055.61
P05204	P05204;Q15651	HMGN2_HUMAN	HMGN2	Non-histone chromosomal protein HMG-17	2228.53	3399.76	2361.22	1870.7	2526.93	2250.88	2597.51
P05387	P05387	RLA2_HUMAN	RPLP2	60S acidic ribosomal protein P2	12024.6	12766.7	9847.38	11342.6	12800.1	12931.1	12061
P05388	P05388	RLA0_HUMAN	RPLP0	60S acidic ribosomal protein P0	6909.33	7103.2	7648.49	7920.95	6736.72	6910.93	7237.79
P05455	P05455	LA_HUMAN	SSB	Lupus La protein	1896.65	2176.06	1284.49	1677.73	1565.25	1628.3	2022.13
P05556	P05556	ITB1_HUMAN	ITGB1	Integrin beta-1	3475.42	3180.43	2852.69	3735.71	3138.61	3542.71	3181.5
P05783	P05783;CONT|P05783|K1C18_HUMAN	K1C18_HUMAN	KRT18	Keratin, type I cytoskeletal 18	37127.3	37888.9	34159.1	37228.6	37410.6	37615.3	38218.4
P05787	P05787;CONT|P05787|K2C8_HUMAN	K2C8_HUMAN	KRT8	Keratin, type II cytoskeletal 8	49227	48491.2	45494.2	49072	49141.1	46982.1	47882.8
P06132	P06132	DCUP_HUMAN	UROD	Uroporphyrinogen decarboxylase	1235.45	1147.15		2203.47	1060.21	1760.06	1538.17
P06239;P06241;P07947;P07948;P08631;P09769;P11362;P20794;P21802;P22455;P22607;P51451;Q8IZL9;Q9UPZ9	P51451;P20794;P07948;Q8IZL9;P21802;P11362;P09769;P06241;P22607;P07947;P22455;P08631;P06239;Q9UPZ9	BLK_HUMAN;CDK20_HUMAN;CILK1_HUMAN;FGFR1_HUMAN;FGFR2_HUMAN;FGFR3_HUMAN;FGFR4_HUMAN;FGR_HUMAN;FYN_HUMAN;HCK_HUMAN;LCK_HUMAN;LYN_HUMAN;MAK_HUMAN;YES_HUMAN	BLK;CDK20;CILK1;FGFR1;FGFR2;FGFR3;FGFR4;FGR;FYN;HCK;LCK;LYN;MAK;YES1	Tyrosine-protein kinase Lck	4966.84	5798.58	4876.48		4886.35	5929.67	5748.54
P06280	P06280	AGAL_HUMAN	GLA	Alpha-galactosidase A	636.617	659.995		630.139	517.842	422.656	783.483
P06396	P06396;CONT|Q3SX14|GELS_BOVIN	GELS_HUMAN	GSN	Gelsolin	837.276	1037.56	1882.75	742.958	913.62	688.489	909.78
P06454	P06454	PTMA_HUMAN	PTMA	Prothymosin alpha	5333.26	4560.42	5646.42	3965.61	4438.46	5307.71	5050.04
P06493	P06493	CDK1_HUMAN	CDK1	Cyclin-dependent kinase 1	2080.77	2568.04	2266.27	2310.63	1759.13	2344.04	2301.41
P06576	P06576	ATPB_HUMAN	ATP5F1B	ATP synthase subunit beta, mitochondrial	9081.31	8347.5	6157.1	8228.08	8238.38	9172.2	8423.52
P06703	P06703	S10A6_HUMAN	S100A6	Protein S100-A6	51264.3	50239	48635.4	57237.3	55082.3	53325.3	54803.4
P06730	P06730	IF4E_HUMAN	EIF4E	Eukaryotic translation initiation factor 4E	1356.57	1210.34	1561.41	1060.9	934.756	1518.71	1430.78
P06733	P06733	ENOA_HUMAN	ENO1	Alpha-enolase	56697.3	58061	54377.1	55966.9	56407.8	55940	55061
P06737	P06737	PYGL_HUMAN	PYGL	Glycogen phosphorylase, liver form	1979.41	2090.23	2135.71	1801.33	1753.63	2126.81	1875.95
P06744	P06744	G6PI_HUMAN	GPI	Glucose-6-phosphate isomerase	11636.9	10586.8	10024.4	9586.65	10856.4	10557.2	9976.18
P06748	P06748	NPM_HUMAN	NPM1	Nucleophosmin	28308.3	28249.1	21769.2	25696.9	28035.3	27358.5	27399.6
P06753	P06753	TPM3_HUMAN	TPM3	Tropomyosin alpha-3 chain	3910.88	4025.29	4209.13	3987.64	4320.47	4126.37	3325.55
P06756	P06756	ITAV_HUMAN	ITGAV	Integrin alpha-V	1167.93	1018.42		1166.11	1195.38	1368.09	1246.72
P06858	P06858	LIPL_HUMAN	LPL	Lipoprotein lipase	1046.21	1138.69		782.435	789.266	921.905	1037.78
P06865	P06865	HEXA_HUMAN	HEXA	Beta-hexosaminidase subunit alpha	1058.44	895.721	877.664	786.65	820.061	852.818	1005.87
P07099	P07099	HYEP_HUMAN	EPHX1	Epoxide hydrolase 1	3650.36	3467.58	3744.28	3621.42	3473.85	2999.68	3532.58
P07108	P07108	ACBP_HUMAN	DBI	Acyl-CoA-binding protein	5529.56	3991.34	2906.15	4144.91	3345.81	3283.51	3757.27
P07195	Q6ZMR3;P00338;P07195;P07864	LDHB_HUMAN	LDHB	L-lactate dehydrogenase B chain	30563.7	31807.8	32171.5	31008.5	31040.8	29256.5	29441.5
P07203	P07203	GPX1_HUMAN	GPX1	Glutathione peroxidase 1	367.083						
P07237	P07237	PDIA1_HUMAN	P4HB	Protein disulfide-isomerase	8918.69	9019.12	8850.66	8949.84	8236.26	8227.62	8473.77
P07305	P07305	H10_HUMAN	H1-0	Histone H1.0	726.698	1117.57		1015.95	983.888	703.462	879.437
P07311	P07311	ACYP1_HUMAN	ACYP1	Acylphosphatase-1	618.004	543.037		422.223	624.033	616.381	504.815
P07315;P07316;P11844	P07316;P07315;P11844	CRGA_HUMAN;CRGB_HUMAN;CRGC_HUMAN	CRYGA;CRYGB;CRYGC	Gamma-crystallin C	2213.71	2117.21	2341.55	2387.81	2534.85	2320.59	2328.98
P07339	P07339	CATD_HUMAN	CTSD	Cathepsin D	5247.71	5116.48	3981.16	4758.61	5171.77	5361.54	4868.58
P07355	A6NMY6;P07355	ANXA2_HUMAN	ANXA2	Annexin A2	36655.7	34522.2	30577.7	35697.7	34912.7	34739.9	35964.4
P07384	P07384	CAN1_HUMAN	CAPN1	Calpain-1 catalytic subunit	1116.38	1040.55	1330.47	1140.7	936.553	1229.9	1077.31
P07437	P07437	TBB5_HUMAN	TUBB	Tubulin beta chain	22121.4	23556.9	20537.7	23209.9	21526.2	22641.5	23348.9
P07602	P07602	SAP_HUMAN	PSAP	Prosaposin	7291.22	6754.17	7266.64	7297.34	7579.09	7038.96	7257.25
P07686	P07686	HEXB_HUMAN	HEXB	Beta-hexosaminidase subunit beta	1662.99	1973.43	2866.17	1810.52	1812.38	1731.39	1652.33
P07711	P07711	CATL1_HUMAN	CTSL	Procathepsin L	804.379	1165.85		554.092	448.412	735.083	
P07737	P07737;CONT|P02584|PROF1_BOVIN	PROF1_HUMAN	PFN1	Profilin-1	43460.7	45355.3	41103.2	43262.5	43815.6	43714.9	44345.3
P07738	P07738	PMGE_HUMAN	BPGM	Bisphosphoglycerate mutase	402.389	521.762			532.468	273.366	399.975
P07741	P07741	APT_HUMAN	APRT	Adenine phosphoribosyltransferase	2214.85	2017.66	2372.53	2362.36	2041.2	2221.76	2229.58
P07814	P07814	SYEP_HUMAN	EPRS1	Bifunctional glutamate/proline--tRNA ligase	3238.89	2851.13	2837.08	3054.58	3043.82	2987.08	3283.77
P07858	P07858	CATB_HUMAN	CTSB	Cathepsin B	1128.42	1095.09	4161.51	1265.21	1638.5	1503.92	1042.27
P07900	P07900	HS90A_HUMAN	HSP90AA1	Heat shock protein HSP 90-alpha	12100.6	12323.2	10167.8	12701.1	11605.4	12138	12188.3
P07910	P07910	HNRPC_HUMAN	HNRNPC	Heterogeneous nuclear ribonucleoproteins C1/C2	14008.9	14146.3	13678.4	13822.3	13494.8	13076.9	13096.5
P07919	P07919	QCR6_HUMAN	UQCRH	Cytochrome b-c1 complex subunit 6, mitochondrial	1448.97	935.96	1934.72	1169.46	877.358	934.166	1451.47
P07942	P07942	LAMB1_HUMAN	LAMB1	Laminin subunit beta-1	459.191	278.826			678.531	325.174	240.087
P07951	P07951;CONT|Q5KR48|TPM2_BOVIN	TPM2_HUMAN	TPM2	Tropomyosin beta chain	1490.39	1400.35	1220.89	1178.32	1422.07	1376.82	1226.35
P07954	P07954	FUMH_HUMAN	FH	Fumarate hydratase, mitochondrial	2551.48	2019.92	2418.66	2142.07	2036.67	2201.7	2232.2
P07996	P07996;CONT|Q28194|Q28194_BOVIN	TSP1_HUMAN	THBS1	Thrombospondin-1	125.742	111.831		159.873			
P08133	P08133	ANXA6_HUMAN	ANXA6	Annexin A6	3521.09	3291.89	4321.88	3143.28	3235.39	3049.9	3066.91
P08134	P08134	RHOC_HUMAN	RHOC	Rho-related GTP-binding protein RhoC	934.868	759.509		900.13	953.282	805.967	615.233
P08174	P08174	DAF_HUMAN	CD55	Complement decay-accelerating factor	4255.15	4051.52	4606.39	4116.65	4134.94	4031.58	4239.06
