Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-209_4256.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-210_4257.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-211_4258.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-213_4260.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-219_4267.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-220_4268.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-221_4269.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-12-2024_Slot1-222_4289.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-52_4249.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-53_4250.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-54_4251.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-55_4252.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-56_4253.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-11-2024_Slot1-74_4264.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-11-2024_Slot1-75_4265.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-11-2024_Slot1-76_4266.d
O75467	Q6AW86;O75467	Z324A_HUMAN	ZNF324	Zinc finger protein 324A				17340.5	24271.8	18807.3	28678.4		27188.7	18901.5	13055.3			24732.2	18942.3	21234.1
O75475	O75475	PSIP1_HUMAN	PSIP1	PC4 and SFRS1-interacting protein	11111.5	13868.3	2755.85		8764.13	8088.33	10896			15530.2	12477.8		17403.7	11124.2	13600.3	15184.6
O75477	O75477	ERLN1_HUMAN	ERLIN1	Erlin-1	16602.8	29513.4	9335.28	4346.7	16007.3		30728.5			11638.2		7959.36				
O75487	O75487	GPC4_HUMAN	GPC4	Glypican-4														5560.34	4663.82	
O75489	O75489	NDUS3_HUMAN	NDUFS3	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial"		41661.9	18241.5	20108				23244.6	45196.4	26273.8	24293.6	33282.5		3500.47		8510.99
O75494	O75494	SRS10_HUMAN	SRSF10	Serine/arginine-rich splicing factor 10		17448	18465.6	7580.53	7880.01		9731.21	6103.71		23328.3	15321.1			32958	20961.2	20389.2
O75503	O75503	CLN5_HUMAN	CLN5	Ceroid-lipofuscinosis neuronal protein 5								9554.08		14603.9	14913.5			1272.7		
O75521	O75521	ECI2_HUMAN	ECI2	Enoyl-CoA delta isomerase 2	3868.97	5815.33	18757.3	12736.8	3721.94	7715.1	9385.23		12000.5	20062.5	10455.9	10116	13666.5	4985.36		
O75525	O75525	KHDR3_HUMAN	KHDRBS3	"KH domain-containing, RNA-binding, signal transduction-associated protein 3"		22242.6		15314.8						7739.19				8848.38		
O75531	O75531	BAF_HUMAN	BANF1	Barrier-to-autointegration factor			55424.8	37590.4					78285.5	82698.7	88311.3		160234	113324		
O75533	O75533	SF3B1_HUMAN	SF3B1	Splicing factor 3B subunit 1	29334.1	31288	13550.6	16663.9	21931.8	25098	23013.9	19475.6	19590.9	22996.5	15926.4	26800.9	71588.8	26541.6	32815.2	14067.1
O75534	O75534	CSDE1_HUMAN	CSDE1	Cold shock domain-containing protein E1	31501.1			15177.1	17680.9	12044.7	20456.6	19743.4	62964.2	5398.56	8757.88		27220.4	17381.4	30014.4	22727.2
O75569	O75569	PRKRA_HUMAN	PRKRA	Interferon-inducible double-stranded RNA-dependent protein kinase activator A			34764.1	11635.1	37877.9				5622.97				38612.3	9710.6		
O75592	O75592	MYCB2_HUMAN	MYCBP2	E3 ubiquitin-protein ligase MYCBP2			7419.84	2354.31	17328.2						21027.2			33729.4		
O75608	O75608	LYPA1_HUMAN	LYPLA1	Acyl-protein thioesterase 1	19423.9	17282.4	18314.8	24821.1	20838.6	17315.3	20987.6	23104.5	18346.8	19771.8	26451.3	8354.68	17032.5	23672.9	29947.6	20421
O75616	O75616	ERAL1_HUMAN	ERAL1	"GTPase Era, mitochondrial"										4418.9						
O75643	O75643	U520_HUMAN	SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase	24747.6	21402.2	18259.4	13653.2	20095.3	20351.7	16823	21933.8	30624.1	27033.7	19051	22202.8	20038.3	21998.4	27940.5	12481.6
O75663	O75663	TIPRL_HUMAN	TIPRL	TIP41-like protein				12277.2	27663.5	60002.5	15178.3			47144			21186.7	24683.8	2663.94	2887.02
O75676	O75676	KS6A4_HUMAN	RPS6KA4	Ribosomal protein S6 kinase alpha-4					7612.05											
O75688	O75688;P35813	PPM1B_HUMAN	PPM1B	Protein phosphatase 1B				6173.6		19829.7			21359.4		28307.4					
O75691	O75691	UTP20_HUMAN	UTP20	Small subunit processome component 20 homolog				4979.28									82406.9	12439.4		
O75694	O75694	NU155_HUMAN	NUP155	Nuclear pore complex protein Nup155					10158.8	27671.6		13550.8		11865.4		5747.62				
O75717	O75717	WDHD1_HUMAN	WDHD1	WD repeat and HMG-box DNA-binding protein 1	5722.58				5957.12		17244.9									
O75718	O75718	CRTAP_HUMAN	CRTAP	Cartilage-associated protein		30938.4	43511.8	16554.8			14927		13392.5	11083.8	15687.2	28327.2	7053.1	15111.6	15936.2	12615.7
O75746	O75746	CMC1_HUMAN	SLC25A12	Calcium-binding mitochondrial carrier protein Aralar1		16397.7	8970.19	10879.7	23465.4	206277			14170.7	6472.59	25009.7	14930.3				
O75787	O75787	RENR_HUMAN	ATP6AP2	Renin receptor				2806.56	34869.3											
O75794	O75794	CD123_HUMAN	CDC123	Cell division cycle protein 123 homolog				2954.21	6792.18											
O75821	O75821	EIF3G_HUMAN	EIF3G	Eukaryotic translation initiation factor 3 subunit G				5854.25	29082.8										16093.4	
O75822	O75822	EIF3J_HUMAN	EIF3J	Eukaryotic translation initiation factor 3 subunit J				8851.47	4962.45	10023.5		13149.8								
O75828	O75828	CBR3_HUMAN	CBR3	Carbonyl reductase [NADPH] 3					18150.7									10945.9		
O75832	O75832	PSD10_HUMAN	PSMD10	26S proteasome non-ATPase regulatory subunit 10				23124.8	19692.9						13418.4			7364.8	77749	
O75844	O75844	FACE1_HUMAN	ZMPSTE24	CAAX prenyl protease 1 homolog		23129.3	47951.5	16393.7	26256.8		19195.9			34666.7				13108.9		
O75874	O75874	IDHC_HUMAN	IDH1	Isocitrate dehydrogenase [NADP] cytoplasmic	39330.3	18970.4	29502.1	33792.6	35819.8	30235.3	39665.3	40437.1	58037.1	46555	50380.7	9247.7	40105.4	51254.5	32562.5	44288.4
O75879	O75879	GATB_HUMAN	GATB	"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial"															9398.26	
O75880	O75880	SCO1_HUMAN	SCO1	"Protein SCO1 homolog, mitochondrial"				25770.2												
O75886	O75886	STAM2_HUMAN	STAM2	Signal transducing adapter molecule 2				7948.01				15791.6	9123.88		14675.6			1873.26		
O75915	O75915	PRAF3_HUMAN	ARL6IP5	PRA1 family protein 3	16266.8	15415.4	54349.5	21978.7	8483.77	17024	18090.2	81811.8	16874	17991.7	23972.2	52293.4		14103.3		
O75923	O75923	DYSF_HUMAN	DYSF	Dysferlin						45444.1			34918.4							
O75934	O75934	SPF27_HUMAN	BCAS2	Pre-mRNA-splicing factor SPF27		9828.11	8058.29	7875.26		31329.7								5937.8		
O75935	O75935	DCTN3_HUMAN	DCTN3	Dynactin subunit 3			12912.4	8930.36				10299.9	17942.1		27098.3			13011.6		
O75937	O75937	DNJC8_HUMAN	DNAJC8	DnaJ homolog subfamily C member 8				11717.3		175257		43264.9		54342.3	121634	70818.9	166153			152780
O75947	O75947	ATP5H_HUMAN	ATP5PD	"ATP synthase subunit d, mitochondrial"	27178.9	69281	67350.4	62265.7	30899.3	26991.9	26432.9	38545.2	47571.2	48948.8	34751.5	60186.9	22352.7	51876.1	29779.5	17588.3
O75955	O75955	FLOT1_HUMAN	FLOT1	Flotillin-1		12517.6	10071.2	13504.6	9412.56	28906	10675.1	7736.49	14081.1	14056.3	25207.9	15284.7		10240.3	15525.4	24637.7
O75962	Q86VW2;O75962	TRIO_HUMAN	TRIO	Triple functional domain protein				4870.28					86998.6		131786	281558				
O75964	O75964	ATP5L_HUMAN	ATP5MG	"ATP synthase subunit g, mitochondrial"	26105.8	63691.6	64116.5	54018.3	15987.3	37730.5	36663.3	36451.3	55803.2	40439.7	47055.6	71841.9	23169.7	28049.9	37479	26541.4
O75970	O75970	MPDZ_HUMAN	MPDZ	Multiple PDZ domain protein											4199.32					
O75976	O75976	CBPD_HUMAN	CPD	Carboxypeptidase D			6386.45				7637.08				22249.9	24284		21072.5		
O76003	O76003	GLRX3_HUMAN	GLRX3	Glutaredoxin-3	14885.1		6383.07	13071.5	22352	13425.3	22716.8	16891.5	10611.9	8119.48	15604.7		13463.9	16599	11043.1	11898.1
O76021	O76021	RL1D1_HUMAN	RSL1D1	Ribosomal L1 domain-containing protein 1	19405.4	15454.6	9479.52	19873.8	21942.1	28292.3	21475.2	14832.4	18048.9	39963.4	33427.3	12562.7	12698.5	19318.3	35702.7	20665.7
O76024	O76024	WFS1_HUMAN	WFS1	Wolframin		10545.8	11719.9	12305.2	11226.6					13394.7	11198.3			12894.3		
O76031	O76031	CLPX_HUMAN	CLPX	"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial"			8100.06	988.573	12191.7					52434.9					51180.2	6771.7
O76041	P20929;O76041	NEBL_HUMAN	NEBL	Nebulette											11889.4					
O76062	O76062	ERG24_HUMAN	TM7SF2	Delta(14)-sterol reductase TM7SF2			12908.2		10717.1											
O76071	O76071	CIAO1_HUMAN	CIAO1	Probable cytosolic iron-sulfur protein assembly protein CIAO1				5664.72		9454.73				4192.37			12274.9			
O76074	O76074	PDE5A_HUMAN	PDE5A	"cGMP-specific 3',5'-cyclic phosphodiesterase"				9884.03												
O76094	O76094	SRP72_HUMAN	SRP72	Signal recognition particle subunit SRP72	7614.68		7425.38	8999.63	12578.2	8941.34	8987.2	11556.5	22530.2	34575.8	9583.78		12456	9971.28	6123.8	
O94760	O94760	DDAH1_HUMAN	DDAH1	"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1"	20479.5			25668.5	8267.63	10333.5	11716.2	5354.48	19572.5	18915.9	19399.1		25795.6	22283.5		12022.2
O94762	O94762	RECQ5_HUMAN	RECQL5	ATP-dependent DNA helicase Q5				4287.44			9433.1									
O94766	O94766;Q9NPZ5	B3GA3_HUMAN	B3GAT3	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3														9904.39		
O94768	O94768	ST17B_HUMAN	STK17B	Serine/threonine-protein kinase 17B			4258.56													
O94776	O94776	MTA2_HUMAN	MTA2	Metastasis-associated protein MTA2		7865.35	4443.05	2864.2	9119.29	11245.1		14589	23157	13591.4	10184.2	19241.2	22116.2	15035.6	12078.6	8871.46
O94804	O94804	STK10_HUMAN	STK10	Serine/threonine-protein kinase 10			4901.91	9720.63	47323.4									7210.83		
O94808	O94808	GFPT2_HUMAN	GFPT2	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2				2784.9												
O94818;Q96MY1	Q96MY1;O94818	NOL4L_HUMAN;NOL4_HUMAN	NOL4;NOL4L	Nucleolar protein 4		8000.98					3629.93									
O94822	O94822	LTN1_HUMAN	LTN1	E3 ubiquitin-protein ligase listerin					6519.41		27154.1									
O94826	O94826	TOM70_HUMAN	TOMM70	Mitochondrial import receptor subunit TOM70		10664	14397.2	10016.2	7246.98	10345		25639.3	21800.7	9771.47	8998.02	7121.42	3576.54	10851.8	4818.91	
O94832	O94832	MYO1D_HUMAN	MYO1D	Unconventional myosin-Id					11945.8											
O94842	O94842	TOX4_HUMAN	TOX4	TOX high mobility group box family member 4				2620.45												
O94851	O94851	MICA2_HUMAN	MICAL2	[F-actin]-monooxygenase MICAL2			24583.6	13203			10053.6							26186.1		
O94854	O94854	K0754_HUMAN	KIAA0754	Uncharacterized protein KIAA0754					14080.8											
O94855	O94855	SC24D_HUMAN	SEC24D	Protein transport protein Sec24D				11833.4	19635.3		31055.5		27262		18436.7			17322		
O94874	Q92845;O94874	UFL1_HUMAN	UFL1	E3 UFM1-protein ligase 1	10876.7	11104.2	16264.7	12309.1	17550.5	27360.9		10989.9	13651.4	12490.7	11186.5	21297.5	9728.64	8492.62		
O94888	O94888	UBXN7_HUMAN	UBXN7	UBX domain-containing protein 7				5749.84						14694.9						
O94901	O94901	SUN1_HUMAN	SUN1	SUN domain-containing protein 1	5539.67	8476.28				46818.1		17102.5			19808.5	8406.81		5901.45		
O94905	O94905;O75477	ERLN2_HUMAN	ERLIN2	Erlin-2	10877.7	18962.4	29497.6	16308.9	14752.7	8936.53		10644.8	13767.8	18735.9	12853.8	17735.8	23326.3	14485.9		
O94906	O94906	PRP6_HUMAN	PRPF6	Pre-mRNA-processing factor 6	27599.8	16966.7	18339.7	8371.57	10374.9	16490.3	9559.72	9466.11	22640.8	16716.5	15403.2	21658.1	22008	18269.4	23261.9	30257.2
O94915	O94915	FRYL_HUMAN	FRYL	Protein furry homolog-like							15176									
O94919	O94919	ENDD1_HUMAN	ENDOD1	Endonuclease domain-containing 1 protein			3020.1	4509.76												
O94925	O94925	GLSK_HUMAN	GLS	"Glutaminase kidney isoform, mitochondrial"			30731.9	12696.3		20660.1		38929.4				15168.7		25499.3	11358.8	
O94952	O94952	FBX21_HUMAN	FBXO21	F-box only protein 21					3598.51											
O94966	O94966	UBP19_HUMAN	USP19	Ubiquitin carboxyl-terminal hydrolase 19					10183											
O94973	O94973	AP2A2_HUMAN	AP2A2	AP-2 complex subunit alpha-2				130106			19401.6			3367.44						
O94979	O94979	SC31A_HUMAN	SEC31A	Protein transport protein Sec31A	21214.2	6011.59	7016.17	32570.3	19115.4	23285.9	19747.6	8983.84	37643.3	22681	30464.4		54046.9	18032.3	19034.3	14997.5
O94992	O94992	HEXI1_HUMAN	HEXIM1	Protein HEXIM1						62794.4										
O95070	O95070	YIF1A_HUMAN	YIF1A	Protein YIF1A		3443.46									12518.1					
O95071	O95071	UBR5_HUMAN	UBR5	E3 ubiquitin-protein ligase UBR5			29671.1	9270.66	30655.4	16610.8	15357.6	22643.7	16223.2		7518	22388.4	18738.3	13143.4	13920.1	14993.8
O95104	O95104	SCAF4_HUMAN	SCAF4	SR-related and CTD-associated factor 4										22062.7						
O95140	O95140	MFN2_HUMAN	MFN2	Mitofusin-2			14686.8	2366.01	11427.5			16718.8						4840.43		7289.95
O95155	O95155	UBE4B_HUMAN	UBE4B	Ubiquitin conjugation factor E4 B				5238.24												
O95163	O95163	ELP1_HUMAN	ELP1	Elongator complex protein 1				6524.36					11337.1					8662.26		
O95164	O95164	UBL3_HUMAN	UBL3	Ubiquitin-like protein 3			1517.73		12128.8											
O95167	O95167	NDUA3_HUMAN	NDUFA3	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3			8034.74	6887.29												
O95168	O95168	NDUB4_HUMAN	NDUFB4	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4		16125.9	31760.5	9483.88	8466.73	7823	10285.7	17487.4		8858.58	9231.35	16686.6	10553.2			
O95169	O95169	NDUB8_HUMAN	NDUFB8	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial"			14536.1			6341.33					3573.1	10950.1			5026.97	
O95182	O95182	NDUA7_HUMAN	NDUFA7	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7		6315.97	16225.6	9106.42							11745.1			10123.6		
O95183	O95183	VAMP5_HUMAN	VAMP5	Vesicle-associated membrane protein 5				4804.74	14113.9						12949.5					
O95197	O95197	RTN3_HUMAN	RTN3	Reticulon-3		47733.3	39204.3	23319.9		46703.2								9284.96		
O95202	O95202	LETM1_HUMAN	LETM1	Mitochondrial proton/calcium exchanger protein	7628.79	13578.3	16078.6	16514.6	7590.11	12884.7	24805.4	20193.5	22510.9	15528.1	20366.5	31190	11904.2	8908.72	23739.7	
O95218	O95218	ZRAB2_HUMAN	ZRANB2	Zinc finger Ran-binding domain-containing protein 2		15920.8														
O95219	O95219	SNX4_HUMAN	SNX4	Sorting nexin-4				4128.39	7039.97											
O95248	O95248	MTMR5_HUMAN	SBF1	Myotubularin-related protein 5				4078.94												
O95273	O95273	CCDB1_HUMAN	CCNDBP1	Cyclin-D1-binding protein 1				11815.4												
O95292	O95292	VAPB_HUMAN	VAPB	Vesicle-associated membrane protein-associated protein B/C		14269.7	18338.3	15598.7	21019.5	30254.9						19527.3			4294.9	
O95297	O95297	MPZL1_HUMAN	MPZL1	Myelin protein zero-like protein 1				2372.82												
O95298	O95298	NDUC2_HUMAN	NDUFC2	NADH dehydrogenase [ubiquinone] 1 subunit C2			2335.86								4195.33					
O95299	O95299	NDUAA_HUMAN	NDUFA10	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial"		14348	14799.8	17798.9	13834.5						64809.6		7048.92			16216
O95302	O95302	FKBP9_HUMAN	FKBP9	Peptidyl-prolyl cis-trans isomerase FKBP9	32829.2	53642.2	97357.4	39268.5	49550.2			54570.1	58140.8	71829.6	88963.4	76076.1		48710.8	75185.3	35230.6
O95336	O95336	6PGL_HUMAN	PGLS	6-phosphogluconolactonase	11021.8		10326.3	30154.2	19223.6	20125.3	6876.52	35850.4	27720.3	23506.9	32864		15775.6	24099.3	53460.8	21451.6
O95340	O95340	PAPS2_HUMAN	PAPSS2	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2				8742.3				39980.5						5879.54		
O95347	O95347	SMC2_HUMAN	SMC2	Structural maintenance of chromosomes protein 2	16890.8				8615.85	20858.5	15253.6	19562.7	6920.98				29524.3	9378.41	21970	
O95352	O95352	ATG7_HUMAN	ATG7	Ubiquitin-like modifier-activating enzyme ATG7				5505.09			9908.25		13324.5	6127.16				4231.01		
O95359	O95359	TACC2_HUMAN	TACC2	Transforming acidic coiled-coil-containing protein 2					12284.5											
O95361	O95361	TRI16_HUMAN	TRIM16	Tripartite motif-containing protein 16				5764.74	15772		42509.6				13885.1			27235.7		4311.81
O95372	O95372	LYPA2_HUMAN	LYPLA2	Acyl-protein thioesterase 2			7644.55	15250.2	10885				8809.86	9288.25	19252.9			10789		
O95373	O95373	IPO7_HUMAN	IPO7	Importin-7	24830.2	11702.8		19858.7	27292.2	28055.5	26974	14156.4	25591.6	18892.6	20381.6		23037.4	28243.6	23418.2	22452.2
O95394	O95394	AGM1_HUMAN	PGM3	Phosphoacetylglucosamine mutase	21091.7		10807.3	24092.7	15542.2	21681.6	13465.8		23750	22443.1	27369.4		16458.2	18158.8		26036.1
O95396	O95396	MOCS3_HUMAN	MOCS3	Adenylyltransferase and sulfurtransferase MOCS3				2186.96					6005.78					8509		
O95400	O95400	CD2B2_HUMAN	CD2BP2	CD2 antigen cytoplasmic tail-binding protein 2			6590.35		17947.5	8462.52				8111.95						
O95425	O95425	SVIL_HUMAN	SVIL	Supervillin		27331.9	11658.9	5756.98				27552.7	18165.5	21676.3	7018.02			32530.8		
O95433	O95433	AHSA1_HUMAN	AHSA1	Activator of 90 kDa heat shock protein ATPase homolog 1	19789.5			9081.69	35049.2	13763.5	19315.1		9439.48	11536.1	10661.1		26796.8	13176.2	25215.4	14648.4
O95453	O95453	PARN_HUMAN	PARN	Poly(A)-specific ribonuclease PARN		185539	6395.92	4650.45					14414.2	18536						45726.8
O95456	O95456	PSMG1_HUMAN	PSMG1	Proteasome assembly chaperone 1				4563.49		29829.7								14782.1		
O95470	O95470	SGPL1_HUMAN	SGPL1	Sphingosine-1-phosphate lyase 1		6925.37	16207.5	16752.5											63466.2	
O95479	O95479	G6PE_HUMAN	H6PD	GDH/6PGL endoplasmic bifunctional protein			25127.2	10219.6			7413.87		22871.3		8418.36					37921.8
O95486	O95486	SC24A_HUMAN	SEC24A	Protein transport protein Sec24A				9199.68							4203.79					
O95487	O95487	SC24B_HUMAN	SEC24B	Protein transport protein Sec24B				6165.81	18987.1					8557.43						
O95551	O95551	TYDP2_HUMAN	TDP2	Tyrosyl-DNA phosphodiesterase 2					2098.85											
O95563	O95563	MPC2_HUMAN	MPC2	Mitochondrial pyruvate carrier 2				11530.6												
O95571	O95571	ETHE1_HUMAN	ETHE1	"Persulfide dioxygenase ETHE1, mitochondrial"	16343.9	31457.2	16458.3	33688	12508.3	5911.98	6570.2			5588.45	27520.3	14229.8		4184.97		
O95573	O95573	ACSL3_HUMAN	ACSL3	Fatty acid CoA ligase Acsl3	23916.7	31688.5	18920.9	9099.48	22079.9	21871.4	22850.9	11076	22074.5	17357.7	14952.3	25550.4	9337.8	9087.16	22737.8	32021.1
O95602	O95602	RPA1_HUMAN	POLR1A	DNA-directed RNA polymerase I subunit RPA1	7665.05	14784.7										4189.58			10960	
O95644	O95644	NFAC1_HUMAN	NFATC1	"Nuclear factor of activated T-cells, cytoplasmic 1"														4136.88		
O95671	O95671	ASML_HUMAN	ASMTL	Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein				7008.9	34572.9						7364.16		10100.5	13595.5		
O95674	O95674	CDS2_HUMAN	CDS2	Phosphatidate cytidylyltransferase 2			8508.85	4032.23												
O95707	O95707	RPP29_HUMAN	POP4	Ribonuclease P protein subunit p29						7901.25										
O95716	P20337;Q96E17;O95716	RAB3D_HUMAN	RAB3D	Ras-related protein Rab-3D	30856.4	20095.7	20419.8	46311.2	32936.8	27680.2	29200.9	17094.1		8298.9	9693.74	11409	17336			
O95721	O95721	SNP29_HUMAN	SNAP29	Synaptosomal-associated protein 29				8637.95										17384.7		
O95747	O95747	OXSR1_HUMAN	OXSR1	Serine/threonine-protein kinase OSR1				14519.2	29582.2	20165.4					14409		19185.2	21150.8		
O95749	O95749	GGPPS_HUMAN	GGPS1	Geranylgeranyl pyrophosphate synthase				6546.91												
O95757	O95757	HS74L_HUMAN	HSPA4L	Heat shock 70 kDa protein 4L			7428.76		18745.2				10264.8							
O95758	O95758	PTBP3_HUMAN	PTBP3	Polypyrimidine tract-binding protein 3			12089.1					8562.67						10884.4		
O95772	O95772	STR3N_HUMAN	STARD3NL	STARD3 N-terminal-like protein			12985.8	3972.81												
O95777	O95777	LSM8_HUMAN	LSM8	U6 snRNA-associated Sm-like protein LSm8	18448.4	12166.2	19005.8	15469.2	11933.3	26209.4		12052.8	11092	10699.6				18711.3		
O95782	O95782	AP2A1_HUMAN	AP2A1	AP-2 complex subunit alpha-1	16439.9	19659.9	19754.4	20519.9	28003.8	18279.5	15568	11166.7	22491.5	15127.5	26579.6	14357.3	23936.8	17737.9	24224.8	28064.5
O95785	O95785	WIZ_HUMAN	WIZ	Protein Wiz														14270.4		
O95786	O95786	DDX58_HUMAN	DDX58	Antiviral innate immune response receptor RIG-I			45450.6	26006.3	154594	147753	24328.3	45871.6	6634.51		45969					
O95793	O95793	STAU1_HUMAN	STAU1	Double-stranded RNA-binding protein Staufen homolog 1				9483.38					18991.4		114106		101674			11249.7
O95801	O95801	TTC4_HUMAN	TTC4	Tetratricopeptide repeat protein 4				7124.75												
O95810	O95810	CAVN2_HUMAN	CAVIN2	Caveolae-associated protein 2		33108.1		26907.7												
O95816	O95816	BAG2_HUMAN	BAG2	BAG family molecular chaperone regulator 2	16929.7	15160.9	9514.26	24252.2	9591.3	21538.7	6255.98			24131.1	9264.42			19813		16594
O95817	O95817	BAG3_HUMAN	BAG3	BAG family molecular chaperone regulator 3	21461.7	28130.6		11960.4	7460.62	16667.3	37841.9	50498.2	6218.69	8560.38	11997.1			6251.27		122483
O95819	Q9UKE5;Q8N4C8;O95819	M4K4_HUMAN	MAP4K4	Mitogen-activated protein kinase kinase kinase kinase 4				10654	11382.7	4216.98	11881.2	21349.6	15386.8		26125.1			12955.1	31902.3	41020.5
O95825	O95825	QORL1_HUMAN	CRYZL1	Quinone oxidoreductase-like protein 1				5182.94										3056.21		
O95831	O95831	AIFM1_HUMAN	AIFM1	"Apoptosis-inducing factor 1, mitochondrial"	14603.5	27753.6	7402.84	10556.4			22104.5	33513.8			60289	26959.4		19542.1		19965
O95834	O95834	EMAL2_HUMAN	EML2	Echinoderm microtubule-associated protein-like 2				3851.1	7739.19											
O95861	O95861	BPNT1_HUMAN	BPNT1	"3'(2'),5'-bisphosphate nucleotidase 1"				7800.09					14857.7	12908.5				16883.8		
O95864	O95864	FADS2_HUMAN	FADS2	Acyl-CoA 6-desaturase					23044.6							20464.3	47765.9		21172.5	
O95865	O95865	DDAH2_HUMAN	DDAH2	"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2"	22613.9		17752.8	16491.6	6377.01	8782.11		19392.2	20253.1	10613.2	21801.1	8166.16	14275.2	20286	10284	
O95870	O95870	ABHGA_HUMAN	ABHD16A	Phosphatidylserine lipase ABHD16A				11512.2	7427.13											
O95881	O95881	TXD12_HUMAN	TXNDC12	Thioredoxin domain-containing protein 12	12147.6		36356.8	41842.5	23497.7		15252.8	25626.6	18849.9	22206.2	32975.5	43854.3	15997.3	26836.2	24002.3	17507.9
O95985	O95985	TOP3B_HUMAN	TOP3B	DNA topoisomerase 3-beta-1														2427.65		
O95989	O95989	NUDT3_HUMAN	NUDT3	Diphosphoinositol polyphosphate phosphohydrolase 1				1904.26			3170.24									
O95999	O95999	BCL10_HUMAN	BCL10	B-cell lymphoma/leukemia 10				5130.44		6606.95								7873.51		
O96000	O96000	NDUBA_HUMAN	NDUFB10	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10			7835.92	4726.32	7508.12				12868.4	12818.5	12271.9	7527.5				
