Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-26_3729.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-27_3730.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-28_3731.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-29_3732.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-30_3733.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-31_3734.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-34_3737.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-35_3738.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-36_3739.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-37_3740.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-38_3741.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-39_3742.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-50_3744.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-51_3745.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-52_3746.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-54_3749.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-55_3750.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-56_3754.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-57_3755.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-58_3756.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-59_3758.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-60_3759.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-61_3760.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-62_3762.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-63_3763.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-64_3764.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-65_3766.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-69_3768.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-74_3770.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-75_3771.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-77_3772.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-84_3775.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-85_3776.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-86_3778.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-87_3779.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-88_3780.d
P18124	P18124	RL7_HUMAN	RPL7	60S ribosomal protein L7	2882.23	3219.94	2564.06	3383.68	2273.41	2658.43	3115.24	2297.19	2991.27	3286.96	2299.52	2832.56	3475.66	2151.4	2863.31	1289.23	2818.14	2892.1	3608.55	2619.41	2695.84	2792.16	1437.76	3214.18	2286.31	2017.71	2366.72	1994.13	2608.01	3221.1	2913.59	2213.43	1181.84	3165.99	828.509	2252.54
P18206	P18206	VINC_HUMAN	VCL	Vinculin	1436.64	1245.01	2205.19	1502.42	1525.96	1602.14	1231.59	2260.69	1838.96	1739.61	2195.92	1643.98	1956.16	2457.22	743.589	393.935	892.707	1891.01	1033.8	1572.51	2915.48	1970.48	588.309	2353.62	1965.37	2149.48	2502.97	2606.99	2144.68	1582.19	1590.25	2611.25		1433.76	114.402	2265.17
P18433	P18433	PTPRA_HUMAN	PTPRA	Receptor-type tyrosine-protein phosphatase alpha							356.055									281.726																				
P18564	P18564	ITB6_HUMAN	ITGB6	Integrin beta-6	579.82		637.81	623.504	576.262		208.299		707.541	1354.09	376.169		642.414	970.758					756.199		1491.09		537.06	761.727	476.435	1476.97				840.625				1797.06	352.668	1174.53
P18621	P18621	RL17_HUMAN	RPL17	60S ribosomal protein L17	729.042	617.755	727.165	810.392	516.747	674.144	544.171	653.173	463.52	483.722	402.106	344.124	1019.22	302.217	432.063	312.565	395.986	1140.18	415.318	612.528	481.697	649.071	574.143	400.969	654.722	235.15	925.214	658.337	573.395	587.774	502.86	598.723		557.264	125.979	482.551
P18669	P18669;P15259	PGAM1_HUMAN	PGAM1	Phosphoglycerate mutase 1	4375.77	3780.46	5721.7	5127.7	5378.47	4892.59	2834.18	7327.01	5022.47	4834.12	4271.76	4419.3	2966.84	4298.25	2805.22	475.924	1214.47	3408.07	2403.77	4644.81	5486.01	3485.45	318.989	4045.86	3274.03	4988.42	3159.88	3315.29	2924.29	3891.59	3904.55	4629.29	292.877	3923.28	322.104	4241.58
P18754	P18754	RCC1_HUMAN	RCC1	Regulator of chromosome condensation	670.086	653.223	568.203	1068.47	1072.26	1067.78	622.05	869.298	832.255	1025.57	801.445	899.474	1001.98	883.345	590.938	1028.56	1457.33	873.951	699.158	925.799	1127.14	894.316	783.526	742.191	796.843	251.663	936.255	954.85	865.194	1039.27	1058.11	1009.58	921.483	800.115	313.739	872.628
P18859	P18859	ATP5J_HUMAN	ATP5PF	"ATP synthase-coupling factor 6, mitochondrial"	196.367		384.271	278.421	463.634	633.739	481.792	1011.46	223.599	271.766	420.656	440.584	603.738		486.318	247.863	853.211	990.458			553.12	868.375			565.761	531.373	539.554				471.973	470.887	1262.28	345.106	465.87	1036.04
P18887	P18887	XRCC1_HUMAN	XRCC1	DNA repair protein XRCC1					189.743																													184.701		
P19012	P13646;P19012;CONT|P13646|K1C13_HUMAN;CONT|P19012|K1C15_HUMAN;CONT|O77727|K1C15_SHEEP	K1C15_HUMAN	KRT15	"Keratin, type I cytoskeletal 15"	7287.26	15945.5	11161	7529.17	6582.81	10394.3	8525.41	10020.7	4793.13	11190.9	14515.5	18918.1	20073.9	40985.4	4395.46	10432.4	10948.8	11412.5	8537.56	13057.3	11099.3	12046.2	13045.3	12511.3	9413.3	7770.99	10064.3	15752.8	8497.02	8360.11	9772.31	5204.1	11912.5	9256.22	5814.02	6592.69
P19013	P19013;CONT|P19013|K2C4_HUMAN	K2C4_HUMAN	KRT4	"Keratin, type II cytoskeletal 4"	65.4848	311.874	330.29	205.571	313.137	308.133	425.317		82.3739	701.447	546.629	588.688		972.047		305.115	474.356	800.469		553.888	509.577			537.959	495.656	371.053	325.002	171.411	200.633	363.468	229.661	330.012	477.857	301.254	195.121	327.97
P19174	P19174	PLCG1_HUMAN	PLCG1	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1"	287.955				381.46		750.06	299.385	166.815					412.591	200.815			488.51	166.514	191.082	585.712			257.835	475.099	222.74			212.272	106.129	340.478			333.373		135.138
P19338	P19338	NUCL_HUMAN	NCL	Nucleolin	2645.46	2047.82	2202.78	2768.89	2595.97	2144.54	2347.4	2995.62	2470.63	4038	3272.03	2710.58	2341.4	2760.89	2829.31	2121.18	2730.23	2706.4	2543.66	3055.22	2748.14	2529.84	799.907	2831.85	2543.04	2339.69	2478.71	3179.55	3256.08	2261.1	2881.56	3581.16	997.158	3797.45	541.538	2962.67
P19367	P19367	HXK1_HUMAN	HK1	Hexokinase-1	1730.82	1436.39	1427.22	1960.71	1825.45	1682.89	622.837	2163.14	1565.91	1825.66	1638.43	1856.28	831.803	1519.32	761.137	185.722	2076.55	1437.43	611.777	1639.89	1933.07	1593.37		1341.32	1832.09	1838.86	1507.27	1400.43	1530.9	1454.34	1660.88	2051.58	546.829	1374.45		1421.07
P19388	P19388	RPAB1_HUMAN	POLR2E	"DNA-directed RNA polymerases I, II, and III subunit RPABC1"	279.949	291.734	110.319	358.929	395.559	367.528	234.489	356.767	284.311	75.1812	177.956	278.032		167.178	219.04	132.618		290.446	197.876	330.997		362.833		307.932	251.594	47.0637	258.318	262.639	188.186		396.772	155.067	197.826	299.394	98.57	34.6168
P19525	P19525	E2AK2_HUMAN	EIF2AK2	"Interferon-induced, double-stranded RNA-activated protein kinase"	429.544		241.668	342.499	358.439		153.938	167.889	141.749		551.232		273.184	154.891	212.91		216.867		94.5536	79.0204	598.249	407.452		186.294	264.342	230.189	429.552	615.628	872.808	307.947	243.486	163.317		303.861		316.001
P19623	P19623	SPEE_HUMAN	SRM	Spermidine synthase	4160.76	1954.77	2856.92	4643.37	3159.83	3089.16	1849.66	3398.11	2500.55	3386.4	2537.99	3579.7	2702.16	2380.08	4075.12	212.554	1319.86	2561.4	1806.65	2358.45	4064.9	2761.3		2834.47	3483.45	3016.48	3186.09	2782.09	2379.16	3194.18	3410.29	3909.18		3616.05		4004.08
P19784	P19784	CSK22_HUMAN	CSNK2A2	Casein kinase II subunit alpha'	726.077	646.054	423.982	535.819	486.436	284.348	200.109	416.618	336.807	721.627		599.754	461.054	604.817	522.883		539.981	658.185	332.055	407.581	374.054	276.815		563.019	526.61	426.185	1051.73		917.222	313.814	695.035	614.795		493.77		516.04
P19971	P19971	TYPH_HUMAN	TYMP	Thymidine phosphorylase			1698.59	876.947	336.525	802.723	2202.36	1274.71	413.071	629.121				974.148	557.842				1435.35		872.784	476.938			374.562	1635.56				645.747		500.542			1382.44	727.523
P20042	P20042	IF2B_HUMAN	EIF2S2	Eukaryotic translation initiation factor 2 subunit 2	520.622	485.088	219.959	749.196	459.333	407.293	344.853	556.551	320.604	878.048	479.327	354.227	448.734	180.876	557.916		574.023	1028.65	298.574	635.054	927.801	667.521		605.174	236.617	845.422	679.049	902.348	817.482	515.117	471.3	1046.62		531.667	52.6146	765.52
P20073	P20073	ANXA7_HUMAN	ANXA7	Annexin A7	439.879	1286.02	464.858	604.295	580.509	567.139	572.405	386.733	911.047	376.877	559.196	1075.28	442.132	891.532	213.316			989.377	479.997	738.953	779.128	835.715	1008.46	499.923	567.163	714.945	797.256	504.336	931.049	601.949	923.905	540.199	181.522	877.025		467.119
P20290	P20290	BTF3_HUMAN	BTF3	Transcription factor BTF3	646.581	340.868	659.551	670.288	921.033	604.927	747.863	697.878	457.936	758.125	732.191	598.346	895.881	740.624	596.855		430.532	602.522	776.988	489.901	365.937	268.697		840.912	632.592	291.946	481.468	489.846	497.394	468.014	419.512	499.721	271.342	528.416		544.069
P20339	P20339	RAB5A_HUMAN	RAB5A	Ras-related protein Rab-5A	241.101	388.25		86.8179	204.685	1084.77	148.643	242.373	165.581	779.477	102.808		342.128	267.071	190.208	213.767		262.387	194.032	241.513		284.699	436.685	190.568		204.542		146.346		360.334		337.314		262.977	101.953	268.864
P20340	P20340;Q9NRW1	RAB6A_HUMAN	RAB6A	Ras-related protein Rab-6A	836.575	820.022	1004.29	583.744	977.909	886.065	489.296	997.529	698.039	748.99	778.806	672.63	872.138	621.446	625.788	756.034	1132.05	763.505	592.186	807.26	946.894	978.523	842.504	876.093	958.801	1122.14	809.71	520.13	696.448	903.221	677.95	917.205	872.211	858.374	975.945	847.647
P20618	P20618	PSB1_HUMAN	PSMB1	Proteasome subunit beta type-1	1274.51	1105.86	1230.51	1446.81	1095.57	1057.7	904.291	890.213	1142.8	1213.81	1039.28	1214.85	844.837	917.985	1393.81		968.49	1204.77	739.889	1169.73	877.822	1166.38	146.891	892.181	1211.29	989.975	981.106	1040.86	813.198	736.509	1056.72	887.215	630.208	990.56		1010.71
P20674	P20674	COX5A_HUMAN	COX5A	"Cytochrome c oxidase subunit 5A, mitochondrial"	1605.38	706.971	1624.77	2092.22	1873.22	2390.1	2058.03	1460.86	1105.93	2058.69	1627.51	782.148	1204.36	2575.22	2138.22	2424.47	2250.18	2148.2	2018.94	1598.78	1825.48	1857.7	2499.2	1951.84	2033.47	1758.59	3233.11	1277.31	1996.49	2373.78	3039.71	1757.81	2563.46	1821.8	2052.77	1480.84
P20700	P20700	LMNB1_HUMAN	LMNB1	Lamin-B1	1196.17	1321.56	2035.39	1705.66	1953.05	1924.72	2036.44	1423.99	2790.68	1992.12	1862.21	1910.92	1860.07	2162.17	1488.57	2049.8	2108.71	1874.74	4223.14	2637.71	1979.44	2022.99	1963.27	1467.29	1350.99	1047.67	2002.26	1871.3	2130.76	1826.22	2060.5	1770.72	2281.39	1893.71	1567.41	1607.79
P20794	P51451;P20794;P07948;Q8IZL9;P21802;P11362;P09769;P06241;P22607;P07947;P22455;P08631;P06239;Q9UPZ9	MAK_HUMAN	MAK	Serine/threonine-protein kinase MAK				3093.31		1847.5			5427.36	1257.34	2423.35	1273.36	1414.45				891.214		3284.19			1953.5							2971.2			3741.33			274.874	3176.83
P20810	P20810	ICAL_HUMAN	CAST	Calpastatin	906.106	822.109	959.517	1082.65	816.928	779.317	905.507	1056.94	860.009	958.899	398.865	654.311	865.645	480.695	862.387		716.85	776.924	522.498	665.586	877.115	1546.44		1106.67	604.005	1068.19	615.805	802.323	369.493	766.947	517.605	668.676		524.562		558.557
P20839	P20839	IMDH1_HUMAN	IMPDH1	Inosine-5'-monophosphate dehydrogenase 1	442.836	524.471	412.526	581.195	370.16	646.722	163.717	341.138	464.393	410.927	633.07	339.573	549.697	978.341	430.813			481.014	436.494	448.664	427.135	448.109		684.417	375.297	684.328	827.937		446.382	536.001	692.242	771.004		454.204		706.918
P20930	P20930;CONT|P20930|FILA_HUMAN	FILA_HUMAN	FLG	Filaggrin	1230.91	1819.28	2315.08	1437.96	948.521	1753.81	1810.59	1519.85	948.764	2175.78	2643.85	2505.83	3022.63	2486.92	1039.44	2166.41	2397.18	2769.53	1877.8	1887.95	1481.82	2774.84	1984.24	2340.47	2379.79	1704.07	2410.58	2567.6	1879.35	1469.77	2285.93	1080.43	2538.7	1479.25	1182.3	1227.81
P20936	P20936	RASA1_HUMAN	RASA1	Ras GTPase-activating protein 1	332.907			584.572	335.619	347.701	171.315	245.568	281.472		187.342	339.055	139.489	380.595	172.3			228.893		294.265	293.513			328.608	259.872	196.141	342.437	145.65	92.8044	408.599		255.327		386.23		118.743
P20962	P20962	PTMS_HUMAN	PTMS	Parathymosin	1088.56	1580.22	1325.06	1075.23	1582.14	1791.25	3340.79	1660.08	1087.31	1443.36	888.305	1369.66	1131.66	2537.26	971.78		518.901	1552.77	4288.95	1491.98	1937.82	2233.11	248.056	1688.02	2248.55	2762.74	2098.42	1509.53	2078.57	1713.08	1925.36	2220.71	166.373	1993.16	105.994	3116.69
P21266	P21266	GSTM3_HUMAN	GSTM3	Glutathione S-transferase Mu 3	606.833	804.979	1040.95	296.104	461.797	255.304	713.172	665.896	325.064	718.943	550.914	768.263	369.089	700.846	1076.4			493.376	691.851	138.115	648.405	511.334	214.786	1095.8	484.066		572.196	355.066	870.842	442.429	755.863	663.751		928.133	156.427	344.249
P21281	P21281	VATB2_HUMAN	ATP6V1B2	"V-type proton ATPase subunit B, brain isoform"	1022.07	707.269	1194.31	1077.89	941.785	858.136	738.595	1327.87	1241.81	963.595	803.636	1275.24	970.272	849.985	1154.87	568.889	982.005	947.266	963.234	1547	1019.78	835.352	366.628	1117.99	1117.99	992.688	1408.94	1220.64	1124.59	845.115	1196.65	1204.97	545.832	942.752	676.177	1032.73
P21291	P21291	CSRP1_HUMAN	CSRP1	Cysteine and glycine-rich protein 1	1991.08	1405.89	804.23	1764.79	1080.25	1012.72	2086.41	1903.39	1281.5	1931.19	1819.8	1057.41	513.702	460.603	169.301			1708.49	659.261	879.974	492.914	1816.22	114.996	1409.96	1091.38	654.038	704.756	1129.2	2514.68	1706.27	1775.14	1291.46	344.861	902.372		917.507
P21333	P21333	FLNA_HUMAN	FLNA	Filamin-A	7498.81	6128.11	7986.37	8997.01	6133.75	8900	8729.42	7249.61	7763.93	7399.26	7912.22	6929.3	5942.71	8518.68	7331.33	1599.64	8455.31	6392.54	10445.8	6800.19	6946.25	6889.35	858.59	6369.45	9412.94	10678.9	7825.57	9431.36	9576.13	8327.39	8808.47	9522.26	1014	8367.1	654.441	8312.79
P21399	P21399	ACOHC_HUMAN	ACO1	Cytoplasmic aconitate hydratase	395.529	727.858	223.393	354.482	289.505	550.984	544.783	935.972	285.404	505.652	452.754	171.383	653.502	648.714	577.401			446.831	264.87	30.0824	479.114	541.046		604.119	508.394	337.94	519.516	320.402		164.435	244.889	474.719		382.657		415.78
P21589	P21589	5NTD_HUMAN	NT5E	5'-nucleotidase	258.675			937.113	440.925			746.456						158.233	156.867							146.583		82.9204	168.142	374.099			89.3983	207.052	397.585	542.232	624.801		280.728	421.881
P21796	P21796	VDAC1_HUMAN	VDAC1	Voltage-dependent anion-selective channel protein 1	1167.35	1251.49	1566.03	1404.92	2301.76	1661.61	1860.7	1963.95	1401.8	1171.17	1544.17	1381.66	1223.48	2063.87	1794.94	1835.05	2061.11	1494.43	2209.06	2181.18	2107.45	1844.94	2766.1	1808	2198.17	2068.92	2775.69	1893.19	2269.48	1711.29	1729.24	2516.7	2985.6	2422.54	3021.29	2070.78
P21912	P21912	SDHB_HUMAN	SDHB	"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial"	447.75	778.648	426.151	496.6	759.049	891.045	924.25	578.754	652.984		363.453	661.477	372.541	355.292	605.735	1063.4	708.204	625.904	487.173		949.902		624.904		319.77	454.817			458.698	439.885		376.984	968.008	373.134	623.513	277.056
P21964	P21964	COMT_HUMAN	COMT	Catechol O-methyltransferase	1108.34	1114.24	991.987	664.536	677.907	422.938	270.633	654.444	913.462	944.975	334.139	522.207	679.136		746.827	476.745	363.08	284.976	671.445		793.647	380.06	1022.52	417.858	521.584	892.421	479.608	613.481	1087.85	379.058	497.311	396.178	431.967	771.025	1130.07	721.477
P21980	P21980	TGM2_HUMAN	TGM2	Protein-glutamine gamma-glutamyltransferase 2	520.034		639.484		441.095	162.021	196.14	2271.94	66.9291	948.039	275.105	525.813		1049.92	140.672		166.371				856.22	755.743		653.133		481.284	737.645		317.087	575.521		448.383		430.661		430.517
P22059	P22059	OSBP1_HUMAN	OSBP	Oxysterol-binding protein 1	167.574		216.712	96.3674	165.203		646.985	137.149	311.84			679.314		366.544	359.907						355.811					254.911	219.916		211.367	123.098	107.67	129.358		254.631		
P22061	P22061	PIMT_HUMAN	PCMT1	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	1479.15	2282.57	2095.96	1510.9	1701.9	2272.48	1770.38	1586.48	1812.81	1630.75	1922.41	1489.37	2117.01	1675.05	1733.55	425.2	437.037	1663.94	1644.76	1336.2	865.44	1808.78	760.922	1283.87	1481.14	1512.91	1374.3	2079.93	1462.13	1216.6	1846.51	1589.84	453.922	1709.86		1534.58
P22087	P22087	FBRL_HUMAN	FBL	rRNA 2'-O-methyltransferase fibrillarin	553.909	667.853	553.017	811.4	639.969	575.242	523.953	576.728	746.14	758.1	1042.08	689.949	569.755	720.498	607.692	713.036	563.737	736.808	727.826	838.133	686.396	644.038	1053.29	1047.31	580.885	798.076	1015.24	635.555	611.829	688.317	619.085	661.615	798.364	656.259	578.688	459.048
P22102	P22102	PUR2_HUMAN	GART	Trifunctional purine biosynthetic protein adenosine-3	673.855	1141.88	646.409	1023.63	1015.94	666.018	318.069	766.23	947.109	1065.65	1010.77	627.159	1340.03	720.839	766.044		897.215	659.342	679.584	1160.45	794.038	677.753		947.321	735.722	494.699	917.167	958.919	633.826	739.91	579.111	859.764		572.201		914.872
P22234	P22234	PUR6_HUMAN	PAICS	Multifunctional protein ADE2	1538.3	1048.94	1396.6	2109.8	1495.22	1614.21	1353.46	1004.29	1277.33	1503.5	1371.01	1289.84	1212.41	1390.43	1567.56		998.245	1770.43	1593.22	1279.58	1277.3	1046.85	368.631	1387.98	1527.46	1051.87	1759.67	2147.93	1421.34	1274.11	1449.08	1397.63	837.815	1513.69		1707.77
P22307	P22307	SCP2_HUMAN	SCP2	Sterol carrier protein 2	422.874	703.226	708.435	296.698	381.264	371.179	653.761	700.769	344.772	515.032	382.068	1034.84	575.062	309.491	448.561	662.437	609.643	552.621	548.089	262.056	694.711	305.982	983.148	185.075	287.255		177.123	548.728	610.672	406.675	159.017	279.434	803.59	396.963	850.977	441.087
P22314	P22314	UBA1_HUMAN	UBA1	Ubiquitin-like modifier-activating enzyme 1	2033.91	1919.23	2183	1987.33	1842.82	2117.41	2429.13	1854.49	2004.67	1917.4	1666.99	1982.03	1790.01	2265.99	1842.9	301.141	1476.27	1900.36	2115.35	2050.41	2159.11	2270.69	311.83	1952.17	2205.07	2057.69	2453.28	2054.24	1993.41	2285.16	2117.54	2354.67	351.019	2114.25	389.117	2495.63
P22392	O60361;P22392;P15531	NDKB_HUMAN	NME2	Nucleoside diphosphate kinase B	8688.9	5516.46	5510.11	6927.23	6524.49	6170.11	5722.91	7183.03	5576.66	6986.98	5914.8	6405.87	4968.04	5448.36	8689.76	591.896	2528.47	5808.75	4400.28	5807.57	7266.08	5445.65	771.652	6173.46	7188.01	7451.38	6996.34	5660.08	5202.99	6210.22	7328.15	6015.12	496.467	6060.66	628.552	4391.74
P22570	P22570	ADRO_HUMAN	FDXR	"NADPH:adrenodoxin oxidoreductase, mitochondrial"	91.904	176.234			272.487	115.64	337.493	207.048				305.106			131.369	386.018			489.715		191.293	489.766	735.158		443.64										173.454	
P22626	P22626	ROA2_HUMAN	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1	9817.27	10430.6	9776.56	9387.36	10568.1	7948.19	11694	6493.09	10645	10415.9	11358.3	9398.07	8201.37	9740.05	9656.18	10474	10649.2	10328.3	14033.5	10138.6	10477.7	9329.06	7612.04	9297.1	7378.5	7357.26	9378.73	9473.17	9368.34	10770.6	10011.2	10247.7	8766.9	7775.76	5964.21	10646.5
P22695	P22695	QCR2_HUMAN	UQCRC2	"Cytochrome b-c1 complex subunit 2, mitochondrial"	463.771	438.04	622.669	561.978	652.953	659.042	613.979	785.229	459.454	723.813	674.979	1002.11	341.873	745.188	752.195	855.382	1021.76	640.427	464.458	688.767	555.521	560.503	921.581	481.999	572.607	602.482	497.373	531.564	422.334	394.162	605.951	428.969	734.058	387.139	1159.18	580.394
P22735	P22735	TGM1_HUMAN	TGM1	Protein-glutamine gamma-glutamyltransferase K	661.543	296.273				300.885	210.551		112.372	572.346	315.43	603.195	275.824	1106.43	161.389	128.742		259.73		273.972	269.567	273.757	350.423	362.455	427.475		255.213		506.781		352.477	158.555	692.177		179.448	119.219
P23193	P23193	TCEA1_HUMAN	TCEA1	Transcription elongation factor A protein 1	4018.24	6298.73	3830.45	5932.23	3912.39	4504.23	3300.14	3127.28	5044.27	4259.44	3469.33		5128.85	875.332	3008.61		9732.56	4043.28	3333.02	4705.91	2844.1	4482.89		3776.16	2718.85	5486.7	2377.14	2539.49	2668.68	3418.9	3584.99	2999.55		4684.85		2017.42
P23246	P23246	SFPQ_HUMAN	SFPQ	"Splicing factor, proline- and glutamine-rich"	2315.71	3615.58	3096.8	3563.54	3217.24	2637.4	4584.88	2868.55	3153.01	2960.82	3430.78	2426.81	3502.99	3644.58	3623.25	4023.7	3387.39	3050.59	4155.02	3610.71	2988.78	3071.09	3038.42	2713.47	3125.22	2325.05	3282.47	2614.41	3548.06	3560.74	3656.67	2938.77	4138.58	3042.96	2224.49	3758.24
P23284	P23284	PPIB_HUMAN	PPIB	Peptidyl-prolyl cis-trans isomerase B	6931.72	6312.96	7460.89	5769.86	4804.6	6625.91	4591.19	8707.46	8029.39	6231.33	5347.58	5939.5	6113.16	4069.12	7303.69	10402.7	6943.9	4500.97	5342.13	6253.33	6925.11	6716.3	10249.8	7635.93	7523.51	8776.63	5918.36	5272.88	7863.35	7164.19	8028.95	6645.33	6895.66	9828.68	10012.2	7218.43
P23368	P23368	MAOM_HUMAN	ME2	"NAD-dependent malic enzyme, mitochondrial"	396.483		335.311	596.53	493.19	370.36	649.602	684.803	338.122	385.775	489.815	708.148			357.261	399.281	827.073	298.302	542.475	405.289	422.153	171.166	615.479	337.792	834.146	762.719	850.821	652.346	405.386	645.169	806.101	588.122	782.351	840.336	728.474	400.383
P23381	P23381	SYWC_HUMAN	WARS1	"Tryptophan--tRNA ligase, cytoplasmic"	1254.08	1727.14	1825.18	1416.14	1842.89	1442.48	1649.49	2026.57	2964.71	725.485	922.826	935.515	1729.21	735.311	1366.85		578.328	1047.79	1252.95	1164.5	1538.09	1522.94	91.1745	1033.26	969.419	1922.56	690.484	1092.66	736.544	805.798	929.074	604.702		1470.68		751.252
P23396	P23396	RS3_HUMAN	RPS3	40S ribosomal protein S3	3512.21	3974.32	3645.03	3804.02	3612.86	3366.76	4341.97	3016.24	4706.8	4082.22	4041.63	4018.39	3690.88	3530.52	3752.66	843.129	4120.37	3483.37	4780.09	4657.5	4175.7	4845.23	623.855	4163.54	3442.79	2885.63	4278.65	3671.07	4456.32	4426.8	4065.66	3287.8	493.8	4300.16	379.252	3162.05
P23490	P23490	LORI_HUMAN	LORICRIN	Loricrin	257.839	365.861		177.377		257.761				10983.5	14109.1	580.592		1590.69					417.564	275.563				339.432		286.277	261.046									475.05
P23526	P23526	SAHH_HUMAN	AHCY	Adenosylhomocysteinase	1155.47	855.216	1525.58	1228.02	1314.77	1184.74	1517.46	1130.4	1049.29	1617.49	1430.15	1278.09	1702.01	1839.8	1119.56	394.819	1221.2	1419.26	1251.29	1796.16	1881.51	1078.65	237.522	1360.22	1710.23	1203.52	1617.53	1377.62	1341.32	1485.8	1535.4	1622.78	460.848	1598.55	192.604	1882.82
P23527	P23527;Q93079;Q5QNW6	H2B1O_HUMAN	H2BC17	Histone H2B type 1-O	449.442	162.361	195.379	422.044	260.11	468.121	211.362		649.252	184.236		645.122		178.79	278.519		389.786	556.458	182.098								265.978			230.298			139.355			
P23528	P23528;Q9Y281	COF1_HUMAN	CFL1	Cofilin-1	18096.2	18682.1	15258.5	14265.9	14672.9	15118.5	21829.6	21647.4	15453	16568.5	20307.8	14027	17772.3	14074.7	15034.8	1490.11	4188.26	16372.7	16041.6	19752.7	20180.2	20255.7	2124.93	22982.3	13950.8	17908.1	20332.5	15820.3	20379.2	19076.4	18385.8	16138	1924.67	17173.4	1106.95	16810.8
