gene	GO_id	GO_term	definition	synonym	gene_product	annotation_extention	additional_terms
BBS4	GO:0021591	ventricular system development	Bardet-Biedl syndrome 4 protein	NA	protein	NA	NA
BBS4	GO:0021756	striatum development	Bardet-Biedl syndrome 4 protein	NA	protein	NA	NA
BBS4	GO:0021766	hippocampus development	Bardet-Biedl syndrome 4 protein	NA	protein	NA	NA
BBS4	GO:0021987	cerebral cortex development	Bardet-Biedl syndrome 4 protein	NA	protein	NA	NA
BBS4	GO:0048854	brain morphogenesis	Bardet-Biedl syndrome 4 protein	NA	protein	NA	NA
CIC	GO:0007420	brain development	Protein capicua homolog	KIAA0306	protein	NA	NA
GNPAT	GO:0021587	cerebellum morphogenesis	Dihydroxyacetone phosphate acyltransferase	DAPAT|DHAPAT	protein	NA	NA
NDEL1	GO:0021799	cerebral cortex radially oriented cell migration	Nuclear distribution protein nudE-like 1	EOPA|MITAP1|NUDEL	protein	NA	NA
MAP1S	GO:0007420	brain development	Microtubule-associated protein 1S	BPY2IP1|C19orf5|MAP8|VCY2IP1	protein	NA	NA
PADI2	GO:0021762	substantia nigra development	Protein-arginine deiminase type-2	KIAA0994|PAD2|PDI2	protein	NA	NA
SOX4	GO:0007420	brain development	Transcription factor SOX-4	NA	protein	NA	NA
CDC42	GO:0021762	substantia nigra development	Cell division control protein 42 homolog	NA	protein	NA	NA
LAMB1	GO:0021812	neuronal-glial interaction involved in cerebral cortex radial glia guided migration	Laminin subunit beta-1	NA	protein	NA	NA
ARX	GO:0021759	globus pallidus development	Homeobox protein ARX	NA	protein	NA	NA
ARX	GO:0021800	cerebral cortex tangential migration	Homeobox protein ARX	NA	protein	NA	NA
ARX	GO:0021831	embryonic olfactory bulb interneuron precursor migration	Homeobox protein ARX	NA	protein	NA	NA
ARX	GO:0021846	cell proliferation in forebrain	Homeobox protein ARX	NA	protein	NA	NA
ARX	GO:0021853	cerebral cortex GABAergic interneuron migration	Homeobox protein ARX	NA	protein	NA	NA
SRC	GO:0030900	forebrain development	Proto-oncogene tyrosine-protein kinase Src	SRC1	protein	NA	NA
PTPRS	GO:0021987	cerebral cortex development	Receptor-type tyrosine-protein phosphatase S	NA	protein	NA	NA
PTPRS	GO:0022038	corpus callosum development	Receptor-type tyrosine-protein phosphatase S	NA	protein	NA	NA
ATM	GO:0007420	brain development	Serine-protein kinase ATM	NA	protein	NA	NA
SIN3A	GO:0021895	cerebral cortex neuron differentiation	Paired amphipathic helix protein Sin3a	NA	protein	NA	NA
MBP	GO:0021762	substantia nigra development	Myelin basic protein	NA	protein	NA	NA
MBP	GO:0034115	negative regulation of heterotypic cell-cell adhesion	Myelin basic protein	NA	protein	blood brain barrier	multicellular anatomical structure|biological entity|blood brain barrier|anatomical structure|anatomical entity|material anatomical entity|multicellular organism|tissue|anatomical system|connected anatomical structure|anatomical entity|nervous system|material anatomical entity|cell layer|lamina
MBP	GO:0035633	maintenance of blood-brain barrier	Myelin basic protein	NA	protein	NA	NA
ACTB	GO:0035633	maintenance of blood-brain barrier	"Actin, cytoplasmic 1"	NA	protein	NA	NA
ACTB	GO:0021762	substantia nigra development	"Actin, cytoplasmic 1"	NA	protein	NA	NA
ACTB	GO:0005856	cytoskeleton	"Actin, cytoplasmic 1"	NA	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
DCLK1	GO:0030900	forebrain development	Serine/threonine-protein kinase DCLK1	DCAMKL1|DCDC3A|KIAA0369	protein	NA	NA
FKRP	GO:0007420	brain development	Ribitol 5-phosphate transferase FKRP	NA	protein	NA	NA
FXR2	GO:0021542	dentate gyrus development	RNA-binding protein FXR2	FMR1L2	protein	NA	NA
NSF	GO:0017075	syntaxin-1 binding	Vesicle-fusing ATPase	NA	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
NSF	GO:0019901	protein kinase binding	Vesicle-fusing ATPase	NA	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
FXR1	GO:0021542	dentate gyrus development	RNA-binding protein FXR1	NA	protein	NA	NA
BBS2	GO:0021756	striatum development	Bardet-Biedl syndrome 2 protein	NA	protein	NA	NA
BBS2	GO:0021766	hippocampus development	Bardet-Biedl syndrome 2 protein	NA	protein	NA	NA
BBS2	GO:0021987	cerebral cortex development	Bardet-Biedl syndrome 2 protein	NA	protein	NA	NA
BBS2	GO:0048854	brain morphogenesis	Bardet-Biedl syndrome 2 protein	NA	protein	NA	NA
FABP7	GO:0005515	protein binding	"Fatty acid-binding protein, brain"	BLBP|FABPB|MRG	protein	NA	NA
FABP7	GO:0005515	protein binding	"Fatty acid-binding protein, brain"	BLBP|FABPB|MRG	protein	NA	NA
FABP7	GO:0005515	protein binding	"Fatty acid-binding protein, brain"	BLBP|FABPB|MRG	protein	NA	NA
FABP7	GO:0005515	protein binding	"Fatty acid-binding protein, brain"	BLBP|FABPB|MRG	protein	NA	NA
FABP7	GO:0005515	protein binding	"Fatty acid-binding protein, brain"	BLBP|FABPB|MRG	protein	NA	NA
FABP7	GO:0005515	protein binding	"Fatty acid-binding protein, brain"	BLBP|FABPB|MRG	protein	NA	NA
FABP7	GO:0005515	protein binding	"Fatty acid-binding protein, brain"	BLBP|FABPB|MRG	protein	NA	NA
FABP7	GO:0005515	protein binding	"Fatty acid-binding protein, brain"	BLBP|FABPB|MRG	protein	NA	NA
FABP7	GO:0005515	protein binding	"Fatty acid-binding protein, brain"	BLBP|FABPB|MRG	protein	NA	NA
FABP7	GO:0008289	lipid binding	"Fatty acid-binding protein, brain"	BLBP|FABPB|MRG	protein	NA	NA
FABP7	GO:0007399	nervous system development	"Fatty acid-binding protein, brain"	BLBP|FABPB|MRG	protein	NA	NA
FABP7	GO:0008285	negative regulation of cell population proliferation	"Fatty acid-binding protein, brain"	BLBP|FABPB|MRG	protein	NA	NA
FABP7	GO:0050673	epithelial cell proliferation	"Fatty acid-binding protein, brain"	BLBP|FABPB|MRG	protein	NA	NA
FABP7	GO:0005829	cytosol	"Fatty acid-binding protein, brain"	BLBP|FABPB|MRG	protein	NA	NA
FABP7	GO:0005634	nucleus	"Fatty acid-binding protein, brain"	BLBP|FABPB|MRG	protein	NA	NA
FABP7	GO:0005504	fatty acid binding	"Fatty acid-binding protein, brain"	BLBP|FABPB|MRG	protein	NA	NA
FABP7	GO:0015908	fatty acid transport	"Fatty acid-binding protein, brain"	BLBP|FABPB|MRG	protein	NA	NA
FABP7	GO:0005829	cytosol	"Fatty acid-binding protein, brain"	BLBP|FABPB|MRG	protein	NA	NA
SMAD4	GO:0003360	brainstem development	Mothers against decapentaplegic homolog 4	DPC4|MADH4	protein	NA	NA
NDE1	GO:0021987	cerebral cortex development	Nuclear distribution protein nudE homolog 1	NUDE	protein	NA	NA
CRKL	GO:0021766	hippocampus development	Crk-like protein	NA	protein	NA	NA
CRKL	GO:0021987	cerebral cortex development	Crk-like protein	NA	protein	NA	NA
CRKL	GO:0098749	cerebellar neuron development	Crk-like protein	NA	protein	NA	NA
CRK	GO:0021766	hippocampus development	Adapter molecule crk	NA	protein	NA	NA
CRK	GO:0021987	cerebral cortex development	Adapter molecule crk	NA	protein	NA	NA
CRK	GO:0098749	cerebellar neuron development	Adapter molecule crk	NA	protein	NA	NA
ATRX	GO:0030900	forebrain development	Transcriptional regulator ATRX	RAD54L|XH2	protein	NA	NA
NIPBL	GO:0007420	brain development	Nipped-B-like protein	IDN3|SCC2	protein	NA	NA
NIPBL	GO:0007420	brain development	Nipped-B-like protein	IDN3|SCC2	protein	NA	NA
GRIA1	GO:0021987	cerebral cortex development	Glutamate receptor 1	GLUA1|GLUH1|GLUR1	protein	NA	NA
GRIA1	GO:1990416	cellular response to brain-derived neurotrophic factor stimulus	Glutamate receptor 1	GLUA1|GLUH1|GLUR1	protein	NA	NA
GRIA1	GO:0014069	postsynaptic density	Glutamate receptor 1	GLUA1|GLUH1|GLUR1	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
RBBP7	GO:0007420	brain development	Histone-binding protein RBBP7	RBAP46	protein	NA	NA
FOXO3	GO:0048854	brain morphogenesis	Forkhead box protein O3	FKHRL1|FOXO3A	protein	NA	NA
CENPF	GO:0021591	ventricular system development	Centromere protein F	NA	protein	NA	NA
WNK4	GO:0005829	cytosol	Serine/threonine-protein kinase WNK4	PRKWNK4	protein	brain|lens fiber	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain|main body axis|body proper|non-connected functional system|structure with developmental contribution from neural crest|zone of organ|disconnected anatomical group|transparent eye structure|head|anterior region of body|anatomical entity|material anatomical entity|anterior segment of eyeball|camera-type eye|connected anatomical structure|organism subdivision|eye|anatomical entity|entire sense organ system|subdivision of head|eyeball of camera-type eye|multicellular anatomical structure|biological entity|subdivision of organism along main body axis|organ part|sense organ|sensory system|organ subunit|orbital region|ectoderm-derived structure|organ|anatomical structure|multicellular organism|anatomical system|lens of camera-type eye|lens fiber|face|visual system|simple eye|material anatomical entity|craniocervical region|lateral structure
WNK4	GO:0016020	membrane	Serine/threonine-protein kinase WNK4	PRKWNK4	protein	brain|lens fiber	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain|main body axis|body proper|non-connected functional system|structure with developmental contribution from neural crest|zone of organ|disconnected anatomical group|transparent eye structure|head|anterior region of body|anatomical entity|material anatomical entity|anterior segment of eyeball|camera-type eye|connected anatomical structure|organism subdivision|eye|anatomical entity|entire sense organ system|subdivision of head|eyeball of camera-type eye|multicellular anatomical structure|biological entity|subdivision of organism along main body axis|organ part|sense organ|sensory system|organ subunit|orbital region|ectoderm-derived structure|organ|anatomical structure|multicellular organism|anatomical system|lens of camera-type eye|lens fiber|face|visual system|simple eye|material anatomical entity|craniocervical region|lateral structure
ICAM1	GO:1904646	cellular response to amyloid-beta	Intercellular adhesion molecule 1	NA	protein	brain microvascular endothelial cell	microvascular endothelial cell|epithelial cell|brain microvascular endothelial cell|disconnected anatomical group|anatomical conduit|blood vessel endothelium|tissue|circulatory system|neural cell|anatomical cluster|barrier cell|brain|lining cell|squamous epithelial cell|blood vessel endothelial cell|organ|anatomical structure|multicellular organism|anatomical system|material anatomical entity|vasculature|cell|protein-containing material entity|vessel|anatomical entity|unilaminar epithelium|material anatomical entity|endothelium|squamous epithelium|blood vasculature|connected anatomical structure|cardiovascular system|blood vessel|anatomical entity|cardiovascular system endothelium|endothelial cell|microvascular endothelium|endothelial cell of vascular tree|meso-epithelium|meso-epithelial cell|multicellular anatomical structure|biological entity|organ system subdivision|microcirculatory vessel|vascular system|epithelium|mesoderm-derived structure|ectoderm-derived structure|central nervous system|blood microvessel|nervous system|simple squamous epithelium
IRS2	GO:0007420	brain development	Insulin receptor substrate 2	NA	protein	NA	NA
GSK3B	GO:0106310	protein serine kinase activity	Glycogen synthase kinase-3 beta	NA	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
GSK3B	GO:0018105	peptidyl-serine phosphorylation	Glycogen synthase kinase-3 beta	NA	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
GSK3B	GO:0021766	hippocampus development	Glycogen synthase kinase-3 beta	NA	protein	NA	NA
GSK3B	GO:0071109	superior temporal gyrus development	Glycogen synthase kinase-3 beta	NA	protein	NA	NA
TSC2	GO:0014069	postsynaptic density	Tuberin	TSC4	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
TSC2	GO:0014069	postsynaptic density	Tuberin	TSC4	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
RTN4	GO:0021801	cerebral cortex radial glia-guided migration	Reticulon-4	KIAA0886|NOGO|My043|SP1507	protein	NA	NA
RTN4	GO:0007420	brain development	Reticulon-4	KIAA0886|NOGO|My043|SP1507	protein	NA	NA
EPHB2	GO:0021934	hindbrain tangential cell migration	Ephrin type-B receptor 2	DRT|EPHT3|EPTH3|ERK|HEK5|TYRO5	protein	NA	NA
EPHB2	GO:0022038	corpus callosum development	Ephrin type-B receptor 2	DRT|EPHT3|EPTH3|ERK|HEK5|TYRO5	protein	NA	NA
TMX2	GO:0007420	brain development	Thioredoxin-related transmembrane protein 2	TXNDC14|CGI-31|My009|PIG26|PSEC0045|UNQ237/PRO270	protein	NA	NA
TMX2	GO:0007420	brain development	Thioredoxin-related transmembrane protein 2	TXNDC14|CGI-31|My009|PIG26|PSEC0045|UNQ237/PRO270	protein	NA	NA
SMG9	GO:0007420	brain development	Nonsense-mediated mRNA decay factor SMG9	C19orf61	protein	NA	NA
EGFR	GO:0005515	protein binding	Epidermal growth factor receptor	ERBB|ERBB1|HER1	protein	brain microvascular endothelial cell	microvascular endothelial cell|epithelial cell|brain microvascular endothelial cell|disconnected anatomical group|anatomical conduit|blood vessel endothelium|tissue|circulatory system|neural cell|anatomical cluster|barrier cell|brain|lining cell|squamous epithelial cell|blood vessel endothelial cell|organ|anatomical structure|multicellular organism|anatomical system|material anatomical entity|vasculature|cell|protein-containing material entity|vessel|anatomical entity|unilaminar epithelium|material anatomical entity|endothelium|squamous epithelium|blood vasculature|connected anatomical structure|cardiovascular system|blood vessel|anatomical entity|cardiovascular system endothelium|endothelial cell|microvascular endothelium|endothelial cell of vascular tree|meso-epithelium|meso-epithelial cell|multicellular anatomical structure|biological entity|organ system subdivision|microcirculatory vessel|vascular system|epithelium|mesoderm-derived structure|ectoderm-derived structure|central nervous system|blood microvessel|nervous system|simple squamous epithelium
EGFR	GO:0021795	cerebral cortex cell migration	Epidermal growth factor receptor	ERBB|ERBB1|HER1	protein	NA	NA
EGFR	GO:0048471	perinuclear region of cytoplasm	Epidermal growth factor receptor	ERBB|ERBB1|HER1	protein	brain microvascular endothelial cell	microvascular endothelial cell|epithelial cell|brain microvascular endothelial cell|disconnected anatomical group|anatomical conduit|blood vessel endothelium|tissue|circulatory system|neural cell|anatomical cluster|barrier cell|brain|lining cell|squamous epithelial cell|blood vessel endothelial cell|organ|anatomical structure|multicellular organism|anatomical system|material anatomical entity|vasculature|cell|protein-containing material entity|vessel|anatomical entity|unilaminar epithelium|material anatomical entity|endothelium|squamous epithelium|blood vasculature|connected anatomical structure|cardiovascular system|blood vessel|anatomical entity|cardiovascular system endothelium|endothelial cell|microvascular endothelium|endothelial cell of vascular tree|meso-epithelium|meso-epithelial cell|multicellular anatomical structure|biological entity|organ system subdivision|microcirculatory vessel|vascular system|epithelium|mesoderm-derived structure|ectoderm-derived structure|central nervous system|blood microvessel|nervous system|simple squamous epithelium
ABL1	GO:0021587	cerebellum morphogenesis	Tyrosine-protein kinase ABL1	ABL|JTK7	protein	NA	NA
XRN2	GO:0021766	hippocampus development	5'-3' exoribonuclease 2	NA	protein	NA	NA
LRP6	GO:1904948	midbrain dopaminergic neuron differentiation	Low-density lipoprotein receptor-related protein 6	NA	protein	NA	NA
DAB1	GO:0021589	cerebellum structural organization	Disabled homolog 1	NA	protein	NA	NA
DAB1	GO:0021766	hippocampus development	Disabled homolog 1	NA	protein	NA	NA
DAB1	GO:0021813	cell-cell adhesion involved in neuronal-glial interactions involved in cerebral cortex radial glia guided migration	Disabled homolog 1	NA	protein	NA	NA
DAB1	GO:0021942	radial glia guided migration of Purkinje cell	Disabled homolog 1	NA	protein	NA	NA
VPS51	GO:0048854	brain morphogenesis	Vacuolar protein sorting-associated protein 51 homolog	ANG2|C11orf2|C11orf3|FFR|PP5382	protein	NA	NA
VPS51	GO:0048854	brain morphogenesis	Vacuolar protein sorting-associated protein 51 homolog	ANG2|C11orf2|C11orf3|FFR|PP5382	protein	NA	NA
CLN5	GO:0007420	brain development	Bis(monoacylglycero)phosphate synthase CLN5	BMPS	protein	NA	NA
NDST1	GO:0030900	forebrain development	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1	HSST|HSST1	protein	NA	NA
NDST1	GO:0030901	midbrain development	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1	HSST|HSST1	protein	NA	NA
MAP1A	GO:0008093	cytoskeletal anchor activity	Microtubule-associated protein 1A	MAP1L	protein	microtubule|brain|microtubule|brain	intracellular organelle|microtubule cytoskeleton|cell|supramolecular complex|biological entity|supramolecular polymer|intracellular non-membrane-bounded organelle|cellular anatomical entity|organelle|cellular_component|intracellular anatomical structure|non-membrane-bounded organelle|microtubule|anatomical entity|anatomical structure|material anatomical entity|connected anatomical structure|cytoskeleton|anatomical entity|supramolecular fiber|material anatomical entity|polymeric cytoskeletal fiber|multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain|intracellular organelle|microtubule cytoskeleton|cell|supramolecular complex|biological entity|supramolecular polymer|intracellular non-membrane-bounded organelle|cellular anatomical entity|organelle|cellular_component|intracellular anatomical structure|non-membrane-bounded organelle|microtubule|anatomical entity|anatomical structure|material anatomical entity|connected anatomical structure|cytoskeleton|anatomical entity|supramolecular fiber|material anatomical entity|polymeric cytoskeletal fiber|multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
PRKDC	GO:0007420	brain development	DNA-dependent protein kinase catalytic subunit	HYRC|HYRC1	protein	NA	NA
TTC8	GO:0021772	olfactory bulb development	Tetratricopeptide repeat protein 8	BBS8	protein	NA	NA
PHF8	GO:0007420	brain development	Histone lysine demethylase PHF8	KIAA1111|ZNF422	protein	NA	NA
NRP2	GO:0021828	gonadotrophin-releasing hormone neuronal migration to the hypothalamus	Neuropilin-2	VEGF165R2	protein	NA	NA
SALL1	GO:0021889	olfactory bulb interneuron differentiation	Sal-like protein 1	SAL1|ZNF794	protein	NA	NA
SALL1	GO:0021983	pituitary gland development	Sal-like protein 1	SAL1|ZNF794	protein	NA	NA
SALL1	GO:0061034	olfactory bulb mitral cell layer development	Sal-like protein 1	SAL1|ZNF794	protein	NA	NA
FGF2	GO:0021762	substantia nigra development	Fibroblast growth factor 2	FGFB	protein	NA	NA
FGF2	GO:0021930	cerebellar granule cell precursor proliferation	Fibroblast growth factor 2	FGFB	protein	NA	NA
FGF2	GO:0060128	corticotropin hormone secreting cell differentiation	Fibroblast growth factor 2	FGFB	protein	NA	NA
FGF2	GO:0060129	thyroid-stimulating hormone-secreting cell differentiation	Fibroblast growth factor 2	FGFB	protein	NA	NA
SZT2	GO:0021540	corpus callosum morphogenesis	KICSTOR complex protein SZT2	C1orf84|KIAA0467	protein	NA	NA
HTRA2	GO:0030900	forebrain development	"Serine protease HTRA2, mitochondrial"	OMI|PRSS25	protein	NA	NA
CLU	GO:0005856	cytoskeleton	Clusterin	APOJ|CLI|KUB1|AAG4	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
CLU	GO:0016020	membrane	Clusterin	APOJ|CLI|KUB1|AAG4	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
CLU	GO:0005634	nucleus	Clusterin	APOJ|CLI|KUB1|AAG4	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
CLU	GO:0005737	cytoplasm	Clusterin	APOJ|CLI|KUB1|AAG4	protein	neuron|brain|astrocyte|brain	electrically responsive cell|multicellular anatomical structure|cell|biological entity|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|anatomical system|connected anatomical structure|neural cell|nervous system|anatomical entity|material anatomical entity|electrically signaling cell|neuron|electrically active cell|multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain|multicellular anatomical structure|cell|biological entity|neuron associated cell|anatomical structure|anatomical entity|material anatomical entity|multicellular organism|anatomical system|connected anatomical structure|neural cell|anatomical entity|nervous system|material anatomical entity|macroglial cell|astrocyte|glial cell|multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
TULP3	GO:0007420	brain development	Tubby-related protein 3	TUBL3	protein	NA	NA
NUMB	GO:0021670	lateral ventricle development	Protein numb homolog	C14orf41	protein	NA	NA
NUMB	GO:0021849	neuroblast division in subventricular zone	Protein numb homolog	C14orf41	protein	NA	NA
WNK1	GO:0005829	cytosol	Serine/threonine-protein kinase WNK1	HSN2|KDP|KIAA0344|PRKWNK1	protein	brain|lens fiber	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain|main body axis|body proper|non-connected functional system|structure with developmental contribution from neural crest|zone of organ|disconnected anatomical group|transparent eye structure|head|anterior region of body|anatomical entity|material anatomical entity|anterior segment of eyeball|camera-type eye|connected anatomical structure|organism subdivision|eye|anatomical entity|entire sense organ system|subdivision of head|eyeball of camera-type eye|multicellular anatomical structure|biological entity|subdivision of organism along main body axis|organ part|sense organ|sensory system|organ subunit|orbital region|ectoderm-derived structure|organ|anatomical structure|multicellular organism|anatomical system|lens of camera-type eye|lens fiber|face|visual system|simple eye|material anatomical entity|craniocervical region|lateral structure
WNK1	GO:0016020	membrane	Serine/threonine-protein kinase WNK1	HSN2|KDP|KIAA0344|PRKWNK1	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
SOX21	GO:0007420	brain development	Transcription factor SOX-21	SOX25|SOXA	protein	NA	NA
RAN	GO:0021766	hippocampus development	GTP-binding nuclear protein Ran	ARA24|OK/SW-cl.81	protein	NA	NA
AP2A1	GO:0019901	protein kinase binding	AP-2 complex subunit alpha-1	ADTAA|CLAPA1	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
AP2A1	GO:0050750	low-density lipoprotein particle receptor binding	AP-2 complex subunit alpha-1	ADTAA|CLAPA1	protein	amyloid-beta polypeptide 40|cellular response to amyloid-beta|brain endothelium	nitrogen molecular entity|macromolecule|organic amino compound|chemical entity|organic molecular entity|primary amide|p-block molecular entity|organooxygen compound|pnictogen molecular entity|main group molecular entity|chalcogen molecular entity|amide|organonitrogen compound|polypeptide|oxygen molecular entity|amyloid-beta polypeptide 40|heteroorganic entity|carbon group molecular entity|polyatomic entity|organochalcogen compound|amyloid-beta|carboxamide|molecular entity|peptide|biological_process|response to organic substance|cellular response to amyloid-beta|response to chemical|response to amyloid-beta|cellular response to nitrogen compound|response to nitrogen compound|cellular response to oxygen-containing compound|response to oxygen-containing compound|cellular process|cellular response to organic substance|cellular response to endogenous stimulus|response to endogenous stimulus|cellular response to stimulus|cellular response to organonitrogen compound|response to organonitrogen compound|cellular response to chemical stimulus|response to stimulus|protein-containing material entity|unilaminar epithelium|anatomical entity|material anatomical entity|endothelium|tissue|squamous epithelium|connected anatomical structure|anatomical entity|meso-epithelium|brain|ecto-epithelium|multicellular anatomical structure|biological entity|organ system subdivision|epithelium|mesoderm-derived structure|ectoderm-derived structure|organ|anatomical structure|multicellular organism|central nervous system|anatomical system|nervous system|material anatomical entity|simple squamous epithelium|brain endothelium
CD2AP	GO:0035633	maintenance of blood-brain barrier	CD2-associated protein	NA	protein	NA	NA
UCHL5	GO:0021670	lateral ventricle development	Ubiquitin carboxyl-terminal hydrolase isozyme L5	UCH37|AD-019|CGI-70	protein	NA	NA
UCHL5	GO:0030901	midbrain development	Ubiquitin carboxyl-terminal hydrolase isozyme L5	UCH37|AD-019|CGI-70	protein	NA	NA
UCHL5	GO:0048853	forebrain morphogenesis	Ubiquitin carboxyl-terminal hydrolase isozyme L5	UCH37|AD-019|CGI-70	protein	NA	NA
MPC2	GO:0005515	protein binding	Mitochondrial pyruvate carrier 2	BRP44	protein	NA	NA
MPC2	GO:0005515	protein binding	Mitochondrial pyruvate carrier 2	BRP44	protein	NA	NA
MPC2	GO:0005515	protein binding	Mitochondrial pyruvate carrier 2	BRP44	protein	NA	NA
MPC2	GO:0005515	protein binding	Mitochondrial pyruvate carrier 2	BRP44	protein	NA	NA
MPC2	GO:0005515	protein binding	Mitochondrial pyruvate carrier 2	BRP44	protein	NA	NA
MPC2	GO:0005515	protein binding	Mitochondrial pyruvate carrier 2	BRP44	protein	NA	NA
MPC2	GO:0005515	protein binding	Mitochondrial pyruvate carrier 2	BRP44	protein	NA	NA
MPC2	GO:0005515	protein binding	Mitochondrial pyruvate carrier 2	BRP44	protein	NA	NA
MPC2	GO:0005515	protein binding	Mitochondrial pyruvate carrier 2	BRP44	protein	NA	NA
MPC2	GO:0005515	protein binding	Mitochondrial pyruvate carrier 2	BRP44	protein	NA	NA
MPC2	GO:0005515	protein binding	Mitochondrial pyruvate carrier 2	BRP44	protein	NA	NA
MPC2	GO:0005515	protein binding	Mitochondrial pyruvate carrier 2	BRP44	protein	NA	NA
MPC2	GO:0005515	protein binding	Mitochondrial pyruvate carrier 2	BRP44	protein	NA	NA
MPC2	GO:0005515	protein binding	Mitochondrial pyruvate carrier 2	BRP44	protein	NA	NA
MPC2	GO:0005515	protein binding	Mitochondrial pyruvate carrier 2	BRP44	protein	NA	NA
MPC2	GO:0005515	protein binding	Mitochondrial pyruvate carrier 2	BRP44	protein	NA	NA
