Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	LFQ.intensity.female_1	LFQ.intensity.female_3	LFQ.intensity.female_5	LFQ.intensity.female_7	LFQ.intensity.female_9	LFQ.intensity.female_11	LFQ.intensity.male_1	LFQ.intensity.male_3	LFQ.intensity.male_5	LFQ.intensity.male_7	LFQ.intensity.male_9	LFQ.intensity.male_11
O75165	O75165	DJC13_HUMAN	DNAJC13	DnaJ homolog subfamily C member 13	52681.6	60332	62280.3	56921	56362.6	60165.7	58089.6	68901.7	62004.9	60011.4	60916	56794.7
O75167	O75167	PHAR2_HUMAN	PHACTR2	Phosphatase and actin regulator 2	6794.07	6385.39	6483.85	6736.11	6155.56	3814.76	4954.56	5129.19	5494.08	5039.87	5630.13	5172.98
O75170	O75170	PP6R2_HUMAN	PPP6R2	Serine/threonine-protein phosphatase 6 regulatory subunit 2	8454.11	8602.53	7859.31	8849.06	8430.46	8877.36	8086.73	7410.44	7605.22	7463.43	8530.24	8478.43
O75173	O75173	ATS4_HUMAN	ADAMTS4	A disintegrin and metalloproteinase with thrombospondin motifs 4	5234.55	5223.46	3784.43	3127.79	3461.63	5145.88	2338.92			1672.29	2479.77	
O75175	O75175	CNOT3_HUMAN	CNOT3	CCR4-NOT transcription complex subunit 3	18030.5	17497.1	21265.5	24525.3	25780.9	17240.3	23718	21495.1	21880.5	23348.1	19092.3	24592.1
O75177	O75177	CREST_HUMAN	SS18L1	Calcium-responsive transactivator	3411.14	3483.31	3954.36	5451.15	4179.14	4095.57	5666.07	1817.69	3159.87	5229.97		4146.42
O75179	Q8IWZ3;O75179	ANR17_HUMAN	ANKRD17	Ankyrin repeat domain-containing protein 17	38114.5	38686.8	39468.2	40704.4	41451.8	44017.1	42594.8	37865.2	36395.6	41143.1	43556	38869.4
O75182	O75182	SIN3B_HUMAN	SIN3B	Paired amphipathic helix protein Sin3b	6554.91	5733.96	5473.21	4070.97	3917.67	6529.34	5057.56	7336.57	5111.57	4458.71	5681.89	4335.32
O75190	P25686;Q8NHS0;O75190	DNJB6_HUMAN	DNAJB6	DnaJ homolog subfamily B member 6	21264.2	20875.8	21730.3	21146	19950.9	21366.3	20239.1	23567.2	21675	18943.1	22563.8	20500.1
O75191	O75191	XYLB_HUMAN	XYLB	Xylulose kinase	21513.9	35041.8	27702.1	22449.3	29846.3	29983.4	26114.9	36619.1	29049.1	24947.3	41317.3	36350.9
O75197	O75197	LRP5_HUMAN	LRP5	Low-density lipoprotein receptor-related protein 5	2689.47	2680.2	2137.86	2092.65	2633.43	2127.22	2391.16		1875.71	2526.04		2173.74
O75208	O75208	COQ9_HUMAN	COQ9	"Ubiquinone biosynthesis protein COQ9, mitochondrial"	15623.7	21626.6	22180.7	19742.9	18406.9	19202.5	27021.9	24559.8	26635.2	27416.1	20713.6	25185.6
O75223	O75223	GGCT_HUMAN	GGCT	Gamma-glutamylcyclotransferase	41792.6	38111.1	36171.4	38457.9	37085.5	34447.5	28408.2	30176.1	35667.4	31209.4	31436.9	25892.2
O75251	O75251	NDUS7_HUMAN	NDUFS7	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial"	70262.2	67316.6	74829.6	61437.4	67109.8	70989.4	57073.3	76337.3	61367.6	64068	63154.1	63757.7
O75306	O75306	NDUS2_HUMAN	NDUFS2	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial"	26729.8	33168.7	34577.6	28115.1	31727.5	31986.5	31025.6	37576.2	34348.1	31269.7	33392.1	32590.7
O75312	O75312	ZPR1_HUMAN	ZPR1	Zinc finger protein ZPR1	41668.5	36823.9	38081.4	41075.4	39723.7	32845.8	36902.5	29818.9	35509	39032.3	36576.2	37038.3
O75317	O75317	UBP12_HUMAN	USP12	Ubiquitin carboxyl-terminal hydrolase 12	3387.08	3782.48	4032.14	4178.65	3422.43	4029.69	4254.53	3426.15	4007.56	3140.75	4155.21	4328.14
O75319	O75319	DUS11_HUMAN	DUSP11	RNA/RNP complex-1-interacting phosphatase	3480.39	2596.32	3639.75	2818.71	2364.56	2756.6	3095.68	3788.93	2163.94	3433.78	2663.97	3692.14
O75323	O75323	NIPS2_HUMAN	NIPSNAP2	Protein NipSnap homolog 2	48168	44639.8	41042.2	44257.4	44243.4	43495.2	53188.4	53034.4	49838	50921.2	54026.3	50707.4
O75326	O75326	SEM7A_HUMAN	SEMA7A	Semaphorin-7A	5456.15	6921.47	5866.51	5089.04	5695.03	8097.71	7693.79	7172.43	6289.27	6503.65	7319.57	7877.94
O75330	O75330	HMMR_HUMAN	HMMR	Hyaluronan mediated motility receptor	13274.4	10275.5	10597	9580.35	9785.51	11509.3	10914	10044	10622.9	10008.2	7972.44	8317.78
O75334	O75334;O75335	LIPA2_HUMAN	PPFIA2	Liprin-alpha-2	5819.39	5787.94	6016.25	6339.44	5885.55	5368.58	4182.5	3995.11	4461.32	4375.21	4869.31	3937.78
O75339	O75339	CILP1_HUMAN	CILP	Cartilage intermediate layer protein 1	4881.53	5118.09		2942.29			4786.09	4957.87			12964.3	2461.2
O75340	O75340	PDCD6_HUMAN	PDCD6	Programmed cell death protein 6	83375.7	64722.2	96597.9	120675	107546	69727.2	97919.2	75803.1	79102.6	83787	77909.8	98338.3
O75347	O75347	TBCA_HUMAN	TBCA	Tubulin-specific chaperone A	121403	138478	195842	235847	227303	151240	262097	217867	257230	258819	151204	252890
O75348	O75348	VATG1_HUMAN	ATP6V1G1	V-type proton ATPase subunit G 1	149560	147210	168902	199464	185749	142145	254947	190104	181270	262784	194160	235376
O75351	O75351	VPS4B_HUMAN	VPS4B	Vacuolar protein sorting-associated protein 4B	203960	216291	239567	249665	240523	216810	236398	198295	196907	234343	207871	244495
O75352	O75352	MPU1_HUMAN	MPDU1	Mannose-P-dolichol utilization defect 1 protein	18844.3	28466.4	56998.2	101858	44031.1	33207.8	76930.7	73771.6	80890.5	108237	35354.8	61326.7
O75354	O75354	ENTP6_HUMAN	ENTPD6	Ectonucleoside triphosphate diphosphohydrolase 6	5956.09	6679.64	6088.03	5309.71	3843.69	4200.61	5647.15	5136.25	4048.82	4491.73	5449.58	4930.8
O75355	O75355	ENTP3_HUMAN	ENTPD3	Ectonucleoside triphosphate diphosphohydrolase 3	14515.5	11689.5	12143.3	13400	12658	11466.5	5950.12	4183.11	4463.94	5785.51	5363.03	4751.04
O75356	O75356	ENTP5_HUMAN	ENTPD5	Nucleoside diphosphate phosphatase ENTPD5	6473.99	5781.45	6094.24	6401.92	5462.09	5304.44	5478.27	4040.1	4844.87	5402.24	4446.9	5541.19
O75362	O75362	ZN217_HUMAN	ZNF217	Zinc finger protein 217	2484.23	2304.33	1463.22	2064.48	1244.78	2663.93	1067.39	841.55	964.563	1235.14	2242.05	1290.35
O75367	O75367	H2AY_HUMAN	MACROH2A1	Core histone macro-H2A.1	163540	182010	150902	114433	125830	163541	122115	162658	152504	133736	131960	141104
O75368	O75368	SH3L1_HUMAN	SH3BGRL	SH3 domain-binding glutamic acid-rich-like protein	262903	222927	214039	249098	204334	201283	196235	176744	182462	180226	209015	188617
O75369	O75369	FLNB_HUMAN	FLNB	Filamin-B	267803	276255	272508	288194	277389	284311	358839	327937	326739	346275	354650	357646
O75376	O75376	NCOR1_HUMAN	NCOR1	Nuclear receptor corepressor 1	10283.5	8930.87	8155.78	8809.68	9200.46	9201.92	7557.05	7170.09	6606.55	7354.53	9254.55	8034.06
O75379	O75379	VAMP4_HUMAN	VAMP4	Vesicle-associated membrane protein 4	7274.85	6764.05	4852.71	4970.67	4369.06	6042.69	6774.04	6767.18	6570.06	5598.43	7614.39	5506.81
O75380	O75380	NDUS6_HUMAN	NDUFS6	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial"	37885.3	40439.6	37039.5	39523.5	36415.9	30259.1	38979.6	29629.1	34759.7	36822.9	32806.4	32388
O75381	O75381	PEX14_HUMAN	PEX14	Peroxisomal membrane protein PEX14	36037.2	38125.2	34154.7	42317.9	35637.3	30752.3	38079.8	33063.4	35151.8	34964.2	34589.5	36832.6
O75382	O75382	TRIM3_HUMAN	TRIM3	Tripartite motif-containing protein 3	25023.8	34351.4	32733.7	32924	33006.9	35711.8	31979.4	33485.1	33309.6	40948.4	34234	33912.3
O75385	O75385	ULK1_HUMAN	ULK1	Serine/threonine-protein kinase ULK1	6120.19	6768.19	6876.49	8357.64	6506.84	6895.48	7592.57	9531.97	8892.63	7627.93	7973.34	8028.88
O75386	O75386	TULP3_HUMAN	TULP3	Tubby-related protein 3	5139.39	8119.8	6941.24	4749.4	3675.79	5311.76	4780.7	4915.98	5613.03	5855.7	5577.19	
O75390	O75390	CISY_HUMAN	CS	"Citrate synthase, mitochondrial"	298397	323123	341713	309070	310420	300071	435467	507798	489982	465236	372651	384633
O75391	O75391	SPAG7_HUMAN	SPAG7	Sperm-associated antigen 7	7610.02	7363.48	8289.63	9260.13	7585.74	6804.86	8053.74	7323.93	9262.5	7895.55	8108.05	7896.78
O75394	O75394	RM33_HUMAN	MRPL33	"39S ribosomal protein L33, mitochondrial"	15404.1	16478.7	14854.2	13544.3	13685.9	15348.3	14519.6	13469.9	14215.3	11812.8	16144.3	15485.3
O75396	O75396	SC22B_HUMAN	SEC22B	Vesicle-trafficking protein SEC22b	172434	206285	188998	147207	169770	194676	155083	189309	165650	165045	186830	174175
O75400	O75400	PR40A_HUMAN	PRPF40A	Pre-mRNA-processing factor 40 homolog A	29748.4	35451	43866.5	44979	43077.4	36446	39555.3	42546.8	40636.8	43402.5	32324.6	42364.6
O75410	O75410	TACC1_HUMAN	TACC1	Transforming acidic coiled-coil-containing protein 1	37425.2	34992.8	32433.2	36236	35583.2	31331.3	33360.7	27393.6	27572.5	29999.8	30260	31019.6
O75414	O75414	NDK6_HUMAN	NME6	Nucleoside diphosphate kinase 6	8852.04	8967.92	10261.6	8912.43	11059.4	8147.5	11823.5	12724	11351	11699.1	10855.9	11342.8
O75420	O75420	GGYF1_HUMAN	GIGYF1	GRB10-interacting GYF protein 1	8666.78	8750.33	9265.88	9898.03	9119.34	8495.67	9279.1	8644.21	8772.23	7287.3	8308.6	8882.14
O75427	O75427	LRCH4_HUMAN	LRCH4	Leucine-rich repeat and calponin homology domain-containing protein 4	14134.7	12980.5	10230.3	10964.7	9277.89	11276.6	9698.55	9097.88	8720.73	8762.48	11499.8	10540.7
O75431	O75431	MTX2_HUMAN	MTX2	Metaxin-2	73645.2	71313.4	76786.4	78505.9	79082.5	68431.7	92777.6	98212.1	93641.1	101292	86477.8	97979.9
O75436	O75436	VP26A_HUMAN	VPS26A	Vacuolar protein sorting-associated protein 26A	73748.3	90132.6	114509	116209	110573	100104	103973	114466	115540	101101	93781.7	107049
O75438	O75438	NDUB1_HUMAN	NDUFB1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1	61287.8	65074.6	77601.4	63843.5	68794	64211.7	70554.6	74549.9	75954.6	87894.2	66623.3	63049.4
O75439	O75439	MPPB_HUMAN	PMPCB	Mitochondrial-processing peptidase subunit beta	74765	89699.1	85770	75315.5	81351.1	92272.3	95865.8	101800	99963.7	105086	97557.9	96124.7
O75448	O75448	MED24_HUMAN	MED24	Mediator of RNA polymerase II transcription subunit 24	5450.58	6004.56	5144.36	4215.48	4715.25	5130.42	4616.95	5952.89	4416.22	4677.33	5674.48	4664.36
O75449	O75449	KTNA1_HUMAN	KATNA1	Katanin p60 ATPase-containing subunit A1	14456.3	17049.4	14239.2	12575.4	12860.4	12745.1	14677.5	14602.2	12004.6	16585.8	12314.2	14462
O75475	O75475	PSIP1_HUMAN	PSIP1	PC4 and SFRS1-interacting protein	29491.7	27674.3	29377.8	29817.9	29705.9	26295.2	25996.9	29904.7	30853.3	28967.3	24227.3	27613.1
O75477	O75477	ERLN1_HUMAN	ERLIN1	Erlin-1	30214.7	34832.8	36828.9	29784.8	30269.3	33983.5	24129.5	26227.5	26609.7	25353.1	24194.7	23711.6
O75487	O75487	GPC4_HUMAN	GPC4	Glypican-4	54123.7	46992	63156.4	63862.7	57723.4	45351.7	125710	123562	129010	149160	94402.8	130488
O75489	O75489	NDUS3_HUMAN	NDUFS3	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial"	113952	93307.4	95338.3	89513.7	90651.8	97175.5	85140.7	91704.6	90950.3	86919.8	100818	94784
O75494	O75494	SRS10_HUMAN	SRSF10	Serine/arginine-rich splicing factor 10	44035.4	34835	35120.9	39056.2	36065.9	32188.1	31988	33151.3	37896.5	29847.7	33888	27049.5
O75496	O75496	GEMI_HUMAN	GMNN	Geminin					1414.03		1904.27	1407.5	2657.89	1758.49	1398.94	1958.69
O75503	O75503	CLN5_HUMAN	CLN5	Ceroid-lipofuscinosis neuronal protein 5	54760.5	62939.4	83370.4	107140	94028.9	61014.1	100053	70326.2	73254.1	89394.7	53042	81652.7
O75506	O75506	HSBP1_HUMAN	HSBP1	Heat shock factor-binding protein 1		4686.63	5483.76	13183.1	6593.56	4563.03	10859.4	10238.3	10402.6	9025.39	3136.21	16620.8
O75508	O75508	CLD11_HUMAN	CLDN11	Claudin-11	16388.3	17368.2	23451.4	24653.3	23086	17311.7	14316.7	14036.9	13394.8	14695.1	10763.6	15454.7
O75521	O75521	ECI2_HUMAN	ECI2	Enoyl-CoA delta isomerase 2	37770.5	40077.1	51182.8	54519.9	54682.4	41186.7	49552	47674.2	46113.1	52510.2	35010.2	47927.6
O75525	O75525	KHDR3_HUMAN	KHDRBS3	"KH domain-containing, RNA-binding, signal transduction-associated protein 3"	59580.9	51564	52454.6	52097.1	55622.8	52875	66550.2	62636.1	62862.8	63806.5	74342.8	70130
O75528	O75528	TADA3_HUMAN	TADA3	Transcriptional adapter 3	9479.21	7744.11	6768.41	7212.52	7492.36	7401.36	8715.76	9208.92	6844.63	8049.36	7477.35	7200.11
O75529	O75529	TAF5L_HUMAN	TAF5L	TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L	9312.3	8647.05	6755.76	7290.9	8172.07	8285.5	7066.99	7447.86	4666.49	6144.84	8394.88	7502.49
O75530	O75530	EED_HUMAN	EED	Polycomb protein EED	3998.45	5331.52	5060.8	5566.19	5538.62	4986.21	6158.06	8747.6	8864.74	6251.79	6078.88	5612.4
O75531	O75531	BAF_HUMAN	BANF1	Barrier-to-autointegration factor	233121	225506	181264	239221	215636	193168	223432	126267	120016	257507	146433	220632
O75533	O75533	SF3B1_HUMAN	SF3B1	Splicing factor 3B subunit 1	94829.6	112585	116168	97462	102624	112797	96135	118441	111862	100219	111089	99559.4
O75534	O75534	CSDE1_HUMAN	CSDE1	Cold shock domain-containing protein E1	91029.8	91956.4	85244.6	86029.4	89138.6	91940.9	88634.9	85268.6	84148.4	96043.7	93329.7	88303.2
O75553	O75553	DAB1_HUMAN	DAB1	Disabled homolog 1	6236.1	6706.25	6692.28	6886.6	6384.54	7075.04	7816	7146.27	7934.83	8284.54	7068.33	6652.72
O75554	O75554	WBP4_HUMAN	WBP4	WW domain-binding protein 4	2917.36	3040.73	6197	5962.98	8605.36	3347.3	7716.73	4898.31	5030.63	7062.33	4192.99	7699.86
O75569	O75569	PRKRA_HUMAN	PRKRA	Interferon-inducible double-stranded RNA-dependent protein kinase activator A	18971.7	22823.7	25411.8	27244.2	27496.2	22734.6	30082.8	24920.4	23878.7	28985.5	24052.7	28538.6
O75575	O75575	RPC9_HUMAN	CRCP	DNA-directed RNA polymerase III subunit RPC9	7089.2	7346.9	10218.1	14691.7	10506.3	9907.38	13565.7	10237	10859.8	12812.7	8693.25	12400.1
O75578	O75578	ITA10_HUMAN	ITGA10	Integrin alpha-10	4594.41	4729.38	4038.68	4483.33	2634.68	2782.35	2510.03	2377.16	2140.72	2314.17	1993.95	2123.53
O75581	O75581	LRP6_HUMAN	LRP6	Low-density lipoprotein receptor-related protein 6	2762.29	1895.78	3094.25	2776.08	3213.2	1913.71	2634.43	2562.87	3094.03	2115.16	2169.39	2731.35
O75586	O75586	MED6_HUMAN	MED6	Mediator of RNA polymerase II transcription subunit 6	6313.22	5466.93	8114.95	6615.91	5965.61	5514.2	5290.19	7029.87	6811.37	6637.44	6477.71	6618.21
O75592	O75592	MYCB2_HUMAN	MYCBP2	E3 ubiquitin-protein ligase MYCBP2	17792.6	18723.3	18868.1	18046.5	17706.3	20114.3	16477.7	16775.9	17137.8	15989	18206.8	16411
O75600	O75600	KBL_HUMAN	GCAT	"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial"	7819.63	6773.59	5361.78	5091.38	7508.75	8266.7	4546.7	5420.46	3205.1	3755.28	6928.97	6204.61
O75607	O75607	NPM3_HUMAN	NPM3	Nucleoplasmin-3	7999.07	8922.96	7957.06	5424.73	3650.8	6837.14	7467.86	6710.01	8478.5	7314.21	9366.98	9332.51
O75608	O75608	LYPA1_HUMAN	LYPLA1	Acyl-protein thioesterase 1	50815.5	61697.1	65807.6	63324.6	51164.5	58319.5	73992.1	72383.9	74002.5	102345	72981.4	69817.8
O75616	O75616	ERAL1_HUMAN	ERAL1	"GTPase Era, mitochondrial"	14566.1	17839.2	15281.2	12202.9	17397.5	17112	15216.6	15534.7	16943	13736.7	14934.2	13209.9
O75635	O75635	SPB7_HUMAN	SERPINB7	Serpin B7	11044.5	7055.42	11957	17849.6	18034.4	8982.37	26285.3	17556.6	21357.7	25923.2	12843.1	25425.8
O75643	O75643	U520_HUMAN	SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase	63028.2	75643.1	76106.9	62561.6	66807.2	74032.2	62448.8	78707.8	68992.5	67254.4	66717.9	65453.6
O75648	O75648	MTU1_HUMAN	TRMU	Mitochondrial tRNA-specific 2-thiouridylase 1	7087.22	8603.79	6960.02	6858.57	6543.79	7099.86	8338.47	10104.9	10058.3	9269.96	8187.39	8727.44
O75663	O75663	TIPRL_HUMAN	TIPRL	TIP41-like protein	37322.7	44526.2	45539.6	50229.3	49043.7	48768.4	48601.3	37409.6	38409.5	43687.8	41628.1	46353.6
O75674	O75674	TM1L1_HUMAN	TOM1L1	TOM1-like protein 1	8937.18	9140.42	11463.2	12746.1	12866.6	9825.58	17601.8	13988.9	12824.1	13784.9	14088	15429.8
O75676	O75676	KS6A4_HUMAN	RPS6KA4	Ribosomal protein S6 kinase alpha-4	11834	10669.8	10596.2	10082.5	9760.62	11143.7	8999.69	9188.73	8573.6	8714.41	9301.4	9151.31
O75683	O75683	SURF6_HUMAN	SURF6	Surfeit locus protein 6	8428.98	8704.58	10472.8	9060.99	9410.86	9519.06	7038.94	8415.8	8832.27	7755.88	7224.78	7628.83
O75688	O75688;P35813	PPM1B_HUMAN	PPM1B	Protein phosphatase 1B	27088.7	32403.5	47201.2	53039.5	53420.4	40902.2	48757.3	40434.4	46389.8	49177.9	39594	51651.5
O75691	O75691	UTP20_HUMAN	UTP20	Small subunit processome component 20 homolog	16218.7	19908.3	19463.3	14901.1	15919.2	18251.2	14362.3	20722	18411.8	15992.5	16848	14041.9
O75694	O75694	NU155_HUMAN	NUP155	Nuclear pore complex protein Nup155	28677.6	34174.5	34735.4	26552.3	28432.1	34243	27728.7	32864.2	30133.9	27557.5	30561.6	27769
O75695	O75695	XRP2_HUMAN	RP2	Protein XRP2	42170.7	51003.9	53087	50642.6	49612.8	45394.3	65728.1	84158.1	80074.5	72118	58973.8	61297.1
O75717	O75717	WDHD1_HUMAN	WDHD1	WD repeat and HMG-box DNA-binding protein 1	7340.59	7406.61	12417.2	10079.7	10906.6	9078.2	14311	13050.6	13507.6	15889.8	12401.1	16512.3
O75718	O75718	CRTAP_HUMAN	CRTAP	Cartilage-associated protein	100382	108344	137750	147817	125623	98879.1	144195	129109	133884	159000	107981	147218
O75746	O75746	CMC1_HUMAN	SLC25A12	Calcium-binding mitochondrial carrier protein Aralar1	35131.3	37868	31543.4	26101.5	28482.8	35920.1	22247.1	28266.5	24464.5	22873.8	26551.1	22721.7
O75752	O75752	B3GL1_HUMAN	B3GALNT1	"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1"	4549.73	4902.59	4741.22	5351.67	5271.45	3932.57	5566.65	5203.78	5126.17	5960.88	4701.9	7408.8
O75781	O75781	PALM_HUMAN	PALM	Paralemmin-1	39348.5	29050	33611.3	37221.6	35190.7	25893.3	35106.7	27584.6	32368.3	33993.3	32694.5	32812.4
O75787	O75787	RENR_HUMAN	ATP6AP2	Renin receptor	33649.2	40321.1	43653.8	31940.2	34382.9	38619.4	41111.8	33294.5	29975	36350.6	46680.8	44850.9
O75792	O75792	RNH2A_HUMAN	RNASEH2A	Ribonuclease H2 subunit A	6263.98	6928.51	8211.89	8437	3934.37	6267.31	8160.08	6137.77	7973.37	7150.41	7490.61	7535.58
O75794	O75794	CD123_HUMAN	CDC123	Cell division cycle protein 123 homolog	19230.6	23503.8	20736	20893.1	21145	20950.9	21805.9	20788.5	19298.5	19477.6	20469.8	21933.7
O75815	O75815	BCAR3_HUMAN	BCAR3	Breast cancer anti-estrogen resistance protein 3	14329.8	13407.1	9965.87	11458.2	10482.8	14184.4	13296.9	16322.5	9842.92	13559.7	15597.3	13911.3
O75817	O75817	POP7_HUMAN	POP7	Ribonuclease P protein subunit p20	11242.6	11274.4	11322	11238.9	10657.1	10377.7	10910.4	9443.51	8911.35	8023.5	10742.5	10222.6
O75818	O75818	RPP40_HUMAN	RPP40	Ribonuclease P protein subunit p40	6962.65	7918.07	11076.2	11144.1	8764.49	8611.13	8562.81	9597.83	7097.81	9413.24	7271.56	8579.5
O75821	O75821	EIF3G_HUMAN	EIF3G	Eukaryotic translation initiation factor 3 subunit G	113094	101927	108458	125213	110005	91800.7	124890	113296	120655	125927	100579	128407
O75822	O75822	EIF3J_HUMAN	EIF3J	Eukaryotic translation initiation factor 3 subunit J	53952.7	54428	59205.6	62334.5	63957.4	44291.9	47204.3	37308.1	42401.1	45021.8	34841.2	41311.3
O75828	O75828	CBR3_HUMAN	CBR3	Carbonyl reductase [NADPH] 3	20962.4	22104.1	22708.1	26064	26556.5	22712.6	19913.2	14575.7	13411.1	18769.4	17845.9	18022.6
O75832	O75832	PSD10_HUMAN	PSMD10	26S proteasome non-ATPase regulatory subunit 10	83454.3	88199.7	113613	122839	120526	94076.7	132624	102840	120663	140142	123077	125792
O75844	O75844	FACE1_HUMAN	ZMPSTE24	CAAX prenyl protease 1 homolog	27464.6	37659	46292.4	32568	39022.2	40525.1	44222	55107.5	54508.2	45123.4	43006	45399.7
O75845	O75845	SC5D_HUMAN	SC5D	Lathosterol oxidase		9796.98	10865.4	9507.44	8192.9	9753.72	11249.4	11676.5	13750.9	11018.8	11212.5	10839.9
O75865	O75865	TPC6A_HUMAN	TRAPPC6A	Trafficking protein particle complex subunit 6A	7541.92	9543.07	6759.93	9208.8	7907.46	10286.3	7590.91	6800.28	5678.21	7605.54	8647.92	5104.14
O75874	O75874	IDHC_HUMAN	IDH1	Isocitrate dehydrogenase [NADP] cytoplasmic	123838	145498	157901	186410	182222	159541	192468	166289	177250	193326	160433	195358
O75879	O75879	GATB_HUMAN	GATB	"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial"	12236.9	12434.6	12741.2	9403.23	9157.63	12641.3	11230.1	12631.4	12837.4	13868.3	10962.1	10986.9
O75880	O75880	SCO1_HUMAN	SCO1	"Protein SCO1 homolog, mitochondrial"	49213.8	55259.5	63650.4	60710.5	56089.9	57709.7	63712.4	68987	73566.8	68734.1	51070.4	66525.7
O75881	O75881	CP7B1_HUMAN	CYP7B1	Cytochrome P450 7B1	4157.76	7029.45	7741.72	5786.78		5009.39	4409.17	6972.41	5835.11	6438.53	5421.76	4349.91
O75882	O75882	ATRN_HUMAN	ATRN	Attractin	15189.1	16580.2	16483.6	14151.2	14802.6	15361	15994.3	18280.2	16389.9	19192.2	15736.9	16509.5
O75884	O75884	RBBP9_HUMAN	RBBP9	Serine hydrolase RBBP9	3508.73	2871.75	5155.09	6878.61	6380.93	3216.54	6149.02	4023.44	5134.69	5263.03	2870.21	6485.64
O75886	O75886	STAM2_HUMAN	STAM2	Signal transducing adapter molecule 2	37049.4	43300.1	51734.1	56339.5	57001.2	46413.5	52328.3	48534.1	53933.7	49579.1	42236	50720.1
O75891	O75891	AL1L1_HUMAN	ALDH1L1	Cytosolic 10-formyltetrahydrofolate dehydrogenase	9315.64	8879.67	8722.26	7879.87	9134.94	9171.57	5210.71	4518.42	7256.07	6113.39	7691.67	8287.9
O75896	O75896	TUSC2_HUMAN	TUSC2	Tumor suppressor candidate 2	10206.6	11215.8	7038.3	8243.35	10593.1	8732.8	10972.9	4275.79	9704.21	11225.6	10884.1	10358.3
O75899	O75899	GABR2_HUMAN	GABBR2	Gamma-aminobutyric acid type B receptor subunit 2		2801.65	4350.23	1900.2	3035.75	1094.5	8283.78	9806.78	8849.33	7315.36	9579.52	8906.59
O75907	O75907	DGAT1_HUMAN	DGAT1	Diacylglycerol O-acyltransferase 1	5356.53	6668.44	7780.98	4300.39	4886.79	6841.02	5731.9	8717.31	6333.8	6867.2	7667.47	4675.56
O75909	O75909	CCNK_HUMAN	CCNK	Cyclin-K	10914	11114.2	10111.6	10895.9	10189	10995.3	9567.68	9061.64	9951.58	9873.81	11534	9132.83
O75911	O75911	DHRS3_HUMAN	DHRS3	Short-chain dehydrogenase/reductase 3	38988.4	45475.2	46303.8	34412.2	40664.7	46305.1	24400.3	33960.2	32088	32356	27144.1	24060.3
O75914	O75914	PAK3_HUMAN	PAK3	Serine/threonine-protein kinase PAK 3	23523.3	22786.9	24168.6	36017.5	29580	23748.1	15332.9	15232.5	17299.7	14105.2	14094.2	16591.7
O75915	O75915	PRAF3_HUMAN	ARL6IP5	PRA1 family protein 3	362683	368758	396892	314621	362421	350798	313236	389389	413375	344872	286008	336282
O75923	O75923	DYSF_HUMAN	DYSF	Dysferlin	7704.91	8240.74	11575.2	8325.63	9114.92	7454.13	6654.13	9435.35	6925.67	7150.44	6262.59	7768.83
O75928	O75925;O75928	PIAS2_HUMAN	PIAS2	E3 SUMO-protein ligase PIAS2	3677.77	4434.7	7019.43	3807	4499.04	6791.59	4191.3	5930.17	4195.72	4272.61	5074.83	3014.47
O75934	O75934	SPF27_HUMAN	BCAS2	Pre-mRNA-splicing factor SPF27	24507.9	23327.3	49951.4	65408.7	62070	31652.9	52102.5	42643.6	48125.5	51399.7	29543.9	53354.1
O75935	O75935	DCTN3_HUMAN	DCTN3	Dynactin subunit 3	32529.5	69346.2	64438.9	60440.1	72158.4	66433.8	59404.8	59754.6	72834	99007.4	65761	68593.3
O75936	O75936	BODG_HUMAN	BBOX1	Gamma-butyrobetaine dioxygenase				3168.31	2837.65	2646.5		1004.68	1337.61			
O75937	O75937	DNJC8_HUMAN	DNAJC8	DnaJ homolog subfamily C member 8	33178.9	35196.4	42515.7	43769.6	42767	32471.6	42674.9	36858.9	43713.1	44800	33176.6	41908.3
O75940	O75940	SPF30_HUMAN	SMNDC1	Survival of motor neuron-related-splicing factor 30	13984	12832.2	15726.7	16282.5	14972.5	12922.1	15982	12433.7	21064.2	19706	10930.7	14987.3
O75947	O75947	ATP5H_HUMAN	ATP5PD	"ATP synthase subunit d, mitochondrial"	71567	63735.3	95930.4	143243	148878	77988.1	150017	116004	134434	143114	84571.2	155299
O75953	O75953	DNJB5_HUMAN	DNAJB5	DnaJ homolog subfamily B member 5	3050.94	3241.18	3955.78	3657.26	3406.82	4998.17	3761.58	6011.6	3935.69	4566.5	4937.75	4096.91
O75954	O75954	TSN9_HUMAN	TSPAN9	Tetraspanin-9	10288.3	12919.5	19152.6	16748.6	17530	12545.6	11391.6	13335.1	15222.2	19426	7673.74	19125.1
