Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-194_4215.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-195_4216.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-196_4217.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-197_4218.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-198_4219.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-199_4228.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-200_4229.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-201_4230.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-202_4231.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-203_4232.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-26_4209.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-27_4210.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-28_4211.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-29_4212.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-30_4213.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-31_4222.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-32_4223.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-33_4224.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-34_4225.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-35_4226.d
P18077	P18077	RL35A_HUMAN	RPL35A	60S ribosomal protein L35a	1672.36		2733.38	2336.47		2216.57	717.218	2804.25	2571.71	1269.49		2674.13	1783.67	2158.59	2424.06	1222.29	2467.54	1293.26	2352.26	3255.21
P18085	P18085	ARF4_HUMAN	ARF4	ADP-ribosylation factor 4	1173.95	472.778	2361.23	2220.01		2733.9		747.24	2207.11	495.021		1469.56		825.389	1346.36	929.015	1645.99	669.05	1667.38	2754.41
P18124	P18124	RL7_HUMAN	RPL7	60S ribosomal protein L7	1637.78	486.927	2247.11	2157.93	501.903	1972.55	1173.44	3022.31	1843.6	1018.45		2508	1830.64	2051.7	2019.67	1951.05	2228.17	1089.98	2891.29	2276.02
P18206	P18206	VINC_HUMAN	VCL	Vinculin	1155.09	1320.97	2084.66	4141.08	994.424	1903.86	1009.04	1230.17	2146.05	1286.64		2852.37	1103.76	1226.3	2146.7	2152.67	1888.02	474.063	1799.66	2316.2
P18583	P18583	SON_HUMAN	SON	Protein SON	662.812		429.707	469.807		973.051	502.184	587.807	276.407			355.641	907.057	765.857	384.867		721.969	437.054	711.314	515.346
P18621	P18621	RL17_HUMAN	RPL17	60S ribosomal protein L17	611.999		463.072	452.867		782.908		911.825	804.324	188.024		663.974		620.583	891.742		443.906	405.196	898.903	956.434
P18669	P18669;P15259	PGAM1_HUMAN	PGAM1	Phosphoglycerate mutase 1	854.199	635.807	2002.57	14468.7	328.953	1513.17	894.762		1592.11	459.352		1872.45	1014.72	139.43	1798.31	1410.28	1325.93	448.253	1840.04	1739.76
P18754	P18754	RCC1_HUMAN	RCC1	Regulator of chromosome condensation	691.064		593.66	736.031		917.186	1300.38	1396.71	481.735	584.948		531.395	788.609	804.542	479.872		657.054	347.269	391.626	955.408
P18859	P18859	ATP5J_HUMAN	ATP5PF	ATP synthase-coupling factor 6, mitochondrial	1337.69		635.235	531.764		608.208	541.51	590.065	673.685	752.92		246.426	433.268	1248.36	327.889		1299.24	1722.94	410.231	
P18887	P18887	XRCC1_HUMAN	XRCC1	DNA repair protein XRCC1			206.854											462.42			216.331		440.988	96.9242
P19012	Q99456;P19012;CONT|P19012|K1C15_HUMAN;CONT|Q99456|K1C12_HUMAN	K1C15_HUMAN	KRT15	Keratin, type I cytoskeletal 15	24874.9	31632.3	11963.3	14853.8	29738.7	17212.7	28182.5	24133.1	18702.1	25928.5		22843	30607.7	20045.8	24804.1	32209.6	10854.6	14296.7	18683.9	23472.7
P19338	P19338	NUCL_HUMAN	NCL	Nucleolin	4552.67	1150.16	5156.35	4833.05		5657.59	4154.08	7089	4807.65	4310.39		3929.43	5935.9	5440.67	4441.3		2660.52	419.815	4084.43	4778.21
P19367	P19367	HXK1_HUMAN	HK1	Hexokinase-1	1025.61	146.313	1003.75	1153.89	323.318	777.911	731.995	670.749	935.428	554.11		682.275	454	898.655	785.907	445.858	1402.67	789.427	727.157	1070.59
P19388	P19388	RPAB1_HUMAN	POLR2E	DNA-directed RNA polymerases I, II, and III subunit RPABC1	308.345		190.265	172.56		255.556						207.986		390.392			457.123		433.59	325.911
P19404	P19404	NDUV2_HUMAN	NDUFV2	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	496.445		110.611	677.795			383.256			493.224				880.864	181.503		379.798	607.214		
P19474	P19474	RO52_HUMAN	TRIM21	E3 ubiquitin-protein ligase TRIM21			334.358			577.604			153.353											
P19525	P19525	E2AK2_HUMAN	EIF2AK2	Interferon-induced, double-stranded RNA-activated protein kinase			437.954	362.757		510.516		212.132	423.74								216.886		305.872	
P19623	P19623	SPEE_HUMAN	SRM	Spermidine synthase			1661.01	1392.2		1199.32	863.66		1123.09	759.156		1219.79	873.192		1412.4	524.847	779.101		1030.67	1347.84
P19971	P19971	TYPH_HUMAN	TYMP	Thymidine phosphorylase	253.285	432.38			507.5	414.842	636.824			423.583		489.843	679.029	302.031	334.553		123.468	187.242		578.733
P20042	P20042	IF2B_HUMAN	EIF2S2	Eukaryotic translation initiation factor 2 subunit 2	397.831		308.722	403.082		482.844		575.602	515.204						369.832		245.084		165.567	303.957
P20073	P20073	ANXA7_HUMAN	ANXA7	Annexin A7	528.277	379.88	752.803	883.23		982.122	562.418		1035.12	480.248		1172.6	745.553		784.832	384.127	896.695		690.842	925.277
P20290	P20290	BTF3_HUMAN	BTF3	Transcription factor BTF3			275.056	210.42		366.961			465.636						764.775		496.132		292.674	500.979
P20338	P20338;P61018	RAB4A_HUMAN	RAB4A	Ras-related protein Rab-4A							393.566							353.18		787.273	202.935		479.625	
P20339	P20339	RAB5A_HUMAN	RAB5A	Ras-related protein Rab-5A	332.793		392.158	526.013		320.109				327.144		391.485	702.363	598.942	801.74		528.774	644.098	343.317	398.357
P20340	P20340	RAB6A_HUMAN	RAB6A	Ras-related protein Rab-6A	1578.52	631.341	1208.63	1795.73		908.177	1345.86	1124.22	1463.39	1175.91		769.801	1147.52	1633.88	649.112		1600.08	1601.62	1256.49	1081.49
P20591	P20591	MX1_HUMAN	MX1	Interferon-induced GTP-binding protein Mx1			689.106	645.935		830.149		608.506	573.76									290.764		
P20618	P20618	PSB1_HUMAN	PSMB1	Proteasome subunit beta type-1	602.424	628.314	845.085	1713.53	893.388	890.564	1236.72	721.742	788.421	833.832		795.575	793.699	469.656	1167.34	1406.46	515.609	471.163	746.396	801.357
P20674	P20674	COX5A_HUMAN	COX5A	Cytochrome c oxidase subunit 5A, mitochondrial	1002.82		901.305	1355.96		469.449		1870.63	2417.74	922.562		1130.54	987.502	1541.02			991.749	1614.96	731.795	275.652
P20700	P20700	LMNB1_HUMAN	LMNB1	Lamin-B1	3769.34		2777.75	2703.49	213.728	3116.81	4426.05	3381.08	2551.52	2564.7		2439.92	3436.34	2878.89	2715.36		4500.55	1870.88	2857	3099.18
P20810	P20810	ICAL_HUMAN	CAST	Calpastatin			489.77			1144.88		546.354	708.07			1180.71	270.95		809.031		694.797		548.664	795.597
P20930	P20930;CONT|P20930|FILA_HUMAN	FILA_HUMAN	FLG	Filaggrin	3701.59	4016.63	1921.72	2731.38	3821.01	2110.3	5390.78	4225.46	3172.83	4901.96		4649.07	5462.48	4415.07	4472.13	6127.41	2763.94	4154.15	4981.9	6385.36
P20962	P20962	PTMS_HUMAN	PTMS	Parathymosin	433.906	353.786	3512.59	2972.84		3589.21	343.019		3401.16			2645.89	613.152	326.514	2490.3	861.539	3789.9		2754.99	3453.21
P21281	P21281	VATB2_HUMAN	ATP6V1B2	V-type proton ATPase subunit B, brain isoform	525.561		488.286	670.288	502.002	678.405	1092.03	240.707	838.188	570.055		775.011	509.95	1029.31	554.484	764.971	675.153	624.677	716.445	567.413
P21291	P21291	CSRP1_HUMAN	CSRP1	Cysteine and glycine-rich protein 1			1362.46	1411.44		1452.66	80.0176		1085.74			951.322	415.443		573.721	582.36	904.063	158.476	990.333	1816.55
P21333	P21333	FLNA_HUMAN	FLNA	Filamin-A	5840.93	5292.17	21027.4	21603.9	6081.86	22357.1	5998.38	8902.08	26580.4	6196.21		17518.7	11592.1	7601.41	19366.5	18284.1	20305.4	4148.04	19429	18553.1
P21399	P21399	ACOHC_HUMAN	ACO1	Cytoplasmic aconitate hydratase			433.981	967.295		190.902			394.307						455.354		329.187			996.496
P21589	P21589	5NTD_HUMAN	NT5E	5'-nucleotidase			519.778	567.525		373.453	883.468	1124.1	715.167	1332.39		622.428	1461.85	634.664	595.802	717.311	422.752	710.329		323.335
P21796	P21796	VDAC1_HUMAN	VDAC1	Voltage-dependent anion-selective channel protein 1	3399.01	339.255	2379.35	3980.22	609.056	2362.85	3021.23	1857.79	2071.2	2555.92		2617.21	1883.82	3008.11	1267.41	672.518	4027.21	4684.87	1310.45	1526.77
P21912	P21912	SDHB_HUMAN	SDHB	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	592.039		279.437	1277.08		483.474			642.87			186.093		520.954	612.64		468.412	710.736	473.979	428.224
P21964	P21964	COMT_HUMAN	COMT	Catechol O-methyltransferase	1104.3		762.358	869.801		558.906		933.15	893.531	1267.25		862.067	1551.72	1147.72	752.924	825.015	738.378	1815.33	383.288	815.187
P21980	P21980	TGM2_HUMAN	TGM2	Protein-glutamine gamma-glutamyltransferase 2				222.388		250.777		247.586	584.721								277.448		477.94	90.0086
P22033	P22033	MUTA_HUMAN	MMUT	Methylmalonyl-CoA mutase, mitochondrial	265.118		142.938	221.039					338.85					337.458			190.988		366.294	
P22059	P22059	OSBP1_HUMAN	OSBP	Oxysterol-binding protein 1			113.856	476.878													324.794		261.019	
P22061	P22061	PIMT_HUMAN	PCMT1	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	389.573		1351.15	1078.31		1215.4	675.83	412.226	903.94			943.092		689.202	551.576	1098.59	732.921	321.384	545.425	587.941
P22087	P22087	FBRL_HUMAN	FBL	rRNA 2'-O-methyltransferase fibrillarin	1689.26		766.764	807.551		578.172	950.966	1108.24	580.525	864.907		985.656	835.119	1380.71	636.687		967.562	751.738	923.586	821.09
P22090	P22090;Q8TD47	RS4Y1_HUMAN	RPS4Y1	40S ribosomal protein S4, Y isoform 1	392.205		454.458	676.924				783.935	354.982			605.977	510.369		609.354		433.17		627.975	771.639
P22102	P22102	PUR2_HUMAN	GART	Trifunctional purine biosynthetic protein adenosine-3			719.784	810.023		1022.25	322.719		842.437	376.86		525.651			560.726		764.941		1325.72	1445.1
P22234	P22234	PUR6_HUMAN	PAICS	Multifunctional protein ADE2			950.262	886.154		872.176			1752.16			1005.45	280.618	477.429	659.094	411.187	851.739		1239.03	1045.54
P22307	P22307	SCP2_HUMAN	SCP2	Sterol carrier protein 2	1677.46		613.631	583.358		145.278		622.194	894.648	771.485			726.17	1292.73	664.233		713.897	1601.47	536.231	730.643
P22314	P22314	UBA1_HUMAN	UBA1	Ubiquitin-like modifier-activating enzyme 1	616.889		1865.11	1782.97		1744.09	687.694	792.07	1615.14			1812.14	675.055	506.111	1704.76	1050.02	1671.44	308.003	1247.59	1971.44
P22392	O60361;P22392;P15531	NDKB_HUMAN	NME2	Nucleoside diphosphate kinase B	544.338	800.981	2518.44	4023.82	471.33	2855.07	1098.1	895.807	3159.11	1316.08		2046.9	1420.38	1460.97	2502.43	1949.14	1480.15	455.75	2160.93	1923.92
P22570	P22570	ADRO_HUMAN	FDXR	NADPH:adrenodoxin oxidoreductase, mitochondrial			236.672	392.973					648.958			310.53		738.068			249.985	1009.45		325.282
P22626	P22626	ROA2_HUMAN	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1	16933.6	741.557	14139.4	11981.9	1167.55	14651.8	15209.1	16358.6	15198.9	16461.3		11353.3	18645.1	17991.8	13401.1		20929.4	11898.3	10351.3	15714.9
P22695	P22695	QCR2_HUMAN	UQCRC2	Cytochrome b-c1 complex subunit 2, mitochondrial	1061.77		449.997	523.786		497.19	328.528	616.313	526.882	987.015		855.059	712.751	681.239	255.232		849.717	889.385	412.226	365.077
P22830	P22830	HEMH_HUMAN	FECH	Ferrochelatase, mitochondrial			167.328	385.946									163.945	198.317				201.391		
P23246	P23246	SFPQ_HUMAN	SFPQ	Splicing factor, proline- and glutamine-rich	3429.39		3114.46	4112.54		4245.55	3581.02	6130.36	4096.44	5221.17		2578.26	4079.01	6027.13	3632	6827.17	4935.78	2176.09	3703.73	3943.95
P23284	P23284	PPIB_HUMAN	PPIB	Peptidyl-prolyl cis-trans isomerase B	1579.18	766.677	1430.66	1586.39	1042.2	1751.37	1760.25	1484.95	1662.03	2002.49		984.831	1420.73	2082.39	629.425	1302.77	1415.54	1512	1146.2	1776.73
P23368	P23368	MAOM_HUMAN	ME2	NAD-dependent malic enzyme, mitochondrial	859.292		355.743	5994.08		647.041	803.309	784.252	389.795	640.698		411.849	1070.76	434.761			622.324	783.207	1083.29	654.377
P23381	P23381	SYWC_HUMAN	WARS1	Tryptophan--tRNA ligase, cytoplasmic			782.662	713.241		1195.74	788.136		906.993			380.696			676.089	712.553	603.652		446.401	757.861
P23396	P23396	RS3_HUMAN	RPS3	40S ribosomal protein S3	1276.19	933.375	4087.64	3723.28	940.7	4269.63	1036.71	3399.79	3291.73	934.792		3516.56	1608.6	1717.08	3568.71	2097.34	3099.23	728.437	3941.23	3630.65
P23526	P23526	SAHH_HUMAN	AHCY	Adenosylhomocysteinase	1160.77	901.107	1437.36	1870.3	1419.33	1771.63	1464.68	1627.77	1792.41	852.138		2292.3	1565.98	1467.58	1411.44	1465.49	1516.71	1146.35	1678.1	2357.47
P23528	P23528;Q9Y281	COF1_HUMAN	CFL1	Cofilin-1	2060.87	1483.91	7238.06	4378.06	601.766	5773.06	1758.57	1379.83	9908.32	887.578		6530.06	2106.47	1150.78	5889.7	4475.88	3573.34	936.471	8330.24	7019.83
P23588	P23588	IF4B_HUMAN	EIF4B	Eukaryotic translation initiation factor 4B			662.708	623.114		885.727			703.945			1291.31			489.856	697.488	694.437		897.401	852.198
P23634	P23634	AT2B4_HUMAN	ATP2B4	Plasma membrane calcium-transporting ATPase 4	321.332		113.435	231.764	531.076				364.554			797.314					179.376	317.985	172.611	310.279
P23919	P23919	KTHY_HUMAN	DTYMK	Thymidylate kinase	718.695		563.568	595.295		708.345			837.526	475.37		707.985		312.839	609.307		427.57	219.358	575.861	720.436
P23921	P23921	RIR1_HUMAN	RRM1	Ribonucleoside-diphosphate reductase large subunit			206.635			450.764						374.07			322.937		166.292		515.454	483.736
P24534	P24534	EF1B_HUMAN	EEF1B2	Elongation factor 1-beta	399.583		3226.99	2134.71		2882.78	845.748	899.34	2405.5	496.726		2063.22	1234.95	420.813	2272.08	1758.68	1420.46	335.266	2480.6	2460.15
P24539	P24539	AT5F1_HUMAN	ATP5PB	ATP synthase F(0) complex subunit B1, mitochondrial	2951.19		1011.06	4758.17		2124.03	1182.49	1174.24	2000.12	1724.12		2149.77	1912.68	2682.43	1348.74		3645.83	4912.51	2000.23	2244.43
P24666	P24666	PPAC_HUMAN	ACP1	Low molecular weight phosphotyrosine protein phosphatase		1169.37	808.028	1842.73		1450.49	692.005	742.433	960.256	953.647		1775.19	1194.19	493.924	1252.06	790.436	499.893		583.565	1155.36
P24752	P24752	THIL_HUMAN	ACAT1	Acetyl-CoA acetyltransferase, mitochondrial	2109.74		1599.21	1212.12		1832.76	1707.38	984.737	1300.82	2854.32		1056.41	839.616	2930.83	994.54		2095.78	2911.32	502.125	1190.01
P24844	P24844;P19105;O14950	MYL9_HUMAN	MYL9	Myosin regulatory light polypeptide 9	1802.38	498.784	3095.63	2623.83		2499.31	1227.58	1029.04	4115.31	1400.77		1582.16	776.064		2060.37	2377.18	2901.76	776.091	3451.78	1942.11
P25205	P25205	MCM3_HUMAN	MCM3	DNA replication licensing factor MCM3	425.691		1136.05	946.15		716.689			914.013			1302.49	1256.35	588.036	1210.93				910.343	668.915
P25311	P25311	ZA2G_HUMAN	AZGP1	Zinc-alpha-2-glycoprotein	1805.83	2198.07	689.582	1402.85	1539.21	1257.14	1972.62	2444.32	1900.86	1439.29		2787.27	1836.72	1528.9	1396.7	3174.21	1364.88	993.264	1115.17	2077.77
P25325	P25325	THTM_HUMAN	MPST	3-mercaptopyruvate sulfurtransferase			286.3	412.498		284.76			804.917			176.018						285.07		324.966
P25398	P25398	RS12_HUMAN	RPS12	40S ribosomal protein S12			1922.22	1824.7		2586.15	144.957	814.215	2180.92	499.125		1383.67	522.137		1026.72	708.017	1120.7	375.129	1594.56	1720.87
P25685	P25685	DNJB1_HUMAN	DNAJB1	DnaJ homolog subfamily B member 1			553.789	870.387		361.975			178.532	1608.96				228.293	869.672		240.864		428.459	410.792
P25705	P25705	ATPA_HUMAN	ATP5F1A	ATP synthase subunit alpha, mitochondrial	11824	1485.17	6135.94	12680.6	2307.66	5173.24	7237.38	7531.28	6379.88	7470.92		5214.34	5831.64	9573.92	3517.73	2304.38	11855	15703.5	4944.82	5789.93
P25786	P25786	PSA1_HUMAN	PSMA1	Proteasome subunit alpha type-1	1271.35	576.054	1630.34	2719.93	707.381	2112.59	1244.89	1105.68	2181.9	1035.33		1709.67	1618.18	829.746	1751.04	1840.92	1383.98	789.533	2356.23	2235.37
P25787	P25787	PSA2_HUMAN	PSMA2	Proteasome subunit alpha type-2	885.415	471.433	1570.92	1863.42	409.497	1648.57		1046.04	1340.54	1112.87		1698.03	1227.5	721.384	1196.07	1590.14	1268.63	452.793	1216.89	1683.81
P25788	P25788	PSA3_HUMAN	PSMA3	Proteasome subunit alpha type-3	499.731	1300.3	1326.88	2254.86	1276.9	1520.93	196.18	561.938	1027.58	968.257		2074.58	1388.62	533.635	1300.9	1407.29	1007.17	336.078	1120.2	1036.79
P25789	P25789	PSA4_HUMAN	PSMA4	Proteasome subunit alpha type-4	1502.82	1086.81	2415.37	3612.74	1624.22	2593.41	1605.17	1151.19	2076.12	1558.43		2495.03	1805.79	1290.58	1888.23	2055.96	1722.9	769.323	1879.71	2895.72
P26006	P26006	ITA3_HUMAN	ITGA3	Integrin alpha-3			269.15	477.882			705.695	1525.23	508.332				479.251		583.334	629.295	475.409	432.962	469.014	256.726
P26038	P26038	MOES_HUMAN	MSN	Moesin	1626.71	927.062	7073.37	6558.86	2533	5777.39	2382.72	1953.54	7338.73	2151.51		5844.5	1983.95	1193.45	5623.03	5796.14	5018.79	1146.16	5334.93	3899.79
P26196	P26196	DDX6_HUMAN	DDX6	Probable ATP-dependent RNA helicase DDX6			770.657	331.055		363.585			482.339	114.662		200.614	665.76		401.969		199.593		203.736	243.926
P26373	P26373	RL13_HUMAN	RPL13	60S ribosomal protein L13	3438.91	671.537	3889.66	3442.2	1265.98	3958.7	1549.12	5185.92	3586.35	1627.72		3955.47	3410.46	3170.14	4883.07	2192.3	4036.08	1597.07	5450.6	4278.77
P26440	P26440	IVD_HUMAN	IVD	Isovaleryl-CoA dehydrogenase, mitochondrial	225.967		197.242	1810		196.951		226.591				384.794		641.154			429.21	910.385		
P26583	P26583;P09429	HMGB2_HUMAN	HMGB2	High mobility group protein B2			926.713	680.624		1215.4	834.636	599.741	887.618			1044.5			1410.08		492.863		1013.16	707.973
P26599	P26599;O95758	PTBP1_HUMAN	PTBP1	Polypyrimidine tract-binding protein 1	1430.59	1231.62	2345.29	2344.29		2376.18	1498.49	2561.38	2587.36	2514.02		2114.74	2875.98	2693.77	2652.91		3283.46	1118.97	2060	2515.49
P26639	P26639	SYTC_HUMAN	TARS1	Threonine--tRNA ligase 1, cytoplasmic	494.79	564.633	731.7	844.471		709.524			600.923			529.94			514.389	1101.27	466.977	143.977	533.088	702.714
P26640	P26640	SYVC_HUMAN	VARS1	Valine--tRNA ligase			433.977	459.884		339.465		481.094	477.667			659.248			407.765	402.304	303.541		427.465	530.182
P26641	P26641	EF1G_HUMAN	EEF1G	Elongation factor 1-gamma	1094.77	731.018	4299.78	2853.09		4147.14	1331.24	1698.19	3887.8	999.619		2695.26	1121.93	1110.39	1789.88	2520.75	1855.23	222.958	2504.44	3138.16
P26885	P26885	FKBP2_HUMAN	FKBP2	Peptidyl-prolyl cis-trans isomerase FKBP2	829.921		244.36	1239.86	746.245		1567.59	504.891	327.671	571.871				553.161	312.513		1345.62	837.756	327.856	555.585
P27105	P27105	STOM_HUMAN	STOM	Stomatin	477.11			286.233		304.935	2224.24		113.99	916.83				263.305				371.185	706.299	201.549
P27144	P27144	KAD4_HUMAN	AK4	Adenylate kinase 4, mitochondrial				1976.2																
P27348	P27348	1433T_HUMAN	YWHAQ	14-3-3 protein theta	433.9		774.659	654.525		922.757	754.562	355.638	501.021	292.867		610.685			398.468	189.207	778.957	486.783	806.722	492.37
P27361	P27361	MK03_HUMAN	MAPK3	Mitogen-activated protein kinase 3			138.89	67.7672		68.7906						202.945				385.644	243.274			
P27482	P27482	CALL3_HUMAN	CALML3	Calmodulin-like protein 3		1371.67	218.389	278.465	893.367	334.575	350.85	357.934	362.63			382.425	266.488		434.149	519.266	316.824	503.37	619.91	429.22
P27635	Q96L21;P27635	RL10_HUMAN	RPL10	60S ribosomal protein L10	874.367		1448.84	1280.71		1506.55		1581.26	1466.88	422.953		1479.96	618.344	960.849	1840.25	1226.51	1533.74	323.099	2139.24	1615.13
P27694	P27694	RFA1_HUMAN	RPA1	Replication protein A 70 kDa DNA-binding subunit	132.654		355.314	392.896		549.536			286.369			368.717			544.236		129.252			391.271
P27695	P27695	APEX1_HUMAN	APEX1	DNA-(apurinic or apyrimidinic site) endonuclease			321.073	389.101		890.748	1519.06		362.288			195.994		650.372	547.881		283.749		355.166	302.597
P27707	P27707	DCK_HUMAN	DCK	Deoxycytidine kinase			222.432			411.293			257.173										113.705	
P27708	P27708	PYR1_HUMAN	CAD	CAD protein	493.373		497.441	429.984		506.495			449.753	523.461		660.353	203.899		570.735	695.385	339.008		694.485	682.286
P27797	P27797	CALR_HUMAN	CALR	Calreticulin	4773.15	824.272	2565.02	2502.1	2586.31	4601.05	4025.09	5344.29	4280.74	5770.12		1735.21	4375.26	6343.73	2621.63	3284.64	4109.85	5906.8	2363.46	4824.5
P27816	P27816	MAP4_HUMAN	MAP4	Microtubule-associated protein 4			1936.76	1523.49		1624.57		1114.93	1948.55	664.504		1472.19	805.283	614.795	1635.43	1351.82	1769.02	323.864	1821.26	1728.99
P27824	P27824	CALX_HUMAN	CANX	Calnexin	2508.44		1619.28	1762.45		2230.6	3419.67	2148.97	2533.21	3186.66		1179.07	2281.87	2550.35	1162.44	576.606	2570.87	3328.26	1581.83	1274.26
P28062	P28062	PSB8_HUMAN	PSMB8	Proteasome subunit beta type-8			310.778	701.801		339.549		894.721	613.773	415.008		515.551	537.228	50.4042	408.882	544.212	330.929	452.526	157.484	801.925
P28066	P28066	PSA5_HUMAN	PSMA5	Proteasome subunit alpha type-5	676.3	552.194	694.075	1160.65	714.729	1106.37	356.393	597.617	1186.42	820.837		834.139	824.193	564.347	892.29	1656.26	644.388	426.393	806.442	1392
P28070	P28070	PSB4_HUMAN	PSMB4	Proteasome subunit beta type-4	228.372	992.179	659.953	855.046		787.689	260.769	722.804	756.367	844.965		587.671	221.843	913.24	966.375	1069.66	740.561	195.024	683.784	916.681
P28072	P28072	PSB6_HUMAN	PSMB6	Proteasome subunit beta type-6	962.497	1145.19	2216.7	3220.38	904.497	1510.98	969.8	1019.17	2178.82	812.916		1977.62	2029.4	797.281	2341.24	1658.23	1685.24	631.357	1779.62	1937.09
P28074	P28074	PSB5_HUMAN	PSMB5	Proteasome subunit beta type-5	926.314		891.195	807.647	459.699	885.08		638.474	721.04	405.439		936.792	624.143	385.646	761.69	732.734	563.6	297.002	754.39	903.595
P28161	P28161	GSTM2_HUMAN	GSTM2	Glutathione S-transferase Mu 2			546.542	563.053		594.516				460.669		185.757			723.559	912.317	595.377		567.727	743.201
P28288	P28288	ABCD3_HUMAN	ABCD3	ATP-binding cassette sub-family D member 3			247.837				214.907	432.058	268.583					911.746			356.363	221.319	162.826	
P28290	P28290	ITPI2_HUMAN	ITPRID2	Protein ITPRID2				253.493								530.93	495.413	815.152				375.017		
P28331	P28331	NDUS1_HUMAN	NDUFS1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial	954.127		331.063	747.48		314.532	425.176	539.721	308.074	1295.74		376.373	735.505	753.16			482.28	1215.41	250.15	230.468
P28340	P28340	DPOD1_HUMAN	POLD1	DNA polymerase delta catalytic subunit	422.08		1930.68	1619.94		1560.28			1354.65			378.337		504.407	1406.34	842.214	740.34	283.511	2011.08	1770.31
P28482	P28482	MK01_HUMAN	MAPK1	Mitogen-activated protein kinase 1			624.432	847.302		637.995			910.227			1205.93			660.205		682.844		1169.63	817.054
P28838	P28838	AMPL_HUMAN	LAP3	Cytosol aminopeptidase	917.051	221.627	1159.26	1560.79		1198.28	893.214	1389.43	1060.68	637.297		898.869	180.787	532.832	616.244	881.287	827.012	436.831	525.362	668.723
P29144	P29144	TPP2_HUMAN	TPP2	Tripeptidyl-peptidase 2	276.379		328.251			360.633	259.166	552.758	335.577			176.86			176.757		314.29			648.535
P29218	P29218	IMPA1_HUMAN	IMPA1	Inositol monophosphatase 1	501.807		494.969	340.959		537.852			621.3			637.706			537.42	901.271	493.818	159.497	482.168	640.968
P29317	P29317	EPHA2_HUMAN	EPHA2	Ephrin type-A receptor 2	110.017		168.088																279.076	
