Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-111_4034.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-112_4035.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-113_4037.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-114_4038.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-115_4040.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-116_4041.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-117_4043.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-118_4044.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-123_4046.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-124_4047.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-125_4049.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-126_4050.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-128_4052.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-129_4053.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-130_4055.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-131_4056.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-99_3909.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-100_3911.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-101_3913.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-102_3915.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-103_3917.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-104_3919.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-198_3921.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-199_3923.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-200_3925.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-201_3927.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-202_3929.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-203_3931.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-204_3935.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-205_3937.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-206_3939.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-207_3941.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-208_3943.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-209_3945.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-26_3890.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-27_3891.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-28_3892.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-29_3894.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-30_3895.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-31_3896.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-32_3898.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-33_3899.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-34_3900.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-35_3902.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-36_3903.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-37_3905.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-16_3870.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-17_3871.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-18_3872.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-13_3866.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-14_3867.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-15_3868.d
Q12765	Q12765	SCRN1_HUMAN	SCRN1	Secernin-1		8084.23		6387.48	7841.84		11733.4	7131.5	6927.58	8977.53		11123.6	7479.89			8494.76	10713.6	13433.4	15255			5651.26	7998	2705.33			11487.9	5514.17	12720.5	8310.2		18921.2					6217.7	7147.54	9438.64		6302.54		11213	7723.13	14203.4	8660.96	5211.16	14945.3	8728.76	10771.9	11351.1	7935.99
Q12768	Q12768	WASC5_HUMAN	WASHC5	WASH complex subunit 5					2304.33		3334.44			1140.42		810.067							6929.23								3271.19			7165.33		9898.55			9551.62		3349.69	9089.98			5294.26		2029.84		1826.98		5505.93	1099.65	1425.66	1237.41	1321.62	1246.55
Q12769	Q12769	NU160_HUMAN	NUP160	Nuclear pore complex protein Nup160					3172.83		3072.84	2358.6		2003.81	1818.32		2603.92			4586.41						3005.18	3042.62	4813.15	3867.09		962.726	8812.54	7465.44			4374.9		2081.97							4384.66	3859.9				3017.11	3121.58	1363.63	2712.9	1408.79	1896.6	1441.2
Q12770	Q12770	SCAP_HUMAN	SCAP	Sterol regulatory element-binding protein cleavage-activating protein																																																468.286	565.52	574.671	485.514	573.432
Q12772	Q12772	SRBP2_HUMAN	SREBF2	Sterol regulatory element-binding protein 2																																																444.254	622.826	436.59	373.272	437.01
Q12774	Q12774	ARHG5_HUMAN	ARHGEF5	Rho guanine nucleotide exchange factor 5																																																247.807	166.589	215.595	236.196	264.278
Q12778	A8MYZ6;Q12778;P98177	FOXO1_HUMAN	FOXO1	Forkhead box protein O1																																																107.824	172.669	250.892	200.648	379.538
Q12788	Q12788	TBL3_HUMAN	TBL3	Transducin beta-like protein 3							8295.5				4475.87	1598.05				3707.69				1126.01						2335.36	18503.7		4016.07								6636.18	1183.07		6450.82	2583.91		3311.68			1170.03	3491.69	1027.19	1962.03	1347.67	1700.88	1444.71
Q12789	Q12789	TF3C1_HUMAN	GTF3C1	General transcription factor 3C polypeptide 1													2433.8																		3122.49											2522.73						939.668	1485.36	1099.39	1182.16	1200.56
Q12791	Q12791	KCMA1_HUMAN	KCNMA1	Calcium-activated potassium channel subunit alpha-1																		1670.57																														1908.34	2521.9	2319.08	2261.01	2340.74
Q12792	Q6IBS0;Q12792	TWF1_HUMAN	TWF1	Twinfilin-1	4661.52	5639.74		4061.21	5552.32		6398.21	4383.07	5245.38	6544.98	2351.18	6817.13	4434.39			5946.73		5593.28	12753.7	7091.72	4221.71	9243.38	4923.77	4309.52			3688.48	11977.2	4246.25	5280.71	2181.33	3257.94	5078.76		3463.37	2201.17	3753.02	5268.32	4882.9	4751.78	5470.77		3039.19	4383.65	7339.21	4082.57	4783.57	5561.56	5522.08	4129.71	4626.06	4857.94
Q12797	Q12797	ASPH_HUMAN	ASPH	Aspartyl/asparaginyl beta-hydroxylase	2724.8	3255.83		7985.5	5058.88	4732.7	4783.79	5163.46		3841.38	6016.4	6540.61	4828.22			2832.5			3675.28	6548.42	4042.94	5993.78	6691.55	5063.57	5510.64	4189.13	6259.57	5233.83	5573.59	5407.4		4091.87	7009.92	8582.07		4022.2	5808.75	1107.63	7860.02	4279.6	5192.13	5990.13	4230.44	4556.23	6466.31	4925.04	6543.94	6700.24	7411.48	4726.13	5745.13	4385.54
Q12800	Q9NZI7;Q12800	TFCP2_HUMAN	TFCP2	Alpha-globin transcription factor CP2				1255.86						707.685						2863.1																													400.952		1880.84	475.464	1013.19	564.617	538.979	448.777
Q12802	Q12802	AKP13_HUMAN	AKAP13	A-kinase anchor protein 13							2255.79	1347.61				970.679	1366.11			1843.88											3530.89																				6719.97	2051.42	2622.01	2199.55	2049.36	2422.95
Q12805	Q12805	FBLN3_HUMAN	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1																																														2107.69		383.344	401.93	770.994	753.628	793.096
Q12816	Q12816	TROP_HUMAN	TRO	Trophinin																																														11043		350.873	838.878	476.585	474.119	513.984
Q12824	Q12824	SNF5_HUMAN	SMARCB1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1				2597.32			1734.1			939.482		1337.88								1931.57			2027.51	2165.61	5279.02			2233.87	1834.12			2925.58		2349.75						1706.77	2459.14	1219.82						338.844	515.316	388.175	491.144	365.234
Q12830	Q12830	BPTF_HUMAN	BPTF	Nucleosome-remodeling factor subunit BPTF																								11480.3																								1053.79	1519	1168.39	1345.06	1440.87
Q12834	Q12834	CDC20_HUMAN	CDC20	Cell division cycle protein 20 homolog																																																109.304	120.245	357.356	172.548	175.363
Q12840	Q12840	KIF5A_HUMAN	KIF5A	Kinesin heavy chain isoform 5A																																																228.857	595.278	533.783	343.231	657.338
Q12841	Q12841	FSTL1_HUMAN	FSTL1	Follistatin-related protein 1		2064.44				5030.63					3322.5		2611.15			1645.38		1066.26	1001.42																												2398.31	3234.13	2095.28	5371.15	3903.78	5269.38
Q12846	Q12846	STX4_HUMAN	STX4	Syntaxin-4										9422.88																																					8402.53	1954.36	2454.37	2274.51	2089.72	2240.84
Q12849	Q12849	GRSF1_HUMAN	GRSF1	G-rich sequence factor 1	4665.51			2889.63	5601.91		3529.85	6378.3		5759.52	6326.72	4527.46	4101.78			6465.65		2599.47	4393.09	3856.44		4831.77			7295.13	2060.02			2299.82			3652.11		3573.39	3151.62	4793.57			4408.72		3905.52							7765.84	8603.2	7459.68	7021.35	8062.87
Q12851	Q12851	M4K2_HUMAN	MAP4K2	Mitogen-activated protein kinase kinase kinase kinase 2																																															1877.21	388.999	593.325	395.673	374.518	457.269
Q12872	Q12872	SFSWA_HUMAN	SFSWAP	Splicing factor, suppressor of white-apricot homolog													2542.46																											4749.62								2124.14	2323.32	2559.04	2136.48	2944.06
Q12873	Q12873	CHD3_HUMAN	CHD3	Chromodomain-helicase-DNA-binding protein 3																						1855.1																				1488.62						395.642	650.716	328.698	404.612	356.202
Q12874	Q12874	SF3A3_HUMAN	SF3A3	Splicing factor 3A subunit 3				4563.45	4320.38		2510.08	1836.22		1763.69	4292.18	2186.9	2326.03			3588.24			4782.1	6753.83	2064.83	5661.64	4929.67	2827.43	3164.55	3960.14	1956.89	1750.51	3797.51	2647.79	7617.39	3339.74		2343.3	5803.38	3365.36	2363.78	1291.67	2791.72	3561.48	2555.9		3046.83	5101.44	3419.94	2727.64	5804.61	3935.94	4242.36	4420.95	3662.21	4856.45
Q12882	Q12882	DPYD_HUMAN	DPYD	Dihydropyrimidine dehydrogenase [NADP(+)]																																																826.026	669.381	842.623	923.942	962.13
Q12884	Q12884	SEPR_HUMAN	FAP	Prolyl endopeptidase FAP										1682.18	4890.23					1624.79	26617.7		2133.06			1123.84	3965.04	3231.4			5100.09	2354.83				1620.84				5830.98	4278.92								2884.04		1847.61	1470.21	2135.96	2776.88	2785.28	2936.65
Q12888	Q12888	TP53B_HUMAN	TP53BP1	TP53-binding protein 1				3526.38	2653.04		2880.23	2440.47		5123.27	11802.5	4389.3	4613.11			6223.42				5798.14	5034.33	4923.64	5641.17	11174.6		7246.02	4439.81	12432.9	6858.76	5656.85		3455.05		8031.48	5674.45			6146.45	3562.16	5545.04	5421.81	1812.42	5542.9	5914.53	4327.91	4859.35	5517.49	2240.59	3759.85	2627.39	2918.5	2842.87
Q12893	Q12893	TM115_HUMAN	TMEM115	Transmembrane protein 115																																																386.876	791.827	542.114	729.062	530.469
Q12899	Q12899	TRI26_HUMAN	TRIM26	Tripartite motif-containing protein 26				1932.33			2021.05					1581.8																												693.679					1642.07		1954.05	640.126	1023.87	692.949	680.889	730.9
Q12904	Q12904	AIMP1_HUMAN	AIMP1	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1		4769.63		2280.03	4023.48		2662.48	3206.71	3002.87	3869.72	1607.44	3357.46	3331.11			3923.81		746.207	5094.25			2784.95	4778.81	5038.95			3825.04	2187.4	1722.85	1614.48		2330.37	5351.87		8922.17		1230.65	2733.17	2871.54	2500.18	3218.19		6679.5	2318.43	4100.73	5786.89	4747.06	2931.98	4264.97	3348.38	3016.13	3487.04
Q12905	Q12905	ILF2_HUMAN	ILF2	Interleukin enhancer-binding factor 2				4587.17	7204.93		3996.87	5118.33		7046.47	6898.66	7093.89	6787.07			5301.77		1268.1	11218	14115.6		8558.22	9440.98	4060.31	6409.03	8504.97	7417.36	11914.4	5600.35	6433.91		6014.9	6999.07	7344.5	5823.97	10959.5	2577.34	7848.78	3477.7	11371	7935.56	5282.11	11968.3	5063.57	5561.4	4929.35	17269.5	5855.7	8237.92	6933.79	6799.65	6282.95
Q12906	Q12906;Q96SI9	ILF3_HUMAN	ILF3	Interleukin enhancer-binding factor 3				23121.7	24494.8		21432.5	22938.3		23022.6	30034.1	25055.2	24930.6	11558.2		19690.5		10652.5	21529.5	25484.4	26562.1	23259.6	24146.7	17868.5	25828.8	30644.2	25868.3	27482.8	24094.1	25353.4	23196.8	23971.3		30405.6	26915.6	36818.9	6711.47	25256.7	22397.1	21192.8	22886.5	27252	27514.6	21144.9	24739.8	24554.1	28101.8	43285	38235	40849.6	45280.7	41518.5
Q12907	Q12907	LMAN2_HUMAN	LMAN2	Vesicular integral-membrane protein VIP36	8963.06		2279.04	11216.1	4040.83	5466.59	8395.02	7028.23	9166.39	8634	11283.3	8773.75	6071.24		7741.31	5570.31		11265.5	5809.92	4664.09	6176.5	4971.6	4795.73	5911.02	8888.91	10828.8	5104.04	5983.75	6863.91	7345.05	3137.26	4825.74		8907.94	4340.6	6888.44	4473.08		8211.44	5077.21	6803.13	6956.09	4263.04	6644.25	5506.73	4922.74	19688.5	14342.5	7575.25	13363.8	15406.8	10573.3
Q12913	Q12913	PTPRJ_HUMAN	PTPRJ	Receptor-type tyrosine-protein phosphatase eta																																														5569.39	8961.25	5448.85	7243.13	4481	4131.11	4854.36
Q12923	Q12923	PTN13_HUMAN	PTPN13	Tyrosine-protein phosphatase non-receptor type 13				953.697																																												229.592	227.732	136.639	132.231	151.585
Q12929	Q12929	EPS8_HUMAN	EPS8	Epidermal growth factor receptor kinase substrate 8					5895.51					2198.18		2400.41									10369.2			8831.89			5322.76												16983.3					3920.58		9239.06		2016.75	2541.54	1558.35	1651.45	1518.83
Q12931	Q12931	TRAP1_HUMAN	TRAP1	Heat shock protein 75 kDa, mitochondrial	61615.8	59742.6	65180.2	69211.5	77364.9	37651	61055.5	88261.1	110172	61857.8	81074	98702.3	68373.4	35681.7	72582	83422.2	43145.5	44178	90607.5	110500	31063.5	73530.1	83528.9	76493.3	85125.4	128555	79898.4	89413.1	101972	89733.5	61299.6	67232	66479.4	101714	55851	87345.5	42664.2	57863.9	88870.1	90999.6	113434	68928.9	96008.1	79735.6	70303.8	97838.3	99167.7	72377.6	109425	94793.5	106579	95522.5
Q12933	Q12933	TRAF2_HUMAN	TRAF2	TNF receptor-associated factor 2										1401.78																																						648.49	628.894	738.529	443.059	806.744
Q12955	Q12955	ANK3_HUMAN	ANK3	Ankyrin-3		1760.77						2430.19				1214.18						953.362		693.897		2762.2						15853.7									1367.41			3596.16			2872.42				4069.48	1358.12	2143.04	1727.55	1654.95	1906.44
Q12959	Q12959	DLG1_HUMAN	DLG1	Disks large homolog 1		2557.61			2174.48		3059.35			2918.93	3476.68	2219	2838.19			2709.51		4409.45			1301.63	3426.76					3946.93	1508.32				3049.08		1228.9							9435.75	3491.37				2835.74	4361.39	5196.24	4840.98	6180.56	5701.58	5629.87
Q12962	Q12962	TAF10_HUMAN	TAF10	Transcription initiation factor TFIID subunit 10																								1158.96																								572.857	834.95	690.566	423.485	763.939
Q12965	Q12965	MYO1E_HUMAN	MYO1E	Unconventional myosin-Ie	2095.55	2164.31		3009.33	3171.76		2951.15	2405.86	2212.07	2811.74	1954.19	1884.62	2177.5			2527.68	1518.87	4089.89	3445.01		2538.51	3193.01	2794.19	4917.11		2542.77	2277.11	2945.15	2361.4	2326.47		2446.81	8494.74				3911.95	4542.71	2608.17	3490.6	2811.39			3994.16	3078.04	1770.62	2397.95	2912.17	3780.31	3010.82	2807.55	3336.6
Q12972	Q12972	PP1R8_HUMAN	PPP1R8	Nuclear inhibitor of protein phosphatase 1				6093.53			4202.31			3265.71	2854.21																4264.69																		2808.91		19759.3	662.716	666.181	647.955	570.482	637.853
Q12974	Q93096;Q12974	TP4A2_HUMAN	PTP4A2	Protein tyrosine phosphatase type IVA 2								4059.72				1676.06															3184.24	2531.96				1364.01				3221.62	2186.29			2008.1					1215.92			1435.76	1478.86	1288.91	1225.9	1386.35
Q12979	Q12979	ABR_HUMAN	ABR	Active breakpoint cluster region-related protein								1539.52								3102.71						1176.21		4126.52			3044.34		2328.46															1850.99			739.395	1460.84	1980.16	1826.84	1892.47	1875.84
Q12980	Q12980	NPRL3_HUMAN	NPRL3	GATOR complex protein NPRL3																																																141.458	580.1	230.333	193.864	272.664
Q12981	Q12981	SEC20_HUMAN	BNIP1	Vesicle transport protein SEC20												1500.93				1104.32					3218.02	2175.68		2236.27	5073.3	3112.8											1653.68	1854.39					4283.54					2374.78	3027.8	2951.11	3039.41	3026.67
Q12982	Q12982	BNIP2_HUMAN	BNIP2	BCL2/adenovirus E1B 19 kDa protein-interacting protein 2																																																667.785	623.35	521.534	427.383	557.693
Q12983	Q12983	BNIP3_HUMAN	BNIP3	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3																																																440.907	613.3	601.169	591.308	562.417
Q12986	Q12986	NFX1_HUMAN	NFX1	Transcriptional repressor NF-X1																																																419.121	594.977	463.766	289.436	403.809
Q12996	Q12996	CSTF3_HUMAN	CSTF3	Cleavage stimulation factor subunit 3				6246.27			11801.6			8685.88		4820.29	50200.1			1520.93						1172.18	8961.23		33323.6	4609.67					904.702	2980.63		14323.2							5373.38			4994.65	14482.6			6336.48	9361.45	7103.12	7452.27	7591.82
Q13009	Q13009	TIAM1_HUMAN	TIAM1	Rho guanine nucleotide exchange factor TIAM1																																																2052.43	3476.47	2186.54	2268.14	2580.61
Q13011	Q13011	ECH1_HUMAN	ECH1	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial	5407.44						3775.67		2186.02		2371.17	1877.83	1729.62		178436	2183.8	77761.1	29431.6	55233.2	2940.76			3001.86	6289.42	3397.87	6039.85	2087.99	6943.8	4752.92	18696.7	53612.4	1532.09		2378.67	6484.82	4502.57		2702.24	3379.01		2435.79	4231.61	2904.13	9718.19	6744.42	3870.28	4538.2	4462.31	5183.48	4537.02	5036.04	4190.79
Q13017	Q13017	RHG05_HUMAN	ARHGAP5	Rho GTPase-activating protein 5																																														1270.64	2777.28	679.578	931.794	583.818	553.313	701.292
Q13029	Q13029	PRDM2_HUMAN	PRDM2	PR domain zinc finger protein 2																																																254.118	426.071	257.196	332.741	266.392
Q13033	Q13033	STRN3_HUMAN	STRN3	Striatin-3				1371.05				944.46		1649.01			1409.89					1085.39		5915.57		1644.53	1622.6				1951.03			6294.99					8840.59		1619.01	4255.16	1839.73	1213.1	2342.19		3238.87	3580.41		1265.24	2969.55	1959.14	2436.52	2647.81	2341.71	2469.01
Q13042	Q13042	CDC16_HUMAN	CDC16	Cell division cycle protein 16 homolog										946.989																							3610.77															1306.93	1848.83	1380.64	1336.57	1537.17
Q13043	Q13043	STK4_HUMAN	STK4	Serine/threonine-protein kinase 4							3296.12															2877.39					2969.82					986.836											2152.71					1137.81	1443.07	1486.48	1246.5	1521.46
Q13045	Q13045	FLII_HUMAN	FLII	Protein flightless-1 homolog	4359.27	4125.74		4221.39	2618.03		2323.58	3776.16	5696.59	2858.45	1090.83	2736.31	2788.24			2919.45		2336.08	6415.01	5113.3		4600.78	6342.4	2873.03			4803.54	5421.11	4990.74	2331.36	3375.89	4504.74			11743.3		6607.4	3889.19	4641.58	6347.11	3092.85		2541.84	5440.23	3390.82	3867.35	5692.24	3345.5	5310.34	4591.53	4215.16	4632.84
Q13049	Q13049	TRI32_HUMAN	TRIM32	E3 ubiquitin-protein ligase TRIM32				7053.42			4010.12					1157.71										4787.84																										635.306	1100.69	931.137	763.141	822.794
Q13057	Q13057	COASY_HUMAN	COASY	Bifunctional coenzyme A synthase		5091.3					2782.52	4618.41		5744.47		703.29	3633.57			2116.37		13041.2	1508.61																										4950.25		5668.13	1451.76	1183.19	1234.13	1209.9	983.921
Q13077	Q13077	TRAF1_HUMAN	TRAF1	TNF receptor-associated factor 1																2006.44																																201.538				164.787
Q13084	Q13084	RM28_HUMAN	MRPL28	39S ribosomal protein L28, mitochondrial											2254.09	2318.03				7144.27				2275.9				1212.5				3354.21	2361.83							1609.54			1427.07				1582.87	4294.15			3545.44	2574.18	3436.13	3718.23	3442.14	4075.45
Q13085	Q13085	ACACA_HUMAN	ACACA	Acetyl-CoA carboxylase 1				2915.09	7332.06		2836.37	2335.21	7044.69	7355.17	3600.75	2770.55	6359.4			5799.11		3011.37	2154.55	6244.61		3776.46	76047.1	1424.11		1893.63	3270.83	1917.57	3528.81	3197.36		4262.69		10671.1	5537.05		10140		2868	7883.15	1735.94		4844.22	5358.31	5546.28	5561.16	33882.2	1519.42	2375.94	1939.34	1909.26	2145.67
Q13098	Q13098	CSN1_HUMAN	GPS1	COP9 signalosome complex subunit 1		4142.31		2330.92	2606.19		2656.25	2720.88		3353.7		3734.54	2912.59			2845.98		3003.42	3354.57			6211.84	2931.76				4073.6	2532.41	4325.01			2470.67					3506.94	8715.97		6296.73	2876.71				6547.14	4163.81	3372.82	4003.17	4615.54	3549.91	4130.47	4127.88
Q13099	Q13099	IFT88_HUMAN	IFT88	Intraflagellar transport protein 88 homolog																																																1811.61	2389.67	1842.59	1273.65	1828.92
Q13103	Q13103	SPP24_HUMAN	SPP2	Secreted phosphoprotein 24																																																554.265	662.275	563.744	458.66	534.492
Q13107	Q13107	UBP4_HUMAN	USP4	Ubiquitin carboxyl-terminal hydrolase 4																			1009.71					1757.43			770.16			6659.54							5814.76						18838.8		2374.33			1036.31	1435.28	1059.28	966.656	1064.39
Q13112	Q13112	CAF1B_HUMAN	CHAF1B	Chromatin assembly factor 1 subunit B																																																76.3369	161.597	157.49	126.316	225.383
Q13114	Q13114	TRAF3_HUMAN	TRAF3	TNF receptor-associated factor 3	848.745																																															222.514	320.736	319.852	200.3	321.762
Q13123	Q13123	RED_HUMAN	IK	Protein Red				1689.53	3436.67		1982.41	1675.78		2673.51	3668.49	1981.76				3287.62		5173.36	4557.58	2925.57		3536.34		6661.4	4228.55		2941.81			2987.42		4293.12		11561.8				1648.59	1719.03	894.558	2234	3283.03	1859.89	2375.62	2572.34	2588.76	3090.01	2649.15	2643.37	2756.03	2496.36	2743.09
Q13126	Q13126	MTAP_HUMAN	MTAP	S-methyl-5'-thioadenosine phosphorylase		4106.89		4849.31	5643.25		4664.25	2888.13		5502.05		4213.9	3771.09			5343.31		6123.05	3144.54	2873.26		5059.14	8705	3631.42			4787.49			4433.6		5627.09					3139.11	3792.1	5507.15	4887.4	2782.07	4020.72	5492.88	5613.97	7387.56	4126.06		2792.44	2518.53	2920.45	2458.9	3281.18
Q13131	Q13131	AAPK1_HUMAN	PRKAA1	5'-AMP-activated protein kinase catalytic subunit alpha-1		1748.24		1932			3572.04	4672.12	2129.45	1620.66		1412.9	3379.89			3213.83		9264.28	2816.8			1033.46	4201.94	3324.72		2645.6	4555.91	5083.82	5800.16	5656.53		3501.58					3489.42	3011.61	3104.77	2851.87	2277.44		3978.51	7612.2	5397.01	1442.82	3522.16	4459.39	6799.87	5334.96	4546.05	5450.04
Q13136	Q13136	LIPA1_HUMAN	PPFIA1	Liprin-alpha-1							3466.93			1397.67			721.118					779.609									1558.19	5126.24				1406.75							1364.28	1942.11	859.052					1296.77		999.107	1314.56	1096.43	928.825	1331.72
Q13137	Q13137	CACO2_HUMAN	CALCOCO2	Calcium-binding and coiled-coil domain-containing protein 2																																																904.77	1136.72	944.074	721.527	938.664
Q13144	Q13144	EI2BE_HUMAN	EIF2B5	Translation initiation factor eIF-2B subunit epsilon					5467.48		1652.59						1110.72			4638.44		1117.51				3089.44		2231.28		1681.09	1298.96												2259.83		4607.83		2046.46	1236.83	3422.8	2673.51		2370.79	3124.22	2202.06	2392.97	2121.14
