Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_control_75ng_3-2-2024_Slot2-13_13150.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_control_75ng_3-2-2024_Slot2-14_13151.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_control_75ng_3-2-2024_Slot2-15_13152.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_infected_75ng_3-2-2024_Slot2-16_13153.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_infected_75ng_3-2-2024_Slot2-17_13154.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_infected_75ng_3-2-2024_Slot2-18_13155.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_w_virus_75ng_3-2-2024_Slot2-19_13156.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_w_virus_75ng_3-3-2024_Slot2-20_13157.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_w_virus_75ng_3-3-2024_Slot2-21_13158.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_control_75ng_3-2-2024_Slot1-02_13141.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_control_75ng_3-2-2024_Slot1-03_13142.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_control_75ng_3-2-2024_Slot2-01_13140.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_infected_75ng_3-2-2024_Slot1-04_13143.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_infected_75ng_3-2-2024_Slot1-05_13144.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_infected_75ng_3-2-2024_Slot1-06_13145.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_w_virus_75ng_3-2-2024_Slot1-07_13146.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_w_virus_75ng_3-2-2024_Slot1-08_13147.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_w_virus_75ng_3-2-2024_Slot1-09_13148.d
P06276	P06276	CHLE_HUMAN	BCHE	Cholinesterase	2526.97			3225.98					2837.05			3416.84						
P06280	P06280	AGAL_HUMAN	GLA	Alpha-galactosidase A	7460.61	7944.92	8047.91	5568.35	5646.08	5934.32	11728.5	17833.3	18937.4	20554.5	29956	4848.4	25466.3	24769.1	23699.3	22290.5	22164.7	25874.3
P06396	P06396;CONT|Q3SX14|GELS_BOVIN	GELS_HUMAN	GSN	Gelsolin	141248	126162	112461	108087	139617	134228	337232	284970	279580	823796	993911	111066	951535	1.04726e+06	899376	727410	785448	803326
P06400	P06400	RB_HUMAN	RB1	Retinoblastoma-associated protein	13076.1	12774.1	12790.4	15725.4	13676.1	13054.4	10511.8	11425.7	10589.5	20782	19180.2	21063.1	18327.5	20011	19605.5	20186.8	20136.5	20636.2
P06454	P06454	PTMA_HUMAN	PTMA	Prothymosin alpha		582.463		56.7996	1545.99	2094.61	23460.5	49427.8	58497.2	59829.3	79093.6		78087.4	73065.8	64454.1	72276	77738.8	70277.7
P06493	P06493	CDK1_HUMAN	CDK1	Cyclin-dependent kinase 1	16572.1	18364.3	15937.3	17830.5	17206	17277.3	22066.6	19798.9	20662.5	24128.7	25686	58809.1	24146.5	22570.4	24468.6	36340.1	34201.3	35491.7
P06576	P06576	ATPB_HUMAN	ATP5F1B	ATP synthase subunit beta, mitochondrial	468881	483592	457861	426464	439543	439482	502866	368827	391601	366604	462841	457925	433613	419496	396061	410799	489615	501747
P06681	P06681	CO2_HUMAN	C2	Complement C2	771.951		766.125		951.834	1399.32		911.598		3126.33	2665.52		3320.36	4353.57	4190.9	2802.6	2771.98	2529.69
P06702	P06702	S10A9_HUMAN	S100A9	Protein S100-A9	8798.41	10003	18906.9	23211.8	64356.2	10604.9	25715.3	26300.3	25624.9	11743.4	11815.9	2933.32	8162.09	11933.7	15632.7	15070.4	11270.4	14388.8
P06703	P06703	S10A6_HUMAN	S100A6	Protein S100-A6	61540.7	41949.5	75805.4	72618.7	94495.4	71578.2	2.6978e+06	4.05461e+06	4.06929e+06	809339	823645	56505.6	665626	898378	810655	706089	555116	735940
P06730	P06730	IF4E_HUMAN	EIF4E	Eukaryotic translation initiation factor 4E	126982	100757	102940	107978	118401	110913	111911	97623.6	91577.7	102110	138117	102285	139696	138625	111120	128179	133816	122343
P06733	P06733	ENOA_HUMAN	ENO1	Alpha-enolase	104471	85068.1	94933.9	88497.2	115570	94352.3	1.50968e+06	1.14128e+06	1.21494e+06	906147	1.26006e+06	130549	1.36688e+06	1.24532e+06	1.28845e+06	1.24045e+06	1.26114e+06	1.13293e+06
P06737	P06737	PYGL_HUMAN	PYGL	Glycogen phosphorylase, liver form	112281	112463	118357	134579	150701	139037	122208	103805	100602	86873.8	84948.8	54097.4	84055.1	77276.8	88092.6	79576.4	78476.5	73239.8
P06744	P06744	G6PI_HUMAN	GPI	Glucose-6-phosphate isomerase	148031	142855	146723	144459	153545	147754	137880	132690	130001	246210	266889	105550	254421	242313	250192	224941	258756	237414
P06746	P06746	DPOLB_HUMAN	POLB	DNA polymerase beta	9368.12	9875.37	9588.3	10442.2	9075.35	10585.9	12053.4	10234.1	9715.72	8440.06	7568.49	11834.5	7883.86	8638.76	7833.94	9702.21	8211.76	9194.49
P06748	P06748	NPM_HUMAN	NPM1	Nucleophosmin	91506.7	105047	113917	91526.9	95282.8	70711.1	516443	539988	530084	415070	432037	97636	394934	393860	372509	432158	409745	427127
P06753	P06753	TPM3_HUMAN	TPM3	Tropomyosin alpha-3 chain	47747.8	26456.8	35187.2	28935.1	37197.5	37347.4	497140	739123	627507	488557	362028	41492.1	375007	435078	391557	272443	336512	292820
P06756	P06756	ITAV_HUMAN	ITGAV	Integrin alpha-V	129496	120911	136210	106955	131555	122783	143948	193961	199515	21137.8	20442	60944.6	19307.6	21493	22535.9	18125.6	16848.2	16580.2
P06850	P06850	CRF_HUMAN	CRH	Corticoliberin				916.222	508.055	1089.12	3461.02	3221.41	2957.25			699.15						
P06858	P06858	LIPL_HUMAN	LPL	Lipoprotein lipase	2452.3	4198.21	2211.93	1642.75	4807.66	3274.75	1179.62					1446.04						
P06865	P06865	HEXA_HUMAN	HEXA	Beta-hexosaminidase subunit alpha	21686.1	22605	24623	30351.2	30474.8	33845.5	74873	82445.8	80129	20853.1	24195.9	9973.67	27723.2	23922.7	23733.2	31084.8	33041.9	32579
P07093	P07093	GDN_HUMAN	SERPINE2	Glia-derived nexin	11395.3	9647.53	9758.07	9466.77	12467.3	13361.2	9843.87	10899.2	10313.2	62337.6	72674.4	4414.78	67184.9	63812.3	64010.7	47456.3	54063.8	56965.7
P07099	P07099	HYEP_HUMAN	EPHX1	Epoxide hydrolase 1	89753.6	75715.8	74984	94188	81014.1	88525.2	84694.7	70469.7	72326.5	23845	26233.1	29052	27055.5	24756.8	27466.4	25678	26767.5	22426.8
P07108	P07108	ACBP_HUMAN	DBI	Acyl-CoA-binding protein	7887.71	3726.52	2714.63	4143.79	6142.71	4753.21	112095	165715	151963	34771.2	73278.2	4229.74	69398.4	52591.7	32574.1	79490.4	83487.6	77907.2
P07195	P07195	LDHB_HUMAN	LDHB	L-lactate dehydrogenase B chain	358808	327817	354967	390401	335078	397160	410970	443564	436463	447016	514471	358273	514070	491001	516555	476432	496008	467866
P07196	P07196	NFL_HUMAN	NEFL	Neurofilament light polypeptide	6604.84	6611.98	5774.98	4455.2	6509.51	4815.13	12018.5	10756	7874.5			9994.77		5878.52				
P07197	P07197	NFM_HUMAN	NEFM	Neurofilament medium polypeptide	4256	3688.21	3523.61	3100.82	3934.47	3762.97	7642.89	6746.63	8554			4129.93						
P07199	P07199	CENPB_HUMAN	CENPB	Major centromere autoantigen B	4004.7	3938.5	3690.67	4545.34	3942.71	3135.84	2830.32	5214.34	4479.3	5561.59	6116.15	6568.63	4961.14	4073.75	5420.31	5523.91	4923.76	5623.57
P07203	P07203	GPX1_HUMAN	GPX1	Glutathione peroxidase 1	73049.1	56207.7	62337.9	73878.8	74750.4	73970.6	73409.7	78677.8	78853.1	482832	522264	62597.6	421926	484214	426032	436873	422546	448142
P07204	P07204	TRBM_HUMAN	THBD	Thrombomodulin										6954.14	7085.26		6668.52	8891.03	6361.94	4089.7	4405.67	3608.48
P07205	P07205	PGK2_HUMAN	PGK2	Phosphoglycerate kinase 2	1043.56	3867.92	3203.34	690.976	3367.05	798.745	1992.07	2779.27	5012.29			1073.02						
P07225	P07225	PROS_HUMAN	PROS1	Vitamin K-dependent protein S		6080.72	3902.81	3943.66	3832.89		4504.77			100206	100834		90352.3	101487	108938	75072.5	85870.4	89492.8
P07237	P07237	PDIA1_HUMAN	P4HB	Protein disulfide-isomerase	922429	941526	887296	960483	896626	966943	812494	825388	801638	593527	615321	714758	609310	605742	593598	649276	647706	623098
P07305	P07305	H10_HUMAN	H1-0	Histone H1.0	6211.58	5781.31	7005.14	6090.16	6926.68	8729.87	103610	88453.7	76869.8	201615	212927	4667.73	239561	226388	241317	155720	147323	142567
P07311	P07311	ACYP1_HUMAN	ACYP1	Acylphosphatase-1	1737.57			1643.55	3097.76	2485.35	16384.5	40392.8	37756.4	16832.1	16896.9		19040	17135.8	17970.6	15945.9	16346.3	15951.2
P07316	P07316;P07315;P11844	CRGB_HUMAN	CRYGB	Gamma-crystallin B	43977.9	58220.6	66199.9		71679.7		65079.7	63702.8		37419.4			38332.9			33415.8	36512.8	
P07332	P07332	FES_HUMAN	FES	Tyrosine-protein kinase Fes/Fps	13033.4		12740	11578.4					12175.8	11752.8	10332.6		11414.5	10002	12645.4	12302	12431.7	12924.8
P07339	P07339	CATD_HUMAN	CTSD	Cathepsin D	401019	430963	486984	524379	475511	528128	824209	747110	699800	378730	368119	141719	333421	328317	368299	341230	353469	313657
P07355	A6NMY6;P07355	ANXA2_HUMAN	ANXA2	Annexin A2	2.06869e+06	2.00107e+06	2.34315e+06	2.043e+06	2.26568e+06	2.30892e+06	2.50649e+06	2.58165e+06	2.51392e+06	48652.8	36274.5	1.62895e+06	32195.9	37806.4	33768.1	41141.7	42684.4	41348.4
P07358	P07358	CO8B_HUMAN	C8B	Complement component C8 beta chain	4203.42	3013.76	6486.17	5078.65	11464.6	5863.36	5076.79	10146.8	8167.17			4837.74						
P07359	P07359	GP1BA_HUMAN	GP1BA	Platelet glycoprotein Ib alpha chain	280299		349893	311780	51002	342328				346814	467773	261356	349596	404671	354632	286382	307300	349040
P07384	P07384	CAN1_HUMAN	CAPN1	Calpain-1 catalytic subunit	71170.9	68609.5	57265.2	61047.7	74813.2	72794	88901.1	80677.2	75369.8	135324	135245	54152.5	137779	131996	125511	114573	112718	117968
P07437	P68371;P07437;P04350	TBB5_HUMAN	TUBB	Tubulin beta chain	2.19406e+06	2.0966e+06	2.08268e+06	2.11276e+06	1.93423e+06	2.15509e+06	2.44544e+06	1.88632e+06	2.01915e+06	816331	919694	1.70126e+06	901147	893142	889412	1.06978e+06	1.00706e+06	1.20081e+06
P07451	P07451	CAH3_HUMAN	CA3	Carbonic anhydrase 3	4373.51	4276.77	4951.58	5425.51	4671.02	4405.08	13309.3	18177.1	17093.5		4134.07			3532.31				
P07476	P07476	INVO_HUMAN	IVL	Involucrin				652.951	949.431		952.288	1249.94	1057.58									
P07477	P07477	TRY1_HUMAN	PRSS1	Serine protease 1	736035	554775	761303	1.43627e+06	1.32492e+06	1.59469e+06	1.60589e+06	3.29283e+06	2.79413e+06	4.24326e+06	2.54156e+06	573933	3.76996e+06	555622	3.45888e+06	2.27772e+06	2.75884e+06	1.85606e+06
P07602	P07602	SAP_HUMAN	PSAP	Prosaposin	4046.08	4424.15	4417.33	6073.92	5086.93	5694.34	40241.9	51169.1	56801.7	27065.5	22760.6	2132.34	29682.5	24048.5	24800.9	33515.4	32567.3	29402.9
P07686	P07686	HEXB_HUMAN	HEXB	Beta-hexosaminidase subunit beta	51971.4	49115.8	55680.2	69901.4	62628.4	69454.7	103368	92355.6	111079	29925.7	30571.5	29894.2	35758.6	29456.4	32487.5	35059.9	33717.6	35007.3
P07711	P07711	CATL1_HUMAN	CTSL	Procathepsin L	1855.89						9627.18	17502	17655.1	2517.2	2243.61	1681.02	1959.33	1742.81	2507.2	4721.72	2124.99	1813.04
P07737	P07737;CONT|P02584|PROF1_BOVIN	PROF1_HUMAN	PFN1	Profilin-1	332251	327975	251982	232981	255527	261242	441679	551564	533796	878015	1.067e+06	240600	1.15122e+06	1.03476e+06	911677	887463	843315	1.06304e+06
P07738	P07738	PMGE_HUMAN	BPGM	Bisphosphoglycerate mutase	16892.8	16622.8	14653.7	15824.5	15019.2	16988.5	12662.5	9044.78	9841.54	9160.4	7737.7	13528.4	7539.04	8975.63	8783.83	6871.07	6512.35	6101.32
P07741	P07741	APT_HUMAN	APRT	Adenine phosphoribosyltransferase	128637	136456	123391	115903	113702	121441	119875	123527	117786	158357	151440	66013.9	139160	153033	161910	139879	122272	148385
P07814	P07814	SYEP_HUMAN	EPRS1	Bifunctional glutamate/proline--tRNA ligase	229841	241449	222702	227562	216090	222500	177534	149576	155266	105046	109912	205517	114719	110681	105210	115846	113101	120967
P07858	P07858	CATB_HUMAN	CTSB	Cathepsin B	612838	696410	474423	561136	773486	526400	890799	770191	731900	77195.7	101140	296083	82622.4	81786.9	71012.4	111594	94005.2	101003
P07900	P07900	HS90A_HUMAN	HSP90AA1	Heat shock protein HSP 90-alpha	2.23006e+06	2.13154e+06	2.22046e+06	2.15646e+06	2.28368e+06	2.19714e+06	1.95209e+06	1.70289e+06	1.67917e+06	1.46705e+06	1.50701e+06	2.27026e+06	1.37625e+06	1.48584e+06	1.47446e+06	1.5088e+06	1.46831e+06	1.55099e+06
P07902	P07902	GALT_HUMAN	GALT	Galactose-1-phosphate uridylyltransferase	2545.1	2318.01	1614.92	3225.05	2141.69		4100.95	5240.03		4627.99	5058.61	3198.57	4941.93	5431.61	4887.16	5202.78	4597.02	5621.69
P07910	P07910	HNRPC_HUMAN	HNRNPC	Heterogeneous nuclear ribonucleoproteins C1/C2	121621	87228.3	89150.1	116961	110644	130264	316689	314002	318704	309942	252127	176155	290720	261984	290906	285290	281990	290096
P07919	P07919	QCR6_HUMAN	UQCRH	Cytochrome b-c1 complex subunit 6, mitochondrial							8948.78	6590.22	9575.69	33753.5	41511		35225.6	40851.1	32329.2	36189.2	43069.6	40111.1
P07942	P07942	LAMB1_HUMAN	LAMB1	Laminin subunit beta-1	40601.7	40115.8	40036.6	38465	42110	39831.6	37919.3	46970.2	50825.9			27798.1		44069		9216.24		
P07947	P07947	YES_HUMAN	YES1	Tyrosine-protein kinase Yes	12567.8	17343.7	18305.1	15421.7	20685.2	14341.7	10494.1	16435.9	17656.2	25886.7	26396.6	12566	23305.6	26092.4	25413.8	16884	23049.9	20393.3
P07948	P07948	LYN_HUMAN	LYN	Tyrosine-protein kinase Lyn			13511.7			19596.4		7395.44	14314.2	52548.1	60556.5	8076.2	57481	57827.1	56556.3	47371.1	49058.4	54447.5
P07951	P07951	TPM2_HUMAN	TPM2	Tropomyosin beta chain	6294.74	5350.55	4979.25	5782.57	7024.34	6185.37	260496	395703	406829	16124.6	14382.5	11208.1	12870.4	18544.5	18718.3	10404.5	11438.6	9380
P07954	P07954	FUMH_HUMAN	FH	Fumarate hydratase, mitochondrial	93819.3	95110.1	87088.2	89829.3	84894.5	92783	95752.7	86669.3	82770.1	153458	136888	128268	148629	135496	141758	147111	145214	142597
P07992	P07992	ERCC1_HUMAN	ERCC1	DNA excision repair protein ERCC-1	13907	17129.3	14680.7	12043.1	14091.5	13848	11646.6	13952.8	14923.5	9873.34	12078.3	11737.1	11983.7	9167.56	9962.22		10304.8	10361.5
P07996	P07996	TSP1_HUMAN	THBS1	Thrombospondin-1	193173	188889	179942	256410	282316	286242	101458	147424	155490	2.59104e+06	3.09153e+06	144056	2.98805e+06	2.86935e+06	2.81357e+06	2.264e+06	2.40218e+06	2.46674e+06
P08069	P08069	IGF1R_HUMAN	IGF1R	Insulin-like growth factor 1 receptor	8829.34	8513.08	11013.4	9456.67	9935.1	11362.4	8053.41	9180.66	9731.11	12382.3	11702.9	10350.8	13252.7	10144.1	11277.8	9461.57	10398	9195.06
P08123	P08123	CO1A2_HUMAN	COL1A2	Collagen alpha-2(I) chain	137399	128962	109382	113576	126001	125060	27904.8	33598.3	32510.2	37130.3		68877.4				41527.6	29382.7	32895.7
P08133	P08133	ANXA6_HUMAN	ANXA6	Annexin A6	639998	643146	629320	633579	677226	667216	589551	534328	506941	24098.1	22309.7	474692	23736.9	16995.5	23014.5	63357.6	60719.1	55177.9
P08134	P08134	RHOC_HUMAN	RHOC	Rho-related GTP-binding protein RhoC	5680.88	4591.92	4319.75	3068.89	3042.57	2080.72	5228.62		3210.34	27658.6	54506.3	5206.64	55503.9	49334.2	35761.7	35975.8	47862.6	39464.6
P08174	P08174	DAF_HUMAN	CD55	Complement decay-accelerating factor							7377.3	15294.2	12280.1	18303.3	16560.6		15657.2	15476.8	20228.4	9912.92	14794.2	13705.9
P08183	P08183	MDR1_HUMAN	ABCB1	ATP-dependent translocase ABCB1	4152.99	4272.09	3939.58	4078.42	4503.09	5066.04	5344.64	6123.35	6803.51	13796.2	9754.64	4424.43	8779.24	10092.3	13352.2	9209.25	9695.96	7091.01
P08195	P08195	4F2_HUMAN	SLC3A2	4F2 cell-surface antigen heavy chain	74237.9	90098.5	87103.2	82384.5	84216	76659.2	80895.5	91109.6	94396.1	67579.7	53831	65987.7	67108.1	55336	65784.1	69387	60082.1	53083.7
P08236	P08236	BGLR_HUMAN	GUSB	Beta-glucuronidase	9317.6	9206.68	7939	7648	10062.2	7141.2	25030.3	61113	68109.4	23077.8	24938.9	7800.08	20304	18736.7	23832.7	24745.5	23327.6	24040.8
P08237	P08237	PFKAM_HUMAN	PFKM	ATP-dependent 6-phosphofructokinase, muscle type	67992.6	64541	72335.7	65478.5	83661.8	68866.9	74359.1	62359.4	62180.6	27380.5	27256	51452	25852.9	26434	25505.8	26673.8	24207.6	26050.7
P08238	P08238	HS90B_HUMAN	HSP90AB1	Heat shock protein HSP 90-beta	792734	795324	877781	853991	819426	823655	662422	632561	626250	636445	646275	850961	596436	617983	620988	665056	645794	690370
P08240	P08240	SRPRA_HUMAN	SRPRA	Signal recognition particle receptor subunit alpha	56355.2	57509.2	55397.9	50210.7	53170.6	52749.6	39251.9	30338.3	34668.1	32920	32554.6	59047.1	33516.5	31498	34041.6	32740	35767.9	33636.6
P08243	P08243	ASNS_HUMAN	ASNS	Asparagine synthetase [glutamine-hydrolyzing]	83082.9	85132.3	81560.3	73875.1	77330.6	79310.2	96776.4	83640.7	79147.9	15770.6	16456.7	41425	21207	16186.4	19096.7	21613.3	19118.3	18045.9
P08246	P08246	ELNE_HUMAN	ELANE	Neutrophil elastase										43893	60875.8		87879.3	36948.9	61583.1	271911	296994	263098
P08253	P08253	MMP2_HUMAN	MMP2	72 kDa type IV collagenase	6329.79	5985.68	7594.04	8986.17	9555.68	8053.6	11417.6	20055.2	18505.8			4488.33				2527.6		
P08263;P09210	P09210;P08263	GSTA1_HUMAN;GSTA2_HUMAN	GSTA1;GSTA2	Glutathione S-transferase A1	3019.91	2368.39	2857.38	3249.15	4439.34	3624.02		2379.54				1444.41						
P08311	P08311	CATG_HUMAN	CTSG	Cathepsin G				49919.3		129285				14095.1	28685.1		40069.9	16939.2	22638.4	175621	161251	147707
P08397	P08397	HEM3_HUMAN	HMBS	Porphobilinogen deaminase	11315.9	11180.2	12200.5	13558.7	12335.9	13340.7	16337.8	17586.5	18539.8	8801.55	9417.43	13960.6	9447.88	8765.92	8868.61	11443.8	13373.5	12860.4
P08473	P08473	NEP_HUMAN	MME	Neprilysin	4569.49	4395.38	3959.07	4573.5	3642.48	4158.35		5008.55				17090.2						
P08493	P08493	MGP_HUMAN	MGP	Matrix Gla protein	17057.5	19477.4	21749.6	14570.8	17222.4	17919.8	22198.8	18002.2	21926.2	12018.6		14551.8					4272.08	
P08514	P08514	ITA2B_HUMAN	ITGA2B	Integrin alpha-IIb	50833.5	14897.2			8475.2		43615.3			702136	1.11957e+06		981807	974648	807366	841638	874040	902529
P08559	P29803;P08559	ODPA_HUMAN	PDHA1	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial	60124.6	46971.8	56030.7	62224	59231.4	62858.6	74175.1	67695	69847.9	60015.1	66233.3	50888.8	62352	60925.5	62827.9	66770.6	67882.5	66284.3
P08567	P08567	PLEK_HUMAN	PLEK	Pleckstrin	16357.5	9815.95	13771.5	14816.9	9339.06	19304.1		19463	24085.3	143083	238088	15713.8	228944	197646	147072	171885	185354	215372
P08572	P08572	CO4A2_HUMAN	COL4A2	Collagen alpha-2(IV) chain	186487	174523	157128	177535	183901	196790	124149	155697	140129			24222.3		2027.42		2318.71		
P08574	P08574	CY1_HUMAN	CYC1	Cytochrome c1, heme protein, mitochondrial	34450.7	24460.4	27199.6	42356.9	38848.2	41181.6	53618.8	49906.3	48610.2	32025.9	32250.6	40661.5	39851.6	29453	28441.8	40307.4	38899.8	39270.8
P08575	P08575	PTPRC_HUMAN	PTPRC	Receptor-type tyrosine-protein phosphatase C				21223.9						78650.1	78198		74723.7	81924.9	66990.5	65411.2	70870.1	64178.6
P08579	P08579	RU2B_HUMAN	SNRPB2	U2 small nuclear ribonucleoprotein B''	26492.3	26220.4	26309.3	28555.1	38107.5	29995.8	69599.1	72491.8	78321.5	77178.6	77586.4	36529.3	83680.8	80333.4	86280.3	97580.8	92093.5	88874.8
P08581	P08581	MET_HUMAN	MET	Hepatocyte growth factor receptor	13230.9	11928.5	13384.2	13759	13339	14042.4	11157.8	12441.1	11700.4			8158						
P08582	P08582	TRFM_HUMAN	MELTF	Melanotransferrin	5129.1	6473.59	3213.15	4249.66	3217.5	4912.28	5451.02	2261.81	4024.6			6532.52	2157.13			550.732		
P08603	P08603	CFAH_HUMAN	CFH	Complement factor H	2984.61	3223.37	3511.57	4701.38	4564.39	4848.57	5548.6	4693.63	3199.07	6056.88	3671.06	3020.24		4489.1	2638.92	9392.62	3253.81	6336.98
P08621	P08621	RU17_HUMAN	SNRNP70	U1 small nuclear ribonucleoprotein 70 kDa	17581.8	13641	15693.7	14893.2	17335.6	17943.8	87177.8	84285.8	89967.9	83191.7	78886.2	23101.4	81203.9	81199.4	81937.2	85571.9	86743.8	76744.2
P08648	P08648	ITA5_HUMAN	ITGA5	Integrin alpha-5	66117	67334.3	68619.1	70063.7	63841.1	60878.4	68502.7	104632	95047.6	41817.5	44966.2	57811.3	47864.7	44537.1	46651.6	44202.8	43583.2	38176.1
P08651	P08651	NFIC_HUMAN	NFIC	Nuclear factor 1 C-type	7452.78	7754.06	7246.87	7451.91	8618.72	7463.58	7550.67	7159.19	8716.56			9050.7						
P08670	Q14533;P78385;Q8N1N4;P13647;P12035;Q01546;O95678;O43790;P48668;Q9NSB2;P02538;P08670;P78386;Q5XKE5;P08729;P05787;P04259;P14136;CONT|Q5XQN5|K2C5_BOVIN;CONT|Q9NSB2|KRT84_HUMAN;CONT|O43790|KRT86_HUMAN;CONT|O95678|K2C75_HUMAN;CONT|P02538|K2C6A_HUMAN;CONT|P04259|K2C6B_HUMAN;CONT|P05787|K2C8_HUMAN;CONT|P08729|K2C7_HUMAN;CONT|P12035|K2C3_HUMAN;CONT|P13647|K2C5_HUMAN;CONT|P48668|K2C6C_HUMAN;CONT|P78385|KRT83_HUMAN;CONT|P78386|KRT85_HUMAN;CONT|Q01546|K22O_HUMAN;CONT|Q14533|KRT81_HUMAN;CONT|Q5XKE5|K2C79_HUMAN;CONT|Q8N1N4|K2C78_HUMAN;CONT|P15241|K2M2_SHEEP;CONT|P25691|K2M3_SHEEP	VIME_HUMAN	VIM	Vimentin	2.5896e+06	2.47831e+06	2.25511e+06	2.28834e+06	2.40839e+06	2.37228e+06	4.10162e+06	3.98117e+06	4.07446e+06	116053	113637	2.32062e+06	98376.4	80096.6	116014	165710	165060	147077
P08708	P08708	RS17_HUMAN	RPS17	40S ribosomal protein S17	84104.1	80019.7	88937.1	79818.9	108723	86135.2	88825.2	135778	116038	97094.8	129720	73157.5	125601	143817	114129	145620	161653	153803
P08727	Q04695;P08727;CONT|P08727|K1C19_HUMAN;CONT|Q04695|K1C17_HUMAN	K1C19_HUMAN	KRT19	Keratin, type I cytoskeletal 19	30934.5	28295	28978.5	30100.6	28855	32236.4	21234.2	24183.1	22870	141679	121311	38562.3	53187.4	94635.8	76261.2	224454		
P08729	P08729;CONT|P08729|K2C7_HUMAN	K2C7_HUMAN	KRT7	Keratin, type II cytoskeletal 7	54603.1	60126.3	48954.1	46717.4	60663.3	59975.5	42570.1	44663.3	46672.6	13903.9	3346.97	44326.5	10160.8	4477.85	11570.8	7790.06		12197.9
P08754	P08754	GNAI3_HUMAN	GNAI3	Guanine nucleotide-binding protein G(i) subunit alpha-3	76515.3	192411	154504	130902	153206	92774	61906.6	110171	126168	63965.2	65471.9	55243.3	59539.3	51746.1	58693.5	47843.2	57636	52433.1
P08758	P08758	ANXA5_HUMAN	ANXA5	Annexin A5	1.42818e+06	1.30645e+06	1.45501e+06	1.50618e+06	1.19076e+06	1.58377e+06	1.34294e+06	1.06354e+06	1.03396e+06	249113	249366	914874	264608	259960	247958	252326	273364	270565
P08779	P08779;CONT|P08779|K1C16_HUMAN	K1C16_HUMAN	KRT16	Keratin, type I cytoskeletal 16	22322.5	20943.1	9495.6	32152.4	55963.6	52395.8	73989.4	68316.9	61144	56927.9	48393.5	8879.86	10120.9	55081.6	19159.7	10822.5	10809.6	17014.3
P08842	P08842	STS_HUMAN	STS	Steryl-sulfatase	8112.8	8994.81	8629.58	7989.51	8649.87	8789.36	10219.8	14149.1	15435.2			4754.47						
P08865	P08865	RSSA_HUMAN	RPSA	40S ribosomal protein SA	327570	296828	319650	376365	349682	358416	363785	529513	614087	208827	272715	437706	198770	221053	225697	265979	247495	281167
P08910	P08910	ABHD2_HUMAN	ABHD2	Monoacylglycerol lipase ABHD2	3433.73	3460.33	3803.36	3025.88	3504.89	2347.44						1559.44					3480.84	
P08913	P08913	ADA2A_HUMAN	ADRA2A	Alpha-2A adrenergic receptor										11960	11359.1		10802.7	9395.29	11727.9	8723.35	8930.13	9583.2
P08962	P08962	CD63_HUMAN	CD63	CD63 antigen	99091.3	89629.5	91424.8	70097.3	95351.1	85545.8	86094.8	79398.9	60225.9	139527	171277	132879	197501	135527	161540	152140	160593	140674
P09001	P09001	RM03_HUMAN	MRPL3	39S ribosomal protein L3, mitochondrial	14862.6	13957.5	14035.9	12575.2	11552.2	14643.6	12478.7	13760.7	14044.9	11451.3	10271.6	19094.7	13746.6	9788.93	11081.5	13255.4	12706.3	13520.4
P09012	P09012	SNRPA_HUMAN	SNRPA	U1 small nuclear ribonucleoprotein A	15531.6	12549.5	16541.8	15839	22550.7	15808.9	74464	83634.4	88838.7	89464.5	91374.9	19305.7	80908.9	93667.2	95257.6	112087	103500	90618.2
P09038	P09038	FGF2_HUMAN	FGF2	Fibroblast growth factor 2	11603.8	6248.46	8956.19	12180	9147.62	11301.5	44159.3	58428.8	61254.3	3617.56	6410.43	8756.08	3458.75	4700.67	3684.53	3750.42	4759.27	4295.43
P09104	P09104	ENOG_HUMAN	ENO2	Gamma-enolase	5161.01	4402.67	3439.28	3690.82	5289.26	3707.53	79907.7	67866.9	67473.2	69596.4	80855.6	4449.37	77859.1	67211.6	78664.4	51029.7	51924.5	49541.9
P09105	P09105	HBAT_HUMAN	HBQ1	Hemoglobin subunit theta-1										3034.19	6226.43		4791.82	7222.12	5031.2		4597.53	9048.26
