Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-99_3909.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-100_3911.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-101_3913.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-102_3915.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-103_3917.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-104_3919.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-198_3921.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-199_3923.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-200_3925.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-201_3927.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-202_3929.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-203_3931.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-204_3935.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-205_3937.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-206_3939.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-207_3941.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-208_3943.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-209_3945.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-26_3890.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-27_3891.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-28_3892.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-29_3894.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-30_3895.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-31_3896.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-32_3898.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-33_3899.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-34_3900.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-35_3902.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-36_3903.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-37_3905.d
O75569	O75569	PRKRA_HUMAN	PRKRA	Interferon-inducible double-stranded RNA-dependent protein kinase activator A		336.864	185.519	316.116		243.165	66.8806	237.445			160.367	72.6205	386.934	284.077		269.593								180.8	301.507	189.188	221.895		152.667	269.353
O75608	O75608	LYPA1_HUMAN	LYPLA1	Acyl-protein thioesterase 1	776.271	620.838	741.435	381.728	1397.96	720.581	1042.94	565.492	444.385	479.65	852.272	805.662	990.72	876.667	2167.28	937.104	589.084	813.252	460.41	376.903	1115.84	1181.89	529.005	764.2	789.96	753.745	489.549	1501.6	519.248	419.362
O75643	O75643	U520_HUMAN	SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase			809.569	1123.56		951.503	1050.21	574.148	1024.62	965.615	789.33	768.539	905.844	756.265	902.821	1096.19	1221.15	1069.69	1086.98	1131.39	923.165	703.978	844.857	1049.03	1022.45	1268.07	987.149	881.461	779.528	948.388
O75683	O75683	SURF6_HUMAN	SURF6	Surfeit locus protein 6							367.529	110.739			196.625									315.216			187.652		101.594	157.765	87.3286		130.706	
O75688	O75688;P35813	PPM1B_HUMAN	PPM1B	Protein phosphatase 1B		538.944	662.43				905.434	171.465		203.149	553.459	294.838	315.205	217.591		991.825					441.599	904.803	318.521	261.722	310.668		735.661	339.959	558.94	438.817
O75691	O75691	UTP20_HUMAN	UTP20	Small subunit processome component 20 homolog						35.926		203.111		67.4606	69.1807														128.762		111.068			
O75694	O75694	NU155_HUMAN	NUP155	Nuclear pore complex protein Nup155			239.393			120.671	225.754	176.22	120.821	193.661	103.683			280.377		429.388		299.68	406.834	206.274		89.5085	228.691	301.854	174.118	340.472	308.84	132.146	149.625	190.371
O75718	O75718	CRTAP_HUMAN	CRTAP	Cartilage-associated protein		543.423	610.187	321.812	823.083	564.255	554.402	669.544	680.817	534.215	422.78	563.054	425.34	696.771		490.891	519.348	411.853	381.136	409.389	486.616	375.163	627.042	557	610.502	1051.88	485.767	409.364	730.876	295.297
O75746	O75746	CMC1_HUMAN	SLC25A12	Calcium-binding mitochondrial carrier protein Aralar1		183.012	151.546			127.296	150.547		145.145	175.426	179.712	533.167		124.167		74.1812		117.947		268.605	196.034	335.021			140.954	275.635		325.555		140.196
O75781	O75781	PALM_HUMAN	PALM	Paralemmin-1		124.799									116.88										410.511				93.8323				416.656	
O75787	O75787	RENR_HUMAN	ATP6AP2	Renin receptor			608.618			749.259	524.941				215.113			473.049				110.545	95.3837						504.797	275.885				306.985
O75822	O75822	EIF3J_HUMAN	EIF3J	Eukaryotic translation initiation factor 3 subunit J			179.839					299.365			38.787														127.056				134.685	
O75832	O75832	PSD10_HUMAN	PSMD10	26S proteasome non-ATPase regulatory subunit 10			243.793				292.777	120.923					201.692	404.355									189.772		34.8939		90.8524	143.528	166.881	384.56
O75844	O75844	FACE1_HUMAN	ZMPSTE24	CAAX prenyl protease 1 homolog		347.278	180.936	261.194		275.031	160.787		835.364	329.111	379.076		239.776	264.938	655.217	251.997			307.655	314.293	226.145	169.176			357.931	509.294	261.753	264.537	479.596	296.803
O75874	O75874	IDHC_HUMAN	IDH1	Isocitrate dehydrogenase [NADP] cytoplasmic	1463.69	879.108	971.523	813.79	844.222	1061.74	2703.7	1754.01	685.095	635.772	2456.56	2476.16	1534.56	2440.12	1099.07	2661.59	1007.21	448.296	941.502	945.799	2748.16	2021.97	2502.34	3172.23	1357.24	490.033	2315.45	2888.65	2269.27	2066.67
O75886	O75886	STAM2_HUMAN	STAM2	Signal transducing adapter molecule 2		349.373	69.0059				268.047				323.66	668.421	235.984								147.237		181.315	197.059	88.3602	297.172		55.057	205.588	
O75915	O75915	PRAF3_HUMAN	ARL6IP5	PRA1 family protein 3		722.5	384.568	539.225	705.01	445.518	443.935	374.698	531.517	539.208	396.21	362.173	386.56	354.864	567.843	392.32	701.175	617.894	812.73	275.526	554.409	419.704	224.358	344.094	393.24	478.387	469.452	183.727	565.306	375.407
O75934	O75934	SPF27_HUMAN	BCAS2	Pre-mRNA-splicing factor SPF27			65.4019			208.212	479.093	128.677	129.108	140.62	111.692	164.443				283.032			111.083			629.035	212.693	229.918	132.313		129.437	313.663	336.106	200.031
O75935	O75935	DCTN3_HUMAN	DCTN3	Dynactin subunit 3		378.328				253.885		142.732		110.064	144.933		591.646	440.469		518.294			288.641		423.892	252.779	293.851	203.341	146.072	486.799	294.769		270.429	400.046
O75937	O75937	DNJC8_HUMAN	DNAJC8	DnaJ homolog subfamily C member 8			149.311			337.625	260.656		123.572		270.894	197.67							214.78			270.762		144.223	193.858		131.813	294.243		240.008
O75940	O75940	SPF30_HUMAN	SMNDC1	Survival of motor neuron-related-splicing factor 30			118.734			133.673			140.041		171.161			391.955										212.649						
O75947	O75947	ATP5H_HUMAN	ATP5PD	"ATP synthase subunit d, mitochondrial"	486.28	793.951	494.231	1008.55		1123.38	1265.58	1521.65	1179.5	2019.25	1095.96	870.704	1079.08	1564.49		1187.16		1557.66	1220.97	2139.72	1187.13	1468.06	1101.76	1421.3	1393.54	1410.76	1066.92	834.01	1841.51	995.117
O75955	O75955	FLOT1_HUMAN	FLOT1	Flotillin-1		129.904	345.62	403.465	534.286	417.078	448.968	270.945	470.876	551.2	319.576	348.321	501.955	441.636		355.799		357.555	699.145	313.017	172.651	464.832	199.168	419.006	152.951	575.545	288.092	272.18	296.298	430.21
O75962	O75962	TRIO_HUMAN	TRIO	Triple functional domain protein			177.318		182.19	69.1066					36.113						162.017				108.683		286.09		43.2357			145.381	316.444	
O75964	O75964	ATP5L_HUMAN	ATP5MG	"ATP synthase subunit g, mitochondrial"		373.717	662.585	612.414		783.785	997.929	881.573	826.073	1073.05	646.317	911.354	1282.46	859.877	551.795	920.462	310.004	1150.37	551.942	1303.5	554.643	1086.55	471.289	920.732	1039.89	1048.65	998.305	1165.53	1049.82	810.882
O75976	O75976	CBPD_HUMAN	CPD	Carboxypeptidase D					378.933	115.828	231.196		162.199		244.311			600.053							119.793		100.616			446.008				193.604
O76003	O76003	GLRX3_HUMAN	GLRX3	Glutaredoxin-3			598.939			256.288	644.363	454.294			254.08	477.015	358.709	370.677		623.813		270.642	433.197		327.417	237.196	520.073	458.409	204.265		515.185	537.55	376.666	340.873
O76021	O76021	RL1D1_HUMAN	RSL1D1	Ribosomal L1 domain-containing protein 1			497.997	1184.58		758.225	744.109	463.601	799.693	1142.08	582.157	482.443	453.091	593.82		624.507		641.009	1127.76	1713.63		766.787	782.809	897.317	923.806	1058.96	1157.85	775.078	441.416	601.283
O76024	O76024	WFS1_HUMAN	WFS1	Wolframin		314.698				141.521	212.986		164.755	132.439	142.455		130.913	466.375				180.359			154.576	228.261			167.405					201.498
O76031	O76031	CLPX_HUMAN	CLPX	"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial"			258.012	411.851		198.24	304.596	201.766	375.2	259.23	257.897		119.363	318.253		117.147			157.95	431.348			198.171	151.751	124.613	276.41		228.139	55.4558	148.863
O76041	O76041	NEBL_HUMAN	NEBL	Nebulette													295.9																	215.158
O76054	O76054	S14L2_HUMAN	SEC14L2	SEC14-like protein 2		216.714											214.615																	342.462
O76062	O76062	ERG24_HUMAN	TM7SF2	Delta(14)-sterol reductase TM7SF2										97.5785		244.073		189.535	178.022															
O76071	O76071	CIAO1_HUMAN	CIAO1	Probable cytosolic iron-sulfur protein assembly protein CIAO1			235.631			108.739								157.624							135.995									73.6365
O76094	O76094	SRP72_HUMAN	SRP72	Signal recognition particle subunit SRP72		154.887	283.053			159.934	96.4344	174.635			246.039	321.519	184.069	175.867		143.197			247.062		269.68	281.389	282.529	388.566	303.513	187.302	430.419	296.683	152.548	209.155
O94760	O94760	DDAH1_HUMAN	DDAH1	"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1"	429.746	129.796	184.648		248.603	190.552	278.559	245.584			164.396		408.059	86.6101	803.688	195.592	412.608	165.179	131.603			147.007	473.547				264.066	271.844	157.455	496.726
O94762	O94762	RECQ5_HUMAN	RECQL5	ATP-dependent DNA helicase Q5		228.689	311.716		217.777			636.157								377.717			428.001			382.026	382.812	1109.79	335.169	146.569	327.117		142.742	226.489
O94766	O94766	B3GA3_HUMAN	B3GAT3	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3							273.172	45.6511		119.539		70.4728											50.4617		158.71				151.394	
O94776	O94776	MTA2_HUMAN	MTA2	Metastasis-associated protein MTA2			120.973	209.98		253.472				378.53	189.474			193.18	287.871	295.116		302.78				414.311			179.706		43.6797	139.079		
O94804	O94804	STK10_HUMAN	STK10	Serine/threonine-protein kinase 10		335.962	264.9					114.206	194.899		343.702		308.851	202.575	499.736	221.676	271.213		451.488		211.936	285.365	348.456	140.03	187.307		283.089	214.154	237.114	169.254
O94826	O94826	TOM70_HUMAN	TOMM70	Mitochondrial import receptor subunit TOM70		310.304	166.82	390.186		380.41	435.802	290.633	516.16	511.759	395.169	455.211	365.415	301.474		352.056		555.294	491.132	451.002	251.703	221.781	340.29	235.15	615.365	495.15	342.881	441.411	265.698	379.936
O94851	O94851	MICA2_HUMAN	MICAL2	[F-actin]-monooxygenase MICAL2		165.414	153.871			395.521			212.872		199.54	728.434		96.0848		79.7794				290.066	203.839		44.1271		428.032		222.696		275.281	
O94855	O94855	SC24D_HUMAN	SEC24D	Protein transport protein Sec24D			475.561			429.364	314.46	464.529			597.859	625.596	405.025	304.153		537.41					478.181		434.715	249.127	318.039		256.532	702.688	613.27	69.4171
O94874	O94874	UFL1_HUMAN	UFL1	E3 UFM1-protein ligase 1			540.762	324.115	714.582	538.269	180.795	257.157	328.695	277.591	366.815	191.321		296.884	241.954	783.349	692.192	676.899	348.677		401.43	198.165	559.867	726.814	609.142	357.095	471.746	254.401	551.87	228.885
O94875	O94875	SRBS2_HUMAN	SORBS2	Sorbin and SH3 domain-containing protein 2		120.774						369.073	621.81	164.909	274.497		287.129	65.3416		103.983			482.643	482.587	470.001		499.907	69.0005	421.558	385.319	217.204	500.654	474.775	135.99
O94888	O94888	UBXN7_HUMAN	UBXN7	UBX domain-containing protein 7							97.6564						201.55		201.054															
O94901	O94901	SUN1_HUMAN	SUN1	SUN domain-containing protein 1					105.544						142.528	504.295	64.744			56.742			102.581	462.606			384.935		19.2893				67.7351	
O94903	O94903	PLPHP_HUMAN	PLPBP	Pyridoxal phosphate homeostasis protein		250.629					298.114	227.702			207.302		221.47	192.192							164.428	358.676	467.496	380.574			200.138			360.608
O94905	O94905	ERLN2_HUMAN	ERLIN2	Erlin-2	1019.28	899.309	457.144	774.925	465.486	832.333	520.6	355.252	671.412	788.317	418.985	947.256	556.946	251.919	825.571	633.628	2461.67	639.599	835.145	522.068	497.133	394.567	590.66	975.902	539.07	704.788	1285.96	607.146	398.285	389.259
O94906	O94906	PRP6_HUMAN	PRPF6	Pre-mRNA-processing factor 6			177.285			333.01	339.642	124.965	481.674	449.781	172.894	146.561	378.381	327.74	823.735	380.456		294.453	472.457	368.325		170.722	151.927	451.666	255.666	449.662	454.653	545.31	346.158	252.568
O94919	O94919	ENDD1_HUMAN	ENDOD1	Endonuclease domain-containing 1 protein		329.105			112.626	94.8834			331.283	278.422			394.115						188.232	241.022	220.943		318.433		90.0903	58.8527			6.76085	336.772
O94925	O94925	GLSK_HUMAN	GLS	"Glutaminase kidney isoform, mitochondrial"		1311.37	357.726	722.468		515.614	392.437	396.523	401.872	356.839	426.368	598.545		145.016		424.935		635.562	661.977	1066.99	237.153	529.443	782.986	242.452	502.751	705.011	640.589	323.553	461.433	295.745
O94973	O94973	AP2A2_HUMAN	AP2A2	AP-2 complex subunit alpha-2			153.968		241.027	277.894	355.055	349.143	89.7384	188.189	138.603	187.235	281.956	340.6	246.341						221.365	192.677	290.362	372.801	103.603			298.902	305.152	211.278
O94979	O94979	SC31A_HUMAN	SEC31A	Protein transport protein Sec31A	532.354	717.666	859.563	625.533	979.605	1085.1	915.215	944.286			939.194	897.228	1198.3	862.294	664.602	1118.01	331.221	271.283	1131.63	516.689	806.771	569.182	884.905	848.034	535.073		865.298	877.569	895.289	507.84
O95140	O95140	MFN2_HUMAN	MFN2	Mitofusin-2																				97.0444	142.27	226.003			106.064	55.6949				
O95159	O95159	ZFPL1_HUMAN	ZFPL1	Zinc finger protein-like 1									140.413	221.999		251.576	196.954					46.4644	348.466	413.545	318.469		143.731		320.548	310.817				240.897
O95168	O95168	NDUB4_HUMAN	NDUFB4	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4		489.229	433.921	497.067		589.854	289.051	339.745		403.39	506.963	447.524		274.621		405.43		519.036		598.256	349.647	178.829	182.554	635.771	364.085	596.884	326.519	383.414	418.98	99.8276
O95169	O95169	NDUB8_HUMAN	NDUFB8	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial"		366.91	430.456	535.195		376.994	252.06		226.989	124.666	43.1628		289.69	283.624		387.07				803.787	622.843		265.283	405.806	114.615	395.029	267.244		403.406	248.761
O95197	O95197	RTN3_HUMAN	RTN3	Reticulon-3	798.248	655.559	336.464	270.31	318.17	329.451	573.73	475.504	622.445	1196.14	278.093	409.289	552.933	534.94		260.946			453.495	652.169	292.203	612.119	333.779	681.056	730.561	527.307		539.955	370.623	527.628
O95202	O95202	LETM1_HUMAN	LETM1	Mitochondrial proton/calcium exchanger protein		347.414	373.443	627.354		373.585	828.664	482.036	607.643	778.011	568.393	533.917	314.199	355.967		375.488		369.06	426.986	881.328	251.445	457.134	462.828	429.432	597.064	589.652	524.727	698.499	535.285	421.003
O95218	O95218	ZRAB2_HUMAN	ZRANB2	Zinc finger Ran-binding domain-containing protein 2						150.364						300.794											170.762							
O95292	O95292	VAPB_HUMAN	VAPB	Vesicle-associated membrane protein-associated protein B/C		510.907	379.437	840.624	515.197	446.981	210.459	567.275	344.154	567.206	117.368	313.926	195.969	434.64	211.98	331.104		285.957	354.651	429.591	349.386	406.425	309.632	442.244	374.025	155.991	447.811		372.5	395.512
O95298	O95298	NDUC2_HUMAN	NDUFC2	NADH dehydrogenase [ubiquinone] 1 subunit C2		865.131				385.867	668.349	225.624	1202.77		350.148	123.592							645.979			297.068	461.899	155.626	1063.74	1140.14		140.477	230.11	133.565
O95299	O95299	NDUAA_HUMAN	NDUFA10	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial"		523.684	116.271	57.0465		416.211	313.09	276.482	164.566	288.293	225.434	503.404	156.754	420.556		385.935		95.5967	523.562		381.624	202.413	138.443	130.578	317.373	295.714	337.535	312.674	320.722	100.911
O95302	O95302;Q75LS8	FKBP9_HUMAN	FKBP9	Peptidyl-prolyl cis-trans isomerase FKBP9	658.777	853.607	1375.57	833.531	3359.58	1691.82	1554.88	775.461	1889.45	1934.97	1326.5	1035.76	1175.23		507.591	998.298	337.863	1074.87	1686.89	214.815	2948.03	2160.59	1370.1	752.419	1929.82	2250.07	1293.87	841.408	1789.35	252.582
O95336	O95336	6PGL_HUMAN	PGLS	6-phosphogluconolactonase	506.294	913.565	933.862	594.665	1040.04	543.528	1484.5	1492.02	347.471	547.713	1594.2	1355.8	1491.33	915.74	546.092	853.167	736.39	323.641	680.89	344.299	611.11	993.169	1607.85	1735.26	660.493	551.752	1228.72	677.704	1544.61	1040.81
O95347	O95347	SMC2_HUMAN	SMC2	Structural maintenance of chromosomes protein 2			139.893	114.104										795.902																261.8
O95352	O95352	ATG7_HUMAN	ATG7	Ubiquitin-like modifier-activating enzyme ATG7						64.6677					187.331		170.764			404.15							76.2493		62.8421		140.073		71.8559	291.493
O95361	O95361	TRI16_HUMAN	TRIM16	Tripartite motif-containing protein 16						262.432				213.784	76.1717	373.415	383.248	334.939		197.325					318.48		90.2065	143.852	233.075				256.071	190.49
O95372	O95372	LYPA2_HUMAN	LYPLA2	Acyl-protein thioesterase 2		167.077	542.575			391.933	651.942	273.139			450.557	755.376	336.135	267.139		477.006					252.026	104.68	307.099	449.709			97.1845	359.944	655.399	355.444
O95373	O95373	IPO7_HUMAN	IPO7	Importin-7		551.079	726.43	851.992		606.02	894.056	564.576			410.944	604.226	545.349	650.105		668.741	1062.35		207.653		810.263	314.271	562.119	313.672	392.566		466.619	864.509	464.387	928.276
O95394	O95394	AGM1_HUMAN	PGM3	Phosphoacetylglucosamine mutase	464.688	619.231	623.122	337.535		596.834	762.354	502.489			805.076	328.276	1244.09	947.437	344.129	758.189			223.067		678.87	457.329	800.185	500.365	465.767	176.61	420.387	542.136	719.298	482.085
O95400	O95400	CD2B2_HUMAN	CD2BP2	CD2 antigen cytoplasmic tail-binding protein 2			223.373				120.432	47.2944						233.578													250.992			
O95425	O95425	SVIL_HUMAN	SVIL	Supervillin		463.681	219.155	334.175	412.121	199.838	216.423			218.604	158.028	302.383	209.066					316.232				316.239			170.697	309.591	315.106	146.396	241.887	123.988
O95433	O95433	AHSA1_HUMAN	AHSA1	Activator of 90 kDa heat shock protein ATPase homolog 1		578.787	765.143			1181.47	667.13	441.145		521.272	382.292	753.403	598.141	336.189	1191.64	2258.9	562.021			737.513	470.568	963.696	382.72	414.094	213.933		614.025	381.925	276.263	365.362
O95453	O95453	PARN_HUMAN	PARN	Poly(A)-specific ribonuclease PARN			134.689	144.933	326.987	160.28	896.784	351.245	416.949	462.179	198.336		604.525	494.039		308.146		220.047	426.995	789.216	244.725	317.397			277.004		291.529	554.057	438.402	294.268
O95456	O95456	PSMG1_HUMAN	PSMG1	Proteasome assembly chaperone 1			206.325			88.8352					95.4751	167.561		148.485								274.942	296.608		110.93					
O95470	O95470	SGPL1_HUMAN	SGPL1	Sphingosine-1-phosphate lyase 1		223.477	382.377	859.106	298.588	525.931		376.455	432.194	606.581	299.127	383.473	309.32	431.438	559.333	657.337			372.565	466.112	248.7	416.063	422.676	420.737	442.842	562.465	229.566	663.925	471.055	458.189
O95479	O95479	G6PE_HUMAN	H6PD	GDH/6PGL endoplasmic bifunctional protein			212.3	394.727		63.8236	137.402	316.314			78.7711							356.447		305.56		476.095			112.117		55.5797	264.447		70.1956
O95486	O95486	SC24A_HUMAN	SEC24A	Protein transport protein Sec24A			373.65	457.804		195.058	329.018	380.163			290.503			164.473							216.423	224.368	124.634	210.394	378.824		346.375	198.177		232.824
O95571	O95571	ETHE1_HUMAN	ETHE1	"Persulfide dioxygenase ETHE1, mitochondrial"		515.184	393.938	427.463		400.989	683.54	396.053	719.772	355.142	306.079	386.947	278.048	116.237		455.754		428.112	314.973		201.088	166.524		175.593	554.906	192.46	611.714	258.526	254.464	218.881
O95573	O95573	ACSL3_HUMAN	ACSL3	Fatty acid CoA ligase Acsl3		500.617	197.879	349.423	358.578	429.653	360.649	341.442	468.851	281.725	354.444	629.864	247.113	388.934	90.3819	447.921	350.036	401.147	518.67	523.081	538.485	239.123	557.344	448.486	410.714	337.72	232.42	257.556	292.762	306.709
O95602	O95602	RPA1_HUMAN	POLR1A	DNA-directed RNA polymerase I subunit RPA1		586.33	520.734				699.122	596.149	1049.14	658.313	624.791	806.977	497.634							220.487		472.657	342.638		201.189		887.54		271.737	256.168
O95630	O95630	STABP_HUMAN	STAMBP	STAM-binding protein													254.961	289.558		177.56						304.523			82.4184					
O95671	O95671	ASML_HUMAN	ASMTL	Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein											242.472		376.282	265.504		77.5229													167.129	
O95716	O95716	RAB3D_HUMAN	RAB3D	Ras-related protein Rab-3D		250.66		408.674		254.048	148.973										529.414					275.354		326.301	233.512				182.216	
O95721	O95721	SNP29_HUMAN	SNAP29	Synaptosomal-associated protein 29		238.665	772.898			377.796	587.063	595.403			570.79					273.04			751.786		206.268	376.901		391.386	201.648		280.055	619.858		197.001
O95747	O95747	OXSR1_HUMAN	OXSR1	Serine/threonine-protein kinase OSR1		470.406	46.4317			205.05	255.413	309.949	242.875		108.361	211.76	653.921	359.505		363.26	880.453				157.739	216.145	192.536		165.388			90.2308	177.979	215.872
O95757	O95757	HS74L_HUMAN	HSPA4L	Heat shock 70 kDa protein 4L			109.416			111.959		198.947	208.26	141.974	156.484	62.0633	69.4634			150.955	395.287		278.285			119.737			219.792		170.226	343.657	57.7905	179.099
O95777	O95777	LSM8_HUMAN	LSM8	U6 snRNA-associated Sm-like protein LSm8			536.939			325.053	601.096	404.584		503.085	608.017	462.368	668.107	746.86	602.377	286.659					64.0209	492.018	361.758		334.361	279.447	566.143		100.337	376.827
O95782	O95782	AP2A1_HUMAN	AP2A1	AP-2 complex subunit alpha-1		417.659	414.924	695.192	756.071	621.741	621.687	683.741	566.62	523.961	573.839	574.836	540.063	443.346	344.436	687.646		478.027	579.205	411.724	773.746	536.848	471.954	432.302	627.412	401.276	643.228	424.16	698.323	432.47
O95786	O95786	DDX58_HUMAN	DDX58	Antiviral innate immune response receptor RIG-I		308.499	404.497			211.915		375.277			327.641													227.649	427.178				252.42	
O95793	O95793	STAU1_HUMAN	STAU1	Double-stranded RNA-binding protein Staufen homolog 1		236.878	324.815	328.88		224.941	214.944				117.091	227.351		421.677								350.092	300.485		77.007				152.867	227.046
O95810	O95810	CAVN2_HUMAN	CAVIN2	Caveolae-associated protein 2		1374.26														198.167													378.865	
O95816	O95816	BAG2_HUMAN	BAG2	BAG family molecular chaperone regulator 2			161.156	156.791		280.931	196.957		700.705	487.972	364.039	347.052	389.048	426.059		331.822		498.143	1386.08	513.868	565.769	347.97	244.581	530.915	467.765	224.66	466.461	281.379		361.164
O95817	O95817	BAG3_HUMAN	BAG3	BAG family molecular chaperone regulator 3		369.111	435.878	251.802	487.724	667.738	479.515	245.88		620.869	401.619			546.445	239.146	343.576			353.501		585.582	234.35	97.6385	447.487	219.905		382.126	297.311	305.392	372.4
O95819	O95819	M4K4_HUMAN	MAP4K4	Mitogen-activated protein kinase kinase kinase kinase 4		336.163	282.861	194.613	243.525	978.582	154.452		33.9071		232.847	807.101	171.464	265.967		176.518			451.577			319.236			128.977	622.852	338.499	418.775	334.636	259.207
O95831	O95831	AIFM1_HUMAN	AIFM1	"Apoptosis-inducing factor 1, mitochondrial"						82.1119								123.518								306.424			158.493					
O95834	O95834	EMAL2_HUMAN	EML2	Echinoderm microtubule-associated protein-like 2	213.518						183.173	19.7366				511.531	185.994	270.022								148.796	338.306					175.493		286.171
O95861	O95861	BPNT1_HUMAN	BPNT1	"3'(2'),5'-bisphosphate nucleotidase 1"		180.642		222.857							191.101			242.963											69.8827	66.0939				
O95865	O95865	DDAH2_HUMAN	DDAH2	"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2"	365.382	227.994	547.067	309.768	182.529	314.312	554.356	330.42	223.313	177.436	532.765	570.363	699.336	796.075	643.069	356.001	445.728		550.105	342.179	366.973	806.363	447.163	827.724	362.022	217.931	290.796	782.271	839.108	826.011
O95881	O95881	TXD12_HUMAN	TXNDC12	Thioredoxin domain-containing protein 12		235.882	785.77	1000.37	649.059	1028.11	417.749	935.278	1249.51	877.306	939.577	1134.32	392.646	651.857		822.322			1235.04	587.342	837.02	773.43	871.295	454.61	831.493	270.805	740.619	698.392	602.529	557.131
O95989	O95989	NUDT3_HUMAN	NUDT3	Diphosphoinositol polyphosphate phosphohydrolase 1			137.614								169.395											179.19		335.565				151.486		
